Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,4.3e-05,16.71358,[ 7 57] ; [29 39],[17.45454545 46.54545455] ; [18.54545455 49.45454545],1
d5,1,0.001783,9.760349,[43 25] ; [62 10],[51. 17.] ; [54. 18.],0
a3,1,0.004542,8.053392,[37 32] ; [55 17],[45.0212766 23.9787234] ; [46.9787234 25.0212766],0
v1,1,0.005215,7.803435,[21 46] ; [39 32],[29.13043478 37.86956522] ; [30.86956522 40.13043478],0
a5,1,0.012989,6.170552,[38 31] ; [54 18],[45.0212766 23.9787234] ; [46.9787234 25.0212766],0
d1,1,0.014155,6.018669,[26 43] ; [42 30],[33.27659574 35.72340426] ; [34.72340426 37.27659574],0
b5,1,0.057187,3.617151,[49 20] ; [40 32],[43.55319149 25.44680851] ; [45.44680851 26.55319149],0
s1,1,0.133752,2.24841,[ 6 62] ; [ 2 68],[ 3.94202899 64.05797101] ; [ 4.05797101 65.94202899],0
d4,1,0.150619,2.065972,[51 17] ; [61 11],[54.4 13.6] ; [57.6 14.4],0
d3,1,0.167824,1.902276,[40 27] ; [51 21],[43.86330935 23.13669065] ; [47.13669065 24.86330935],0
s3,1,0.196437,1.668669,[40 28] ; [34 37],[36.20143885 31.79856115] ; [37.79856115 33.20143885],0
r1,1,0.201101,1.634359,[49 20] ; [57 14],[52.24285714 16.75714286] ; [53.75714286 17.24285714],0
s7,1,0.218143,1.516544,[18 46] ; [26 42],[21.33333333 42.66666667] ; [22.66666667 45.33333333],0
p10,1,0.223576,1.481271,[38 31] ; [45 24],[41.5 27.5] ; [41.5 27.5],0
n5,1,0.240109,1.379957,[24 44] ; [32 39],[27.39568345 40.60431655] ; [28.60431655 42.39568345],0
b2,1,0.285992,1.138393,[ 9 36] ; [12 28],[11.11764706 33.88235294] ; [ 9.88235294 30.11764706],0
b3,1,0.285992,1.138393,[ 9 36] ; [12 28],[11.11764706 33.88235294] ; [ 9.88235294 30.11764706],0
n3,1,0.287471,1.131429,[12  8] ; [18  6],[13.63636364  6.36363636] ; [16.36363636  7.63636364],0
p3,1,0.291884,1.110912,[23 46] ; [29 40],[26. 43.] ; [26. 43.],0
a8,1,0.297967,1.08327,[ 9 58] ; [ 5 59],[ 7.16030534 59.83969466] ; [ 6.83969466 57.16030534],0
p8,1,0.298277,1.081882,[25 44] ; [31 38],[28. 41.] ; [28. 41.],0
a2,1,0.299663,1.075695,[13 56] ; [ 9 63],[10.76595745 58.23404255] ; [11.23404255 60.76595745],0
p4,1,0.301499,1.067551,[29 39] ; [36 34],[32.02898551 35.97101449] ; [32.97101449 37.02898551],0
s4,1,0.312021,1.022103,[14 55] ; [10 62],[11.74468085 57.25531915] ; [12.25531915 59.74468085],0
s6,1,0.315003,1.009583,[34 35] ; [41 30],[36.96428571 32.03571429] ; [38.03571429 32.96428571],0
a6,1,0.398961,0.711457,[48 20] ; [46 26],[45.65714286 22.34285714] ; [48.34285714 23.65714286],0
p5,1,0.424354,0.638225,[ 2 67] ; [ 4 67],[ 2.95714286 66.04285714] ; [ 3.04285714 67.95714286],0
u2,1,0.432988,0.614796,[21 11] ; [13  4],[22.20408163  9.79591837] ; [11.79591837  5.20408163],0
p9,1,0.434983,0.609481,[44 25] ; [49 21],[46.16546763 22.83453237] ; [46.83453237 23.16546763],0
r4,1,0.454057,0.560504,[58 11] ; [57 15],[56.27659574 12.72340426] ; [58.72340426 13.27659574],0
a7,1,0.474763,0.51087,[44 25] ; [50 22],[46. 23.] ; [48. 24.],0
p2,1,0.510932,0.432158,[51 17] ; [49 21],[49.27536232 18.72463768] ; [50.72463768 19.27536232],0
n4,1,0.561211,0.337612,[34 35] ; [39 33],[35.72340426 33.27659574] ; [37.27659574 34.72340426],0
p1,1,0.573572,0.316742,[ 4 64] ; [ 6 66],[ 4.85714286 63.14285714] ; [ 5.14285714 66.85714286],0
a4,1,0.591215,0.288451,[25 44] ; [23 49],[23.4893617 45.5106383] ; [24.5106383 47.4893617],0
s5,1,0.60317,0.270241,[14 52] ; [17 51],[15.26865672 50.73134328] ; [15.73134328 52.26865672],0
