Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,3.6e-05,17.065838,[12 25] ; [35 10],[21.20731707 15.79268293] ; [25.79268293 19.20731707],1
n6,1,0.004312,8.147521,[23 14] ; [40  5],[28.42682927  8.57317073] ; [34.57317073 10.42682927],0
p6,1,0.007428,7.166512,[12 25] ; [ 4 41],[ 7.2195122 29.7804878] ; [ 8.7804878 36.2195122],0
u3,1,0.007832,7.071429,[10  1] ; [4 7],[7. 4.] ; [7. 4.],0
p11,1,0.010052,6.62557,[15 22] ; [31 14],[20.75609756 16.24390244] ; [25.24390244 19.75609756],0
p4,1,0.043437,4.07833,[10 27] ; [22 23],[14.43902439 22.56097561] ; [17.56097561 27.43902439],0
d1,1,0.079389,3.077375,[22 15] ; [18 27],[18.04878049 18.95121951] ; [21.95121951 23.04878049],0
d3,1,0.110067,2.553261,[29  7] ; [29 16],[25.77777778 10.22222222] ; [32.22222222 12.77777778],0
d4,1,0.118068,2.442763,[31  6] ; [31 14],[27.97560976  9.02439024] ; [34.02439024 10.97560976],0
p1,1,0.143603,2.138918,[ 5 32] ; [ 2 43],[ 3.15853659 33.84146341] ; [ 3.84146341 41.15853659],0
b3,1,0.162465,1.951131,[ 6 12] ; [ 4 22],[ 4.09090909 13.90909091] ; [ 5.90909091 20.09090909],0
b2,1,0.162465,1.951131,[ 6 12] ; [ 4 22],[ 4.09090909 13.90909091] ; [ 5.90909091 20.09090909],0
v1,1,0.171496,1.86982,[11 26] ; [20 25],[13.98780488 23.01219512] ; [17.01219512 27.98780488],0
n2,1,0.211555,1.56075,[8 6] ; [14  4],[9.625 4.375] ; [12.375  5.625],0
d5,1,0.233815,1.4175,[29  7] ; [31 14],[26.66666667  9.33333333] ; [33.33333333 11.66666667],0
v2,1,0.236582,1.400844,[19 16] ; [18 26],[16.39240506 18.60759494] ; [20.60759494 23.39240506],0
p2,1,0.243983,1.357432,[20 17] ; [30 15],[22.56097561 14.43902439] ; [27.43902439 17.56097561],0
a6,1,0.267168,1.231231,[25 12] ; [25 20],[22.56097561 14.43902439] ; [27.43902439 17.56097561],0
s6,1,0.273641,1.198402,[25 11] ; [36  9],[27.11111111  8.88888889] ; [33.88888889 11.11111111],0
v3,1,0.299271,1.077441,[11 25] ; [ 9 35],[ 9. 27.] ; [11. 33.],0
d2,1,0.303993,1.056596,[19 18] ; [18 27],[16.69512195 20.30487805] ; [20.30487805 24.69512195],0
r3,1,0.305106,1.051745,[34  3] ; [38  7],[32.48780488  4.51219512] ; [39.51219512  5.48780488],0
b1,1,0.390854,0.736285,[14 23] ; [13 32],[12.18292683 24.81707317] ; [14.81707317 30.18292683],0
u2,1,0.391805,0.733333,[6 5] ; [4 7],[5. 6.] ; [5. 6.],0
b4,1,0.392322,0.731734,[24 13] ; [25 20],[22.1097561 14.8902439] ; [26.8902439 18.1097561],0
n1,1,0.399727,0.709148,[5 9] ; [ 4 14],[ 3.9375 10.0625] ; [ 5.0625 12.9375],0
b5,1,0.408882,0.682048,[27 10] ; [29 16],[25.26829268 11.73170732] ; [30.73170732 14.26829268],0
r4,1,0.437281,0.603407,[32  5] ; [36  9],[30.68292683  6.31707317] ; [37.31707317  7.68292683],0
s5,1,0.44288,0.588809,[14 20] ; [21 21],[15.65789474 18.34210526] ; [19.34210526 22.65789474],0
p10,1,0.456239,0.555105,[26 10] ; [29 16],[24.44444444 11.55555556] ; [30.55555556 14.44444444],0
u1,1,0.479548,0.499892,[ 8 29] ; [ 7 38],[ 6.76829268 30.23170732] ; [ 8.23170732 36.76829268],0
s2,1,0.48056,0.497593,[26 11] ; [27 16],[24.5125 12.4875] ; [28.4875 14.5125],0
a2,1,0.494659,0.466375,[ 6 31] ; [10 35],[ 7.2195122 29.7804878] ; [ 8.7804878 36.2195122],0
r1,1,0.537051,0.381034,[27 10] ; [30 15],[25.7195122 11.2804878] ; [31.2804878 13.7195122],0
a5,1,0.545274,0.365852,[24 13] ; [32 13],[25.26829268 11.73170732] ; [30.73170732 14.26829268],0
a4,1,0.57804,0.309414,[15 22] ; [21 24],[16.24390244 20.75609756] ; [19.75609756 25.24390244],0
a3,1,0.590908,0.288929,[26 11] ; [34 11],[27.07317073  9.92682927] ; [32.92682927 12.07317073],0
a7,1,0.66699,0.185143,[24 12] ; [32 13],[24.88888889 11.11111111] ; [31.11111111 13.88888889],0
a1,1,0.675914,0.174762,[ 1 36] ; [ 2 43],[ 1.35365854 35.64634146] ; [ 1.64634146 43.35365854],0
s7,1,0.690147,0.158926,[17 17] ; [20 24],[16.12820513 17.87179487] ; [20.87179487 23.12820513],0
p7,1,0.700042,0.148428,[15 22] ; [16 28],[14.16049383 22.83950617] ; [16.83950617 27.16049383],0
s8,1,0.841692,0.039892,[14 23] ; [18 27],[14.43902439 22.56097561] ; [17.56097561 27.43902439],0
s1,1,0.858772,0.031662,[ 2 35] ; [ 2 42],[ 1.82716049 35.17283951] ; [ 2.17283951 41.82716049],0
p9,1,0.868549,0.027391,[27  8] ; [34 11],[26.6875  8.3125] ; [34.3125 10.6875],0
v4,1,0.929541,0.007819,[33  3] ; [41  4],[32.88888889  3.11111111] ; [41.11111111  3.88888889],0
p3,1,0.931162,0.007462,[12 25] ; [15 30],[12.18292683 24.81707317] ; [14.81707317 30.18292683],0
n3,1,0.960492,0.002454,[10  4] ; [13  5],[10.0625  3.9375] ; [12.9375  5.0625],0
s3,1,0.99045,0.000143,[25 12] ; [29 14],[24.975 12.025] ; [29.025 13.975],0
