Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.004186,8.20131,[16 19] ; [18 71],[ 9.59677419 25.40322581] ; [24.40322581 64.59677419],0
p4,1,0.004355,8.129544,[18 16] ; [23 66],[11.33333333 22.66666667] ; [29.66666667 59.33333333],0
s8,1,0.004438,8.095265,[ 8 27] ; [ 5 85],[ 3.64 31.36] ; [ 9.36 80.64],0
r4,1,0.004485,8.076281,[29  6] ; [50 40],[22.12 12.88] ; [56.88 33.12],0
s5,1,0.010214,6.597151,[10 25] ; [ 9 80],[ 5.36290323 29.63709677] ; [13.63709677 75.36290323],0
u3,1,0.012257,6.273368,[13  4] ; [17 25],[8.6440678 8.3559322] ; [21.3559322 20.6440678],0
r3,1,0.026487,4.923957,[31  4] ; [61 27],[26.17886179  8.82113821] ; [65.82113821 22.17886179],0
p7,1,0.028653,4.788314,[19 16] ; [29 59],[13.65853659 21.34146341] ; [34.34146341 53.65853659],0
n6,1,0.033431,4.523593,[26  9] ; [47 41],[20.77235772 14.22764228] ; [52.22764228 35.77235772],0
a7,1,0.035556,4.418293,[27  8] ; [50 38],[21.91056911 13.08943089] ; [55.08943089 32.91056911],0
b5,1,0.03634,4.381061,[24 11] ; [43 47],[18.76 16.24] ; [48.24 41.76],0
s7,1,0.072167,3.23303,[10 25] ; [12 71],[ 6.52542373 28.47457627] ; [15.47457627 67.52542373],0
s4,1,0.086084,2.946128,[ 7 28] ; [ 8 82],[ 4.2 30.8] ; [10.8 79.2],0
r1,1,0.104143,2.640926,[27  8] ; [55 34],[23.14516129 11.85483871] ; [58.85483871 30.14516129],0
b1,1,0.113229,2.508569,[23 12] ; [45 45],[19.04 15.96] ; [48.96 41.04],0
a8,1,0.114648,2.488949,[ 4 26] ; [ 4 80],[ 2.10526316 27.89473684] ; [ 5.89473684 78.10526316],0
p8,1,0.134265,2.242483,[12 23] ; [19 70],[ 8.75 26.25] ; [22.25 66.75],0
p5,1,0.134265,2.242483,[ 2 33] ; [ 1 88],[ 0.84677419 34.15322581] ; [ 2.15322581 86.84677419],0
v4,1,0.148853,2.083963,[30  5] ; [64 23],[26.96721311  8.03278689] ; [67.03278689 19.96721311],0
d4,1,0.149081,2.081627,[27  8] ; [56 32],[23.61788618 11.38211382] ; [59.38211382 28.61788618],0
n3,1,0.154664,2.025638,[8 2] ; [21 17],[6.04166667 3.95833333] ; [22.95833333 15.04166667],0
v1,1,0.155688,2.015621,[13 22] ; [22 68],[ 9.8 25.2] ; [25.2 64.8],0
p6,1,0.159372,1.98017,[ 8 27] ; [11 76],[ 5.45081967 29.54918033] ; [13.54918033 73.45081967],0
n5,1,0.177676,1.816955,[22 13] ; [44 45],[18.62903226 16.37096774] ; [47.37096774 41.62903226],0
a4,1,0.183441,1.769521,[ 9 25] ; [35 54],[12.16260163 21.83739837] ; [31.83739837 57.16260163],0
d3,1,0.195594,1.674969,[22 13] ; [45 45],[18.76 16.24] ; [48.24 41.76],0
p3,1,0.238103,1.39179,[11 24] ; [19 70],[ 8.46774194 26.53225806] ; [21.53225806 67.46774194],0
v3,1,0.280906,1.162703,[11 24] ; [19 67],[ 8.67768595 26.32231405] ; [21.32231405 64.67768595],0
r2,1,0.283035,1.15246,[31  4] ; [70 17],[28.97540984  6.02459016] ; [72.02459016 14.97540984],0
d5,1,0.292673,1.107286,[26  9] ; [58 32],[23.52 11.48] ; [60.48 29.52],0
n1,1,0.292823,1.106594,[5 4] ; [15 26],[3.6 5.4] ; [16.4 24.6],0
b2,1,0.320144,0.988356,[ 6 19] ; [19 35],[ 7.91139241 17.08860759] ; [17.08860759 36.91139241],0
b3,1,0.320144,0.988356,[ 6 19] ; [19 35],[ 7.91139241 17.08860759] ; [17.08860759 36.91139241],0
v2,1,0.385881,0.751882,[15 20] ; [30 57],[12.90983607 22.09016393] ; [32.09016393 54.90983607],0
s1,1,0.409042,0.681582,[ 1 33] ; [ 6 82],[ 1.95081967 32.04918033] ; [ 5.04918033 82.95081967],0
a2,1,0.446821,0.578704,[ 7 28] ; [13 77],[ 5.6 29.4] ; [14.4 75.6],0
p11,1,0.449629,0.571588,[17 18] ; [37 53],[15.12 19.88] ; [38.88 51.12],0
a5,1,0.500962,0.452899,[21 14] ; [48 42],[19.32 15.68] ; [49.68 40.32],0
p2,1,0.51349,0.426948,[19 16] ; [43 47],[17.36 17.64] ; [44.64 45.36],0
p1,1,0.546682,0.363295,[ 2 33] ; [ 8 81],[ 2.82258065 32.17741935] ; [ 7.17741935 81.82258065],0
p10,1,0.609638,0.260702,[ 8 25] ; [18 72],[ 6.97560976 26.02439024] ; [19.02439024 70.97560976],0
n2,1,0.617935,0.24878,[6 4] ; [21 20],[5.29411765 4.70588235] ; [21.70588235 19.29411765],0
b4,1,0.633321,0.227585,[23 12] ; [55 35],[21.84 13.16] ; [56.16 33.84],0
d1,1,0.640079,0.218639,[16 19] ; [37 53],[14.84 20.16] ; [38.16 51.84],0
u2,1,0.677911,0.172487,[8 8] ; [18 23],[7.29824561 8.70175439] ; [18.70175439 22.29824561],0
a6,1,0.684283,0.165344,[22 13] ; [53 37],[21. 14.] ; [54. 36.],0
n4,1,0.684475,0.165132,[23 12] ; [55 34],[22.01612903 12.98387097] ; [55.98387097 33.01612903],0
a3,1,0.801404,0.063268,[18 17] ; [48 41],[18.62903226 16.37096774] ; [47.37096774 41.62903226],0
u1,1,0.814266,0.05519,[ 4 31] ; [ 9 81],[ 3.64 31.36] ; [ 9.36 80.64],0
a1,1,0.84513,0.038156,[ 2 33] ; [ 6 84],[ 2.24 32.76] ; [ 5.76 84.24],0
d2,1,0.932616,0.007149,[17 18] ; [42 46],[16.78861789 18.21138211] ; [42.21138211 45.78861789],0
