Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.01978,5.431188,[ 7 27] ; [4 2],[ 9.35 24.65] ; [1.65 4.35],0
b1,1,0.022571,5.201188,[31 34] ; [16  5],[35.52325581 29.47674419] ; [11.47674419  9.52325581],0
v3,1,0.028366,4.805681,[ 6 58] ; [ 6 15],[ 9.03529412 54.96470588] ; [ 2.96470588 18.03529412],0
a3,1,0.050455,3.826265,[30 34] ; [15  6],[33.88235294 30.11764706] ; [11.11764706  9.88235294],0
p9,1,0.058137,3.589744,[30 33] ; [15  6],[33.75 29.25] ; [11.25  9.75],0
p10,1,0.130134,2.290909,[30 33] ; [14  7],[33. 30.] ; [11. 10.],0
s6,1,0.130589,2.285494,[14 51] ; [ 8 13],[16.62790698 48.37209302] ; [ 5.37209302 15.62790698],0
p6,1,0.149821,2.074074,[11 52] ; [ 1 20],[ 9. 54.] ; [ 3. 18.],0
d4,1,0.193227,1.69284,[36 29] ; [15  6],[38.54651163 26.45348837] ; [12.45348837  8.54651163],0
n6,1,0.204045,1.613182,[36 28] ; [ 8 12],[33.52380952 30.47619048] ; [10.47619048  9.52380952],0
n5,1,0.221267,1.496134,[43 21] ; [11 10],[40.65882353 23.34117647] ; [13.34117647  7.65882353],0
a1,1,0.222442,1.488544,[ 6 59] ; [ 4 17],[ 7.55813953 57.44186047] ; [ 2.44186047 18.55813953],0
r2,1,0.230323,1.438864,[32 30] ; [14  7],[34.36144578 27.63855422] ; [11.63855422  9.36144578],0
d3,1,0.232703,1.42426,[27 37] ; [12  9],[29.36470588 34.63529412] ; [ 9.63529412 11.36470588],0
s1,1,0.236098,1.40374,[ 4 61] ; [ 3 18],[ 5.29069767 59.70930233] ; [ 1.70930233 19.29069767],0
n1,1,0.268494,1.224426,[11 20] ; [6 5],[12.54761905 18.45238095] ; [4.45238095 6.54761905],0
n2,1,0.292407,1.108504,[14 17] ; [7 4],[15.5 15.5] ; [5.5 5.5],0
r3,1,0.296528,1.089744,[28 37] ; [ 6 14],[26. 39.] ; [ 8. 12.],0
p11,1,0.302248,1.064251,[30 35] ; [ 7 14],[27.96511628 37.03488372] ; [ 9.03488372 11.96511628],0
b4,1,0.317666,0.998531,[36 29] ; [ 9 12],[34.01162791 30.98837209] ; [10.98837209 10.01162791],0
s8,1,0.334784,0.930304,[12 53] ; [ 2 19],[10.58139535 54.41860465] ; [ 3.41860465 17.58139535],0
s5,1,0.336663,0.923099,[ 7 57] ; [ 4 17],[ 8.28235294 55.71764706] ; [ 2.71764706 18.28235294],0
s2,1,0.349014,0.87704,[15 50] ; [ 7 14],[16.62790698 48.37209302] ; [ 5.37209302 15.62790698],0
n3,1,0.361874,0.831378,[12 19] ; [6 5],[13.28571429 17.71428571] ; [4.71428571 6.28571429],0
a2,1,0.365814,0.817836,[ 5 60] ; [ 3 18],[ 6.04651163 58.95348837] ; [ 1.95348837 19.04651163],0
p8,1,0.437199,0.603622,[21 43] ; [ 5 16],[19.57647059 44.42352941] ; [ 6.42352941 14.57647059],0
p3,1,0.442168,0.59065,[17 48] ; [ 7 13],[18.35294118 46.64705882] ; [ 5.64705882 14.35294118],0
s4,1,0.468113,0.526427,[14 51] ; [ 3 18],[12.84883721 52.15116279] ; [ 4.15116279 16.84883721],0
p4,1,0.485099,0.487378,[24 41] ; [ 6 15],[22.6744186 42.3255814] ; [ 7.3255814 13.6744186],0
s7,1,0.517053,0.419767,[17 45] ; [ 7 13],[18.14634146 43.85365854] ; [ 5.85365854 14.14634146],0
d2,1,0.536703,0.381684,[23 41] ; [ 6 15],[21.83529412 42.16470588] ; [ 7.16470588 13.83529412],0
p5,1,0.582816,0.301704,[ 4 59] ; [ 2 18],[ 4.55421687 58.44578313] ; [ 1.44578313 18.55421687],0
b5,1,0.611174,0.258469,[32 33] ; [ 9 12],[30.98837209 34.01162791] ; [10.01162791 10.98837209],0
p2,1,0.636348,0.22355,[34 29] ; [12  8],[34.91566265 28.08433735] ; [11.08433735  8.91566265],0
u2,1,0.645962,0.211029,[14 21] ; [3 3],[14.51219512 20.48780488] ; [2.48780488 3.51219512],0
d5,1,0.699345,0.149154,[34 31] ; [12  9],[34.76744186 30.23255814] ; [11.23255814  9.76744186],0
n4,1,0.715569,0.132777,[37 28] ; [11 10],[36.27906977 28.72093023] ; [11.72093023  9.27906977],0
r1,1,0.717933,0.130482,[16 49] ; [ 6 15],[16.62790698 48.37209302] ; [ 5.37209302 15.62790698],0
v4,1,0.748497,0.102798,[34 30] ; [12  9],[34.63529412 29.36470588] ; [11.36470588  9.63529412],0
a4,1,0.753046,0.098989,[19 45] ; [ 7 14],[19.57647059 44.42352941] ; [ 6.42352941 14.57647059],0
p7,1,0.75419,0.098044,[22 40] ; [ 6 13],[21.43209877 40.56790123] ; [ 6.56790123 12.43209877],0
a7,1,0.791916,0.069603,[30 35] ; [ 9 12],[29.47674419 35.52325581] ; [ 9.52325581 11.47674419],0
s3,1,0.792599,0.069136,[22 41] ; [ 8 13],[22.5 40.5] ; [ 7.5 13.5],0
a5,1,0.80181,0.063004,[32 33] ; [11 10],[32.5 32.5] ; [10.5 10.5],0
p1,1,0.855034,0.033379,[ 7 57] ; [ 2 19],[ 6.77647059 57.22352941] ; [ 2.22352941 18.77647059],0
a6,1,0.897788,0.016501,[33 32] ; [11 10],[33.25581395 31.74418605] ; [10.74418605 10.25581395],0
d1,1,0.937761,0.006097,[18 47] ; [ 6 15],[18.13953488 46.86046512] ; [ 5.86046512 15.13953488],0
u1,1,0.977886,0.000768,[ 3 62] ; [ 1 20],[ 3.02325581 61.97674419] ; [ 0.97674419 20.02325581],0
b2,1,1.0,0.0,[15 30] ; [3 6],[15. 30.] ; [3. 6.],0
b3,1,1.0,0.0,[15 30] ; [3 6],[15. 30.] ; [3. 6.],0
