Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,42.581051,[135 118] ; [98 12],[162.39393939  90.60606061] ; [70.60606061 39.39393939],1
s2,1,0.0,33.94643,[ 94 159] ; [78 33],[119.54945055 133.45054945] ; [52.45054945 58.54945055],1
s3,1,4e-06,21.279809,[119 135] ; [81 30],[139.17808219 114.82191781] ; [60.82191781 50.17808219],1
p6,1,2.9e-05,17.514621,[ 68 184] ; [55 56],[ 85.38842975 166.61157025] ; [37.61157025 73.38842975],1
s7,1,7.7e-05,15.640045,[ 90 153] ; [64 43],[106.92 136.08] ; [47.08 59.92],1
p10,1,0.000207,13.766937,[172  79] ; [95 14],[186.15833333  64.84166667] ; [80.84166667 28.15833333],1
s4,1,0.000248,13.428951,[ 36 215] ; [34 76],[ 48.67036011 202.32963989] ; [21.32963989 88.67036011],1
s8,1,0.000301,13.062357,[ 81 173] ; [58 54],[ 96.46448087 157.53551913] ; [42.53551913 69.46448087],1
p5,1,0.00061,11.744463,[ 16 236] ; [20 91],[ 24.99173554 227.00826446] ; [11.00826446 99.99173554],1
v1,1,0.000813,11.210932,[ 76 172] ; [54 56],[ 90.05586592 157.94413408] ; [39.94413408 70.05586592],1
p9,1,0.002328,9.271297,[186  66] ; [97 13],[197.00552486  54.99447514] ; [85.99447514 24.00552486],0
p4,1,0.003625,8.462481,[127 126] ; [74 37],[139.70604396 113.29395604] ; [61.29395604 49.70604396],0
p12,1,0.003927,8.317203,[  7 245] ; [ 11 100],[ 12.49586777 239.50413223] ; [  5.50413223 105.49586777],0
r1,1,0.00521,7.805112,[174  79] ; [92 19],[184.88461538  68.11538462] ; [81.11538462 29.88461538],0
b5,1,0.005736,7.631446,[168  86] ; [57 55],[156.14754098  97.85245902] ; [68.85245902 43.14754098],0
d4,1,0.006397,7.434894,[186  67] ; [96 15],[196.00549451  56.99450549] ; [85.99450549 25.00549451],0
p7,1,0.009656,6.697364,[137 113] ; [75 33],[148.04469274 101.95530726] ; [63.95530726 44.04469274],0
p3,1,0.010655,6.521944,[ 97 156] ; [59 53],[108.13150685 144.86849315] ; [47.86849315 64.13150685],0
a4,1,0.017083,5.687802,[ 95 158] ; [57 55],[105.35890411 147.64109589] ; [46.64109589 65.35890411],0
r4,1,0.021933,5.251067,[223  31] ; [107   5],[229.01639344  24.98360656] ; [100.98360656  11.01639344],0
d1,1,0.022171,5.232348,[119 135] ; [67 45],[129.08196721 124.91803279] ; [56.91803279 55.08196721],0
d3,1,0.033086,4.54133,[150 101] ; [80 32],[159.03581267  91.96418733] ; [70.96418733 41.03581267],0
n1,1,0.041342,4.161945,[22 45] ; [15 12],[26.37234043 40.62765957] ; [10.62765957 16.37234043],0
p1,1,0.04173,4.146134,[ 16 237] ; [14 96],[ 20.90909091 232.09090909] ; [  9.09090909 100.90909091],0
r2,1,0.048175,3.903878,[227  24] ; [108   4],[231.63911846  19.36088154] ; [103.36088154   8.63911846],0
n6,1,0.06523,3.399151,[201  52] ; [98 14],[207.25205479  45.74794521] ; [91.74794521 20.25205479],0
a3,1,0.069376,3.297714,[155  98] ; [79 32],[162.64285714  90.35714286] ; [71.35714286 39.64285714],0
p2,1,0.083544,2.994575,[202  51] ; [97 14],[207.82142857  45.17857143] ; [91.17857143 19.82142857],0
b3,1,0.106605,2.603848,[ 48 101] ; [30 39],[53.31192661 95.68807339] ; [24.68807339 44.31192661],0
b2,1,0.106605,2.603848,[ 48 101] ; [30 39],[53.31192661 95.68807339] ; [24.68807339 44.31192661],0
a2,1,0.10806,2.582369,[ 45 209] ; [28 84],[ 50.66120219 203.33879781] ; [22.33879781 89.66120219],0
p8,1,0.112129,2.523954,[115 138] ; [61 51],[121.99452055 131.00547945] ; [54.00547945 57.99452055],0
n2,1,0.117728,2.447285,[45 23] ; [23  5],[48.16666667 19.83333333] ; [19.83333333  8.16666667],0
d5,1,0.134836,2.235922,[186  66] ; [90 21],[191.60330579  60.39669421] ; [84.39669421 26.60330579],0
b4,1,0.13891,2.18999,[133 121] ; [68 44],[139.49180328 114.50819672] ; [61.50819672 50.49180328],0
a6,1,0.141169,2.16517,[165  88] ; [64 48],[158.73150685  94.26849315] ; [70.26849315 41.73150685],0
v4,1,0.152691,2.045159,[237  16] ; [108   3],[239.79395604  13.20604396] ; [105.20604396   5.79395604],0
d2,1,0.155124,2.021124,[104 149] ; [55 57],[110.2109589 142.7890411] ; [48.7890411 63.2109589],0
a7,1,0.159909,1.975083,[177  76] ; [70 42],[171.20821918  81.79178082] ; [75.79178082 36.20821918],0
a5,1,0.162368,1.952033,[160  94] ; [79 33],[165.86338798  88.13661202] ; [73.13661202 38.86338798],0
a1,1,0.215329,1.535235,[  7 247] ; [  6 106],[  9.02185792 244.97814208] ; [  3.97814208 108.02185792],0
u1,1,0.369984,0.80372,[ 34 220] ; [19 93],[ 36.78142077 217.21857923] ; [16.21857923 95.78142077],0
u2,1,0.573476,0.316901,[56 42] ; [17 16],[54.61068702 43.38931298] ; [18.38931298 14.61068702],0
u4,1,0.604502,0.26826,[  4 250] ; [  1 111],[  3.46994536 250.53005464] ; [  1.53005464 110.46994536],0
a8,1,0.65753,0.196538,[ 30 207] ; [15 89],[ 31.27565982 205.72434018] ; [13.72434018 90.27565982],0
