Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,108.232088,[326 144] ; [ 61 162],[262.46753247 207.53246753] ; [124.53246753  98.46753247],1
p6,1,0.0,77.445156,[232 237] ; [ 33 191],[179.34343434 289.65656566] ; [ 85.65656566 138.34343434],1
p3,1,0.0,55.798804,[296 175] ; [ 73 151],[250.0705036 220.9294964] ; [118.9294964 105.0705036],1
p4,1,0.0,48.039449,[339 132] ; [101 124],[297.75862069 173.24137931] ; [142.24137931  82.75862069],1
p2,1,0.0,37.091543,[431  39] ; [168  57],[405.07913669  64.92086331] ; [193.92086331  31.07913669],1
s7,1,2.7e-05,17.634662,[259 192] ; [ 87 130],[233.60179641 217.39820359] ; [112.39820359 104.60179641],1
s8,1,5.4e-05,16.298662,[249 221] ; [ 82 142],[224.16426513 245.83573487] ; [106.83573487 117.16426513],1
s5,1,0.0003,13.068669,[187 273] ; [ 55 155],[166.14925373 293.85074627] ; [ 75.85074627 134.14925373],1
p5,1,0.000794,11.254065,[ 72 398] ; [ 14 208],[ 58.41040462 411.58959538] ; [ 27.58959538 194.41040462],1
r1,1,0.000844,11.141343,[398  72] ; [166  58],[381.95965418  88.04034582] ; [182.04034582  41.95965418],1
v1,1,0.001134,10.594447,[277 184] ; [101 115],[257.39734121 203.60265879] ; [120.60265879  95.39734121],0
a3,1,0.001173,10.532547,[360 110] ; [146  79],[342.18705036 127.81294964] ; [163.81294964  61.18705036],0
s6,1,0.004542,8.053377,[337 123] ; [139  83],[321.05571848 138.94428152] ; [154.94428152  67.05571848],0
a8,1,0.005567,7.685433,[ 72 358] ; [ 18 191],[ 60.56338028 369.43661972] ; [ 29.43661972 179.56338028],0
v3,1,0.007741,7.092388,[206 252] ; [ 73 141],[190.15178571 267.84821429] ; [ 88.84821429 125.15178571],0
b5,1,0.017874,5.608445,[266 206] ; [148  77],[280.35581062 191.64418938] ; [133.64418938  91.35581062],0
n4,1,0.025494,4.990014,[385  87] ; [167  58],[373.80774749  98.19225251] ; [178.19225251  46.80774749],0
d5,1,0.026036,4.953638,[397  72] ; [175  50],[386.55331412  82.44668588] ; [185.44668588  39.55331412],0
a2,1,0.027547,4.856219,[124 348] ; [ 42 183],[112.41319943 359.58680057] ; [ 53.58680057 171.41319943],0
v2,1,0.02899,4.768202,[284 171] ; [114  99],[271.09281437 183.90718563] ; [126.90718563  86.09281437],0
r4,1,0.037425,4.330972,[446  26] ; [203  22],[439.49497848  32.50502152] ; [209.50502152  15.49497848],0
p11,1,0.045764,3.990266,[411  61] ; [183  42],[402.24964132  69.75035868] ; [191.75035868  33.24964132],0
n5,1,0.05103,3.8073,[377  93] ; [165  59],[367.06051873 102.93948127] ; [174.93948127  49.06051873],0
d3,1,0.053964,3.713807,[338 131] ; [146  79],[327.08357349 141.91642651] ; [156.91642651  68.08357349],0
b1,1,0.062776,3.462481,[181 291] ; [ 70 155],[169.97417504 302.02582496] ; [ 81.02582496 143.97417504],0
a1,1,0.075924,3.15007,[ 27 445] ; [  6 219],[ 22.3472023 449.6527977] ; [ 10.6527977 214.3472023],0
d1,1,0.100885,2.69149,[295 177] ; [126  99],[285.09612626 186.90387374] ; [135.90387374  89.09612626],0
b4,1,0.104132,2.64109,[263 209] ; [140  85],[272.90674319 199.09325681] ; [130.09325681  94.90674319],0
a5,1,0.110422,2.548169,[366 106] ; [162  63],[357.55523673 114.44476327] ; [170.44476327  54.55523673],0
v4,1,0.169546,1.88695,[454  15] ; [212  12],[450.72727273  18.27272727] ; [215.27272727   8.72727273],0
s2,1,0.173069,1.856158,[261 209] ; [111 111],[252.65895954 217.34104046] ; [119.34104046 102.65895954],0
s3,1,0.178511,1.80998,[276 190] ; [120 103],[267.83164006 198.16835994] ; [128.16835994  94.83164006],0
n6,1,0.235763,1.405751,[414  54] ; [191  33],[409.16184971  58.83815029] ; [195.83815029  28.16184971],0
d4,1,0.236415,1.401844,[397  73] ; [182  43],[391.55395683  78.44604317] ; [187.44604317  37.55395683],0
n3,1,0.262829,1.253797,[63 16] ; [40 16],[60.27407407 18.72592593] ; [42.72592593 13.27407407],0
