Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,52.623507,[262   7] ; [5 5],[257.43010753  11.56989247] ; [9.56989247 0.43010753],1
v4,1,0.0,51.146468,[264   4] ; [6 4],[260.28776978   7.71223022] ; [9.71223022 0.28776978],1
s2,1,0.001563,10.002759,[190  76] ; [2 7],[185.71636364  80.28363636] ; [6.28363636 2.71636364],0
a3,1,0.003059,8.771862,[213  55] ; [4 6],[209.1942446  58.8057554] ; [7.8057554 2.1942446],0
d1,1,0.003251,8.660989,[196  73] ; [3 7],[191.86738351  77.13261649] ; [7.13261649 2.86738351],0
s3,1,0.006626,7.371637,[196  68] ; [3 6],[192.43956044  71.56043956] ; [6.56043956 2.43956044],0
a5,1,0.01818,5.578687,[217  52] ; [5 5],[214.04301075  54.95698925] ; [7.95698925 2.04301075],0
n5,1,0.023954,5.097935,[213  54] ; [5 5],[210.1299639  56.8700361] ; [7.8700361 2.1299639],0
a6,1,0.026099,4.949444,[213  55] ; [5 5],[210.15827338  57.84172662] ; [7.84172662 2.15827338],0
p7,1,0.042001,4.135172,[182  77] ; [4 6],[179.08550186  79.91449814] ; [6.91449814 3.08550186],0
a4,1,0.067343,3.346617,[133 136] ; [2 8],[130.16129032 138.83870968] ; [4.83870968 5.16129032],0
d2,1,0.070896,3.262143,[158 111] ; [3 7],[155.22939068 113.77060932] ; [5.77060932 4.22939068],0
n2,1,0.073322,3.207033,[40 12] ; [2 3],[38.31578947 13.68421053] ; [3.68421053 1.31578947],0
r1,1,0.093644,2.810594,[234  32] ; [7 3],[232.26811594  33.73188406] ; [8.73188406 1.26811594],0
d5,1,0.100499,2.697615,[236  33] ; [7 3],[234.29032258  34.70967742] ; [8.70967742 1.29032258],0
a2,1,0.106468,2.605885,[ 93 176] ; [1 9],[ 90.63082437 178.36917563] ; [3.36917563 6.63082437],0
d4,1,0.111969,2.526205,[235  34] ; [7 3],[233.32616487  35.67383513] ; [8.67383513 1.32616487],0
s7,1,0.160144,1.972862,[194  61] ; [5 4],[192.21590909  62.78409091] ; [6.78409091 2.21590909],0
u1,1,0.170428,1.879171,[ 81 188] ; [1 9],[ 79.0609319 189.9390681] ; [2.9390681 7.0609319],0
r3,1,0.216918,1.524647,[261   8] ; [9 1],[260.32258065   8.67741935] ; [9.67741935 0.32258065],0
b4,1,0.224192,1.477337,[164 105] ; [8 2],[165.83512545 103.16487455] ; [6.16487455 3.83512545],0
p8,1,0.261469,1.260963,[154 112] ; [4 6],[152.27536232 113.72463768] ; [5.72463768 4.27536232],0
b1,1,0.307521,1.041291,[ 96 173] ; [2 8],[ 94.4874552 174.5125448] ; [3.5125448 6.4874552],0
p6,1,0.316455,1.003542,[123 144] ; [3 7],[121.45126354 145.54873646] ; [4.54873646 5.45126354],0
v2,1,0.340536,0.908411,[167  91] ; [5 5],[165.58208955  92.41791045] ; [6.41791045 3.58208955],0
n1,1,0.354827,0.856118,[21 30] ; [1 4],[20.03571429 30.96428571] ; [1.96428571 3.03571429],0
p11,1,0.418046,0.6558,[214  55] ; [9 1],[215.00716846  53.99283154] ; [7.99283154 2.00716846],0
u2,1,0.419871,0.650676,[37 18] ; [5 1],[37.86885246 17.13114754] ; [4.13114754 1.86885246],0
n4,1,0.428669,0.626427,[215  53] ; [7 3],[214.01438849  53.98561151] ; [7.98561151 2.01438849],0
d3,1,0.444626,0.584314,[215  54] ; [7 3],[214.04301075  54.95698925] ; [7.95698925 2.04301075],0
v1,1,0.447074,0.578059,[161  99] ; [5 5],[159.85185185 100.14814815] ; [6.14814815 3.85185185],0
n6,1,0.448256,0.575057,[235  32] ; [8 2],[234.22743682  32.77256318] ; [8.77256318 1.22743682],0
b3,1,0.560731,0.33844,[ 72 111] ; [1 3],[ 71.43850267 111.56149733] ; [1.56149733 2.43850267],0
b2,1,0.560731,0.33844,[ 72 111] ; [1 3],[ 71.43850267 111.56149733] ; [1.56149733 2.43850267],0
p4,1,0.563357,0.333926,[184  84] ; [6 4],[183.16546763  84.83453237] ; [6.83453237 3.16546763],0
b5,1,0.593778,0.284482,[183  86] ; [6 4],[182.22580645  86.77419355] ; [6.77419355 3.22580645],0
p5,1,0.60107,0.273385,[ 43 223] ; [1 9],[ 42.4057971 223.5942029] ; [1.5942029 8.4057971],0
n3,1,0.60257,0.271137,[37 15] ; [3 2],[36.49122807 15.50877193] ; [3.50877193 1.49122807],0
u3,1,0.657514,0.196558,[42 14] ; [4 2],[41.5483871 14.4516129] ; [4.4516129 1.5483871],0
s6,1,0.721034,0.127504,[224  42] ; [8 2],[223.5942029  42.4057971] ; [8.4057971 1.5942029],0
a8,1,0.746475,0.104517,[ 43 196] ; [2 7],[ 43.36693548 195.63306452] ; [1.63306452 7.36693548],0
s5,1,0.768971,0.086272,[114 141] ; [4 6],[113.54716981 141.45283019] ; [4.45283019 5.54716981],0
p2,1,0.780318,0.077788,[234  35] ; [9 1],[234.29032258  34.70967742] ; [8.70967742 1.29032258],0
p9,1,0.790789,0.070377,[245  23] ; [8 1],[244.77978339  23.22021661] ; [8.22021661 0.77978339],0
v3,1,0.797744,0.065673,[117 138] ; [5 5],[117.39622642 137.60377358] ; [4.60377358 5.39622642],0
p12,1,0.881932,0.022058,[ 31 238] ; [1 9],[ 30.85304659 238.14695341] ; [1.14695341 8.85304659],0
