Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.003007,8.803134,[13  5] ; [ 7 19],[8.18181818 9.81818182] ; [11.81818182 14.18181818],0
a7,1,0.027497,4.859302,[ 5 13] ; [16 10],[8.59090909 9.40909091] ; [12.40909091 13.59090909],0
a6,1,0.045742,3.991075,[ 7 11] ; [18  8],[10.22727273  7.77272727] ; [14.77272727 11.22727273],0
s4,1,0.072591,3.223443,[ 3 15] ; [11 15],[ 5.72727273 12.27272727] ; [ 8.27272727 17.72727273],0
d4,1,0.07668,3.133903,[16  2] ; [17  9],[13.5  4.5] ; [19.5  6.5],0
s3,1,0.130802,2.282956,[11  6] ; [22  4],[13.04651163  3.95348837] ; [19.95348837  6.04651163],0
u3,1,0.149073,2.081713,[4 1] ; [5 7],[2.64705882 2.35294118] ; [6.35294118 5.64705882],0
v2,1,0.17186,1.866643,[11  7] ; [10 15],[8.79069767 9.20930233] ; [12.20930233 12.79069767],0
p4,1,0.179094,1.805128,[12  6] ; [12 14],[9.81818182 8.18181818] ; [14.18181818 11.81818182],0
a3,1,0.218389,1.514925,[13  5] ; [14 12],[11.04545455  6.95454545] ; [15.95454545 10.04545455],0
r2,1,0.241279,1.373108,[9 8] ; [17  7],[10.7804878  6.2195122] ; [15.2195122  8.7804878],0
d1,1,0.262873,1.253561,[10  8] ; [10 16],[8.18181818 9.81818182] ; [11.81818182 14.18181818],0
p3,1,0.262873,1.253561,[10  8] ; [10 16],[8.18181818 9.81818182] ; [11.81818182 14.18181818],0
a1,1,0.347215,0.883608,[ 2 16] ; [ 1 25],[ 1.22727273 16.77272727] ; [ 1.77272727 24.22727273],0
s5,1,0.382003,0.764247,[ 7 11] ; [ 6 17],[ 5.70731707 12.29268293] ; [ 7.29268293 15.70731707],0
a4,1,0.402114,0.701994,[ 7 11] ; [ 7 19],[ 5.72727273 12.27272727] ; [ 8.27272727 17.72727273],0
p10,1,0.452214,0.565096,[11  7] ; [18  7],[12.13953488  5.86046512] ; [16.86046512  8.13953488],0
a5,1,0.466763,0.52963,[11  7] ; [13 13],[9.81818182 8.18181818] ; [14.18181818 11.81818182],0
b4,1,0.466763,0.52963,[ 7 11] ; [13 13],[8.18181818 9.81818182] ; [11.81818182 14.18181818],0
s8,1,0.510315,0.433421,[ 8 10] ; [ 9 17],[ 6.95454545 11.04545455] ; [10.04545455 15.95454545],0
n1,1,0.605242,0.267161,[2 5] ; [2 9],[1.55555556 5.44444444] ; [2.44444444 8.55555556],0
n2,1,0.605242,0.267161,[5 2] ; [9 2],[5.44444444 1.55555556] ; [8.55555556 2.44444444],0
d5,1,0.632101,0.229223,[13  5] ; [17  9],[12.27272727  5.72727273] ; [17.72727273  8.27272727],0
p7,1,0.650014,0.205882,[10  8] ; [15  9],[10.71428571  7.28571429] ; [14.28571429  9.71428571],0
s7,1,0.650014,0.205882,[9 8] ; [15 10],[9.71428571 7.28571429] ; [14.28571429 10.71428571],0
d3,1,0.69147,0.157499,[10  8] ; [16 10],[10.63636364  7.36363636] ; [15.36363636 10.63636364],0
b5,1,0.69147,0.157499,[10  8] ; [16 10],[10.63636364  7.36363636] ; [15.36363636 10.63636364],0
n4,1,0.69147,0.157499,[10  8] ; [16 10],[10.63636364  7.36363636] ; [15.36363636 10.63636364],0
s1,1,0.698127,0.150427,[ 2 16] ; [ 2 24],[ 1.63636364 16.36363636] ; [ 2.36363636 23.63636364],0
n5,1,0.734547,0.114977,[10  7] ; [16  9],[10.52380952  6.47619048] ; [15.47619048  9.52380952],0
p8,1,0.737506,0.112331,[ 7 11] ; [11 14],[ 7.53488372 10.46511628] ; [10.46511628 14.53488372],0
s6,1,0.756871,0.095847,[11  6] ; [18  8],[11.46511628  5.53488372] ; [17.53488372  8.46511628],0
p11,1,0.772022,0.083944,[11  7] ; [17  9],[11.45454545  6.54545455] ; [16.54545455  9.45454545],0
v3,1,0.779405,0.078453,[ 5 13] ; [ 6 19],[ 4.60465116 13.39534884] ; [ 6.39534884 18.60465116],0
p2,1,0.779405,0.078453,[13  5] ; [19  6],[13.39534884  4.60465116] ; [18.60465116  6.39534884],0
a2,1,0.782186,0.076437,[ 1 17] ; [ 2 24],[ 1.22727273 16.77272727] ; [ 1.77272727 24.22727273],0
v4,1,0.786648,0.07326,[10  6] ; [16  8],[10.4  5.6] ; [15.6  8.4],0
r1,1,0.803075,0.062185,[ 4 13] ; [ 7 19],[ 4.34883721 12.65116279] ; [ 6.65116279 19.34883721],0
u2,1,0.838464,0.041558,[2 3] ; [5 6],[2.1875 2.8125] ; [4.8125 6.1875],0
p9,1,0.857514,0.032234,[12  6] ; [18  8],[12.27272727  5.72727273] ; [17.72727273  8.27272727],0
r3,1,0.891717,0.018532,[14  4] ; [19  6],[13.81395349  4.18604651] ; [19.18604651  5.81395349],0
n3,1,0.913906,0.011688,[3 4] ; [5 6],[3.11111111 3.88888889] ; [4.88888889 6.11111111],0
b2,1,0.921775,0.009643,[3 9] ; [ 4 11],[3.11111111 8.88888889] ; [ 3.88888889 11.11111111],0
b3,1,0.921775,0.009643,[3 9] ; [ 4 11],[3.11111111 8.88888889] ; [ 3.88888889 11.11111111],0
n6,1,0.922512,0.009462,[10  6] ; [16  9],[10.14634146  5.85365854] ; [15.85365854  9.14634146],0
p6,1,0.929711,0.007781,[ 6 12] ; [ 9 17],[ 6.13636364 11.86363636] ; [ 8.86363636 17.13636364],0
d2,1,0.977165,0.000819,[ 7 11] ; [10 16],[ 6.95454545 11.04545455] ; [10.04545455 15.95454545],0
