Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,28.396268,[10 21] ; [83 18],[21.84090909  9.15909091] ; [71.15909091 29.84090909],1
a4,1,0.004634,8.017023,[ 7 24] ; [52 49],[13.85606061 17.14393939] ; [45.14393939 55.85606061],0
s4,1,0.007946,7.04551,[ 9 22] ; [10 91],[ 4.46212121 26.53787879] ; [14.53787879 86.46212121],0
a5,1,0.008573,6.909587,[16 15] ; [77 24],[21.84090909  9.15909091] ; [71.15909091 29.84090909],0
s7,1,0.011113,6.447156,[ 9 22] ; [52 42],[15.128 15.872] ; [45.872 48.128],0
n1,1,0.01837,5.560485,[ 1 14] ; [7 9],[ 3.87096774 11.12903226] ; [ 4.12903226 11.87096774],0
b1,1,0.019248,5.478801,[ 6 25] ; [43 58],[11.50757576 19.49242424] ; [37.49242424 63.50757576],0
a8,1,0.046208,3.974006,[ 1 30] ; [16 75],[ 4.31967213 26.68032787] ; [12.68032787 78.31967213],0
p6,1,0.055106,3.678889,[ 2 28] ; [22 77],[ 5.58139535 24.41860465] ; [18.41860465 80.58139535],0
n6,1,0.073349,3.20643,[22  9] ; [86 15],[25.36363636  5.63636364] ; [82.63636364 18.36363636],0
s8,1,0.091617,2.845736,[10 21] ; [50 51],[14.09090909 16.90909091] ; [45.90909091 55.09090909],0
d2,1,0.101645,2.679537,[10 21] ; [49 51],[13.96183206 17.03816794] ; [45.03816794 54.96183206],0
s2,1,0.118706,2.434314,[11 20] ; [52 49],[14.79545455 16.20454545] ; [48.20454545 52.79545455],0
a2,1,0.132425,2.263839,[ 3 28] ; [22 79],[ 5.87121212 25.12878788] ; [19.12878788 81.87121212],0
n3,1,0.133975,2.245833,[9 6] ; [15  3],[10.90909091  4.09090909] ; [13.09090909  4.90909091],0
a7,1,0.146592,2.107356,[25  6] ; [67 33],[21.77099237  9.22900763] ; [70.22900763 29.77099237],0
p3,1,0.146592,2.107356,[ 6 25] ; [33 67],[ 9.22900763 21.77099237] ; [29.77099237 70.22900763],0
d1,1,0.157069,2.002225,[13 18] ; [57 44],[16.43939394 14.56060606] ; [53.56060606 47.43939394],0
d3,1,0.16244,1.951362,[23  8] ; [61 40],[19.72727273 11.27272727] ; [64.27272727 36.72727273],0
a1,1,0.194081,1.686362,[ 1 30] ; [11 90],[ 2.81818182 28.18181818] ; [ 9.18181818 91.81818182],0
p1,1,0.194081,1.686362,[ 1 30] ; [11 90],[ 2.81818182 28.18181818] ; [ 9.18181818 91.81818182],0
u1,1,0.221967,1.491611,[ 2 29] ; [15 86],[ 3.99242424 27.00757576] ; [13.00757576 87.99242424],0
b4,1,0.332008,0.94105,[22  9] ; [62 39],[19.72727273 11.27272727] ; [64.27272727 36.72727273],0
p11,1,0.344056,0.89526,[21 10] ; [77 24],[23.01515152  7.98484848] ; [74.98484848 26.01515152],0
