Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1.3e-05,19.002166,[13 29] ; [55 21],[24.20338983 17.79661017] ; [43.79661017 32.20338983],1
v4,1,0.000969,10.885916,[32 10] ; [73  3],[37.37288136  4.62711864] ; [67.62711864  8.37288136],1
d4,1,0.000997,10.832367,[23 19] ; [63 13],[30.61016949 11.38983051] ; [55.38983051 20.61016949],1
a6,1,0.001007,10.814521,[15 27] ; [51 25],[23.49152542 18.50847458] ; [42.50847458 33.49152542],0
r3,1,0.002888,8.87662,[31 11] ; [71  5],[36.30508475  5.69491525] ; [65.69491525 10.30508475],0
r4,1,0.003448,8.553752,[26 16] ; [65 11],[32.38983051  9.61016949] ; [58.61016949 17.38983051],0
r2,1,0.006137,7.509628,[32  9] ; [72  4],[36.44444444  4.55555556] ; [67.55555556  8.44444444],0
p2,1,0.010487,6.55022,[18 24] ; [51 25],[24.55932203 17.44067797] ; [44.44067797 31.55932203],0
u1,1,0.012722,6.207303,[ 2 40] ; [17 59],[ 6.76271186 35.23728814] ; [12.23728814 63.76271186],0
p4,1,0.012723,6.207161,[12 29] ; [40 35],[18.37931034 22.62068966] ; [33.62068966 41.37931034],0
s1,1,0.01412,6.023031,[ 6 35] ; [ 2 74],[ 2.8034188 38.1965812] ; [ 5.1965812 70.8034188],0
d1,1,0.022365,5.217176,[14 28] ; [42 34],[19.93220339 22.06779661] ; [36.06779661 39.93220339],0
n3,1,0.022856,5.179414,[5 8] ; [19  6],[8.21052632 4.78947368] ; [15.78947368  9.21052632],0
b5,1,0.02653,4.921131,[20 22] ; [52 24],[25.62711864 16.37288136] ; [46.37288136 29.62711864],0
a2,1,0.034802,4.454876,[ 3 39] ; [17 59],[ 7.11864407 34.88135593] ; [12.88135593 63.11864407],0
b2,1,0.037956,4.307003,[ 4 23] ; [17 28],[ 7.875 19.125] ; [13.125 31.875],0
b3,1,0.037956,4.307003,[ 4 23] ; [17 28],[ 7.875 19.125] ; [13.125 31.875],0
p10,1,0.044671,4.031024,[ 7 34] ; [26 49],[11.6637931 29.3362069] ; [21.3362069 53.6637931],0
v2,1,0.04649,3.963752,[13 29] ; [37 37],[18.10344828 23.89655172] ; [31.89655172 42.10344828],0
n1,1,0.048642,3.887649,[ 3 11] ; [13 11],[5.89473684 8.10526316] ; [10.10526316 13.89473684],0
d5,1,0.055869,3.65597,[25 17] ; [58 18],[29.54237288 12.45762712] ; [53.45762712 22.54237288],0
