Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,34.267241,[14 39] ; [44  9],[29. 24.] ; [29. 24.],1
p11,1,8e-06,19.962264,[15 38] ; [38 15],[26.5 26.5] ; [26.5 26.5],1
v4,1,0.00048,12.191582,[32 20] ; [48  5],[39.61904762 12.38095238] ; [40.38095238 12.61904762],1
d3,1,0.000647,11.636082,[23 29] ; [40 12],[31.5 20.5] ; [31.5 20.5],1
r3,1,0.000799,11.242424,[35 18] ; [49  4],[42. 11.] ; [42. 11.],1
p7,1,0.001153,10.564117,[18 35] ; [33 17],[26.24271845 26.75728155] ; [24.75728155 25.24271845],0
s7,1,0.002748,8.967586,[ 5 42] ; [18 31],[11.26041667 35.73958333] ; [11.73958333 37.26041667],0
p3,1,0.005507,7.704946,[ 9 44] ; [22 31],[15.5 37.5] ; [15.5 37.5],0
s2,1,0.006392,7.436281,[10 43] ; [23 30],[16.5 36.5] ; [16.5 36.5],0
p8,1,0.006981,7.277847,[11 41] ; [24 28],[17.5 34.5] ; [17.5 34.5],0
p2,1,0.007225,7.216168,[24 29] ; [37 15],[30.79047619 22.20952381] ; [30.20952381 21.79047619],0
s8,1,0.00735,7.185434,[ 5 48] ; [16 37],[10.5 42.5] ; [10.5 42.5],0
p4,1,0.013502,6.102141,[15 38] ; [27 25],[21.2 31.8] ; [20.8 31.2],0
a7,1,0.01385,6.057143,[29 24] ; [41 12],[35. 18.] ; [35. 18.],0
s6,1,0.017173,5.678571,[15 38] ; [27 26],[21. 32.] ; [21. 32.],0
r4,1,0.025,5.023893,[29 24] ; [40 13],[34.5 18.5] ; [34.5 18.5],0
n2,1,0.02745,4.862298,[13 14] ; [11  2],[16.2 10.8] ; [7.8 5.2],0
d4,1,0.036586,4.369591,[32 19] ; [43 10],[36.77884615 14.22115385] ; [38.22115385 14.77884615],0
a1,1,0.050525,3.823954,[ 6 47] ; [ 1 52],[ 3.5 49.5] ; [ 3.5 49.5],0
s3,1,0.063552,3.442167,[21 31] ; [31 22],[25.75238095 26.24761905] ; [26.24761905 26.75238095],0
v2,1,0.066845,3.358848,[13 38] ; [21 28],[17.34 33.66] ; [16.66 32.34],0
a4,1,0.069878,3.285878,[24 29] ; [15 38],[19.5 33.5] ; [19.5 33.5],0
u2,1,0.079304,3.079108,[11 11] ; [18  6],[13.86956522  8.13043478] ; [15.13043478  8.86956522],0
d1,1,0.11693,2.457971,[19 34] ; [27 26],[23. 30.] ; [23. 30.],0
r1,1,0.174439,1.84438,[31 22] ; [37 15],[34.32380952 18.67619048] ; [33.67619048 18.32380952],0
b2,1,0.180256,1.795508,[10 22] ; [ 5 25],[ 7.74193548 24.25806452] ; [ 7.25806452 22.74193548],0
b3,1,0.180256,1.795508,[10 22] ; [ 5 25],[ 7.74193548 24.25806452] ; [ 7.25806452 22.74193548],0
d5,1,0.18719,1.739598,[32 20] ; [39 14],[35.16190476 16.83809524] ; [35.83809524 17.16190476],0
r2,1,0.189047,1.725027,[40 12] ; [46  7],[42.59047619  9.40952381] ; [43.40952381  9.59047619],0
d2,1,0.204199,1.612083,[25 27] ; [19 34],[21.79047619 30.20952381] ; [22.20952381 30.79047619],0
s5,1,0.205268,1.604489,[ 4 47] ; [ 8 42],[ 6.05940594 44.94059406] ; [ 5.94059406 44.05940594],0
b1,1,0.243715,1.358974,[30 23] ; [24 29],[27. 26.] ; [27. 26.],0
a6,1,0.263903,1.248165,[33 19] ; [39 14],[35.65714286 16.34285714] ; [36.34285714 16.65714286],0
u3,1,0.300146,1.073546,[10 12] ; [14  9],[11.73333333 10.26666667] ; [12.26666667 10.73333333],0
n5,1,0.362269,0.830011,[24 29] ; [19 33],[21.7047619 31.2952381] ; [21.2952381 30.7047619],0
v3,1,0.395354,0.722413,[ 8 40] ; [12 39],[ 9.6969697 38.3030303] ; [10.3030303 40.6969697],0
n1,1,0.416184,0.661065,[10 16] ; [3 9],[ 8.89473684 17.10526316] ; [4.10526316 7.89473684],0
n3,1,0.428591,0.62664,[14 11] ; [9 4],[15.13157895  9.86842105] ; [7.86842105 5.13157895],0
b5,1,0.557511,0.344032,[28 25] ; [31 22],[29.5 23.5] ; [29.5 23.5],0
b4,1,0.557511,0.344032,[31 22] ; [28 25],[29.5 23.5] ; [29.5 23.5],0
a2,1,0.587386,0.294444,[ 9 44] ; [ 7 46],[ 8. 45.] ; [ 8. 45.],0
a3,1,0.612074,0.257166,[31 21] ; [29 24],[29.71428571 22.28571429] ; [30.28571429 22.71428571],0
s4,1,0.619542,0.246512,[ 9 44] ; [11 42],[10. 43.] ; [10. 43.],0
s1,1,0.676436,0.174165,[ 4 48] ; [ 3 50],[ 3.46666667 48.53333333] ; [ 3.53333333 49.46666667],0
a5,1,0.844212,0.038616,[30 23] ; [31 22],[30.5 22.5] ; [30.5 22.5],0
n4,1,0.845866,0.03779,[26 27] ; [25 28],[25.5 27.5] ; [25.5 27.5],0
p6,1,0.962242,0.002241,[10 43] ; [10 42],[10.0952381 42.9047619] ; [ 9.9047619 42.0952381],0
a8,1,0.976717,0.000852,[ 4 46] ; [ 4 47],[ 3.96039604 46.03960396] ; [ 4.03960396 46.96039604],0
p1,1,0.980832,0.000577,[ 3 49] ; [ 3 50],[ 2.97142857 49.02857143] ; [ 3.02857143 49.97142857],0
u1,1,1.0,0.0,[ 4 49] ; [ 4 49],[ 4. 49.] ; [ 4. 49.],0
