Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.003019,8.795754,[12 56] ; [12 13],[17.5483871 50.4516129] ; [ 6.4516129 18.5483871],0
s2,1,0.004075,8.25,[12 60] ; [12 15],[17.45454545 54.54545455] ; [ 6.54545455 20.45454545],0
v3,1,0.005121,7.836082,[15 55] ; [14 14],[20.71428571 49.28571429] ; [ 8.28571429 19.71428571],0
s3,1,0.006367,7.443303,[18 54] ; [15 13],[23.76 48.24] ; [ 9.24 18.76],0
v2,1,0.010688,6.516445,[20 51] ; [16 13],[25.56 45.44] ; [10.44 18.56],0
s6,1,0.012148,6.289187,[22 51] ; [16 12],[27.46534653 45.53465347] ; [10.53465347 17.46534653],0
a5,1,0.015717,5.8343,[39 34] ; [23  6],[44.37254902 28.62745098] ; [17.62745098 11.37254902],0
a2,1,0.019129,5.489682,[12 61] ; [11 18],[16.46078431 56.53921569] ; [ 6.53921569 22.46078431],0
d3,1,0.020191,5.395271,[37 36] ; [22  7],[42.2254902 30.7745098] ; [16.7745098 12.2254902],0
r3,1,0.024689,5.04556,[49 23] ; [26  3],[53.46534653 18.53465347] ; [21.53465347  7.46534653],0
n4,1,0.029783,4.721776,[44 29] ; [24  5],[48.66666667 24.33333333] ; [19.33333333  9.66666667],0
b4,1,0.040806,4.184048,[51 22] ; [14 15],[46.51960784 26.48039216] ; [18.48039216 10.51960784],0
p10,1,0.04083,4.18306,[14 58] ; [ 1 28],[10.69306931 61.30693069] ; [ 4.30693069 24.69306931],0
a3,1,0.046435,3.965731,[42 30] ; [23  6],[46.33663366 25.66336634] ; [18.66336634 10.33663366],0
a8,1,0.082324,3.018409,[ 2 67] ; [ 3 22],[ 3.67021277 65.32978723] ; [ 1.32978723 23.67021277],0
d5,1,0.112756,2.515169,[52 21] ; [25  4],[55.10784314 17.89215686] ; [21.89215686  7.10784314],0
r4,1,0.129455,2.299029,[41 32] ; [21  8],[44.37254902 28.62745098] ; [17.62745098 11.37254902],0
b5,1,0.157957,1.993672,[34 39] ; [18 11],[37.21568627 35.78431373] ; [14.78431373 14.21568627],0
p2,1,0.172489,1.861178,[27 46] ; [15 14],[30.05882353 42.94117647] ; [11.94117647 17.05882353],0
a4,1,0.173021,1.856569,[29 43] ; [16 13],[32.07920792 39.92079208] ; [12.92079208 16.07920792],0
p6,1,0.197157,1.663306,[ 3 69] ; [ 3 24],[ 4.36363636 67.63636364] ; [ 1.63636364 25.36363636],0
u1,1,0.197658,1.659599,[ 8 65] ; [ 6 23],[10.01960784 62.98039216] ; [ 3.98039216 25.01960784],0
p3,1,0.246365,1.343801,[13 59] ; [ 8 20],[15.12 56.88] ; [ 5.88 22.12],0
n1,1,0.253411,1.304398,[11 25] ; [5 5],[12.52173913 23.47826087] ; [3.47826087 6.52173913],0
d1,1,0.272417,1.204535,[34 39] ; [17 12],[36.5 36.5] ; [14.5 14.5],0
u3,1,0.334696,0.930642,[14 17] ; [4 2],[15.08108108 15.91891892] ; [2.91891892 3.08108108],0
v4,1,0.381473,0.765949,[51 22] ; [22  6],[52.76237624 20.23762376] ; [20.23762376  7.76237624],0
a7,1,0.385645,0.75263,[43 29] ; [20  9],[44.91089109 27.08910891] ; [18.08910891 10.91089109],0
d2,1,0.397031,0.717301,[35 36] ; [17 12],[36.92 34.08] ; [15.08 13.92],0
p1,1,0.413454,0.668848,[ 9 63] ; [ 2 27],[ 7.84158416 64.15841584] ; [ 3.15841584 25.84158416],0
p4,1,0.415975,0.661658,[19 53] ; [10 19],[20.67326733 51.32673267] ; [ 8.32673267 20.67326733],0
d4,1,0.461048,0.54335,[52 20] ; [23  6],[53.46534653 18.53465347] ; [21.53465347  7.46534653],0
r1,1,0.461257,0.542844,[50 23] ; [22  7],[51.52941176 21.47058824] ; [20.47058824  8.52941176],0
s4,1,0.46221,0.540538,[11 61] ; [ 6 22],[12.24 59.76] ; [ 4.76 23.24],0
n5,1,0.470919,0.519818,[41 32] ; [14 15],[39.3627451 33.6372549] ; [15.6372549 13.3627451],0
p5,1,0.49465,0.466396,[ 1 72] ; [ 1 28],[ 1.43137255 71.56862745] ; [ 0.56862745 28.43137255],0
r2,1,0.501945,0.450821,[58 14] ; [25  4],[59.16831683 12.83168317] ; [23.83168317  5.16831683],0
p11,1,0.547629,0.361582,[28 45] ; [13 16],[29.34313725 43.65686275] ; [11.65686275 17.34313725],0
s1,1,0.566991,0.327744,[ 5 67] ; [ 3 26],[ 5.7029703 66.2970297] ; [ 2.2970297 26.7029703],0
n3,1,0.577845,0.309731,[17 17] ; [6 4],[17.77272727 16.22727273] ; [5.22727273 4.77272727],0
u2,1,0.606139,0.265836,[12 19] ; [3 3],[12.56756757 18.43243243] ; [2.43243243 3.56756757],0
a6,1,0.623044,0.241613,[44 29] ; [19 10],[45.08823529 27.91176471] ; [17.91176471 11.08823529],0
b1,1,0.682399,0.167438,[37 36] ; [16 13],[37.93137255 35.06862745] ; [15.06862745 13.93137255],0
p8,1,0.6886,0.160605,[ 8 65] ; [ 4 25],[ 8.58823529 64.41176471] ; [ 3.41176471 25.58823529],0
n2,1,0.7372,0.112603,[20 17] ; [6 4],[20.46808511 16.53191489] ; [5.53191489 4.46808511],0
n6,1,0.768701,0.08648,[43 30] ; [18 11],[43.65686275 29.34313725] ; [17.34313725 11.65686275],0
b2,1,0.91266,0.012031,[17 31] ; [ 7 12],[17.19402985 30.80597015] ; [ 6.80597015 12.19402985],0
b3,1,0.91266,0.012031,[17 31] ; [ 7 12],[17.19402985 30.80597015] ; [ 6.80597015 12.19402985],0
s5,1,0.9815,0.000538,[13 59] ; [ 5 23],[12.96 59.04] ; [ 5.04 22.96],0
s8,1,0.995411,3.3e-05,[13 60] ; [ 5 23],[13.00990099 59.99009901] ; [ 4.99009901 23.00990099],0
