Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.000426,12.412746,[47 89] ; [14  4],[53.87012987 82.12987013] ; [ 7.12987013 10.87012987],1
p4,1,0.000519,12.045186,[54 81] ; [15  3],[60.88235294 74.11764706] ; [8.11764706 9.88235294],1
s6,1,0.001419,10.180695,[69 64] ; [15  1],[74.97986577 58.02013423] ; [9.02013423 6.97986577],0
v3,1,0.005361,7.753523,[ 22 111] ; [ 8 10],[ 26.42384106 106.57615894] ; [ 3.57615894 14.42384106],0
a6,1,0.006076,7.527532,[52 84] ; [13  5],[57.4025974 78.5974026] ; [ 7.5974026 10.4025974],0
p8,1,0.006883,7.303351,[46 90] ; [12  6],[51.22077922 84.77922078] ; [ 6.77922078 11.22077922],0
n4,1,0.012541,6.232738,[89 47] ; [17  1],[93.61038961 42.38961039] ; [12.38961039  5.61038961],0
p1,1,0.015887,5.815349,[ 12 124] ; [ 5 13],[ 15.01298701 120.98701299] ; [ 1.98701299 16.01298701],0
b1,1,0.019594,5.447706,[66 70] ; [14  4],[70.64935065 65.35064935] ; [9.35064935 8.64935065],0
p12,1,0.020302,5.385776,[  5 130] ; [ 3 15],[  7.05882353 127.94117647] ; [ 0.94117647 17.05882353],0
d1,1,0.028901,4.773499,[47 89] ; [11  7],[51.22077922 84.77922078] ; [ 6.77922078 11.22077922],0
n5,1,0.030296,4.6924,[95 40] ; [17  1],[98.82352941 36.17647059] ; [13.17647059  4.82352941],0
p6,1,0.032554,4.569069,[37 97] ; [9 8],[40.82119205 93.17880795] ; [ 5.17880795 11.82119205],0
s7,1,0.040643,4.190837,[53 76] ; [12  6],[57.04081633 71.95918367] ; [ 7.95918367 10.04081633],0
p9,1,0.04111,4.171466,[87 47] ; [16  2],[90.80263158 43.19736842] ; [12.19736842  5.80263158],0
p7,1,0.054959,3.683333,[65 70] ; [13  5],[68.82352941 66.17647059] ; [9.17647059 8.82352941],0
r4,1,0.057065,3.620697,[91 45] ; [16  2],[94.49350649 41.50649351] ; [12.50649351  5.49350649],0
s3,1,0.086398,2.940238,[68 66] ; [13  5],[71.40789474 62.59210526] ; [9.59210526 8.40789474],0
r3,1,0.090266,2.86962,[105  31] ; [17  1],[107.74025974  28.25974026] ; [14.25974026  3.74025974],0
d5,1,0.103552,2.649964,[78 57] ; [14  4],[81.17647059 53.82352941] ; [10.82352941  7.17647059],0
n6,1,0.136164,2.220783,[98 37] ; [16  2],[100.58823529  34.41176471] ; [13.41176471  4.58823529],0
s5,1,0.143577,2.139196,[39 93] ; [8 9],[41.63758389 90.36241611] ; [ 5.36241611 11.63758389],0
p11,1,0.157498,1.998087,[91 45] ; [15  3],[93.61038961 42.38961039] ; [12.38961039  5.61038961],0
s8,1,0.185937,1.749518,[46 89] ; [9 9],[48.52941176 86.47058824] ; [ 6.47058824 11.52941176],0
n2,1,0.218435,1.514621,[38 18] ; [1 2],[37.01694915 18.98305085] ; [1.98305085 1.01694915],0
d3,1,0.222417,1.488708,[55 81] ; [10  8],[57.4025974 78.5974026] ; [ 7.5974026 10.4025974],0
b4,1,0.224635,1.474514,[70 66] ; [12  6],[72.41558442 63.58441558] ; [9.58441558 8.41558442],0
s2,1,0.233799,1.417599,[48 87] ; [9 9],[50.29411765 84.70588235] ; [ 6.70588235 11.29411765],0
a5,1,0.274723,1.19301,[80 56] ; [13  5],[82.12987013 53.87012987] ; [10.87012987  7.12987013],0
n1,1,0.280099,1.166608,[20 36] ; [2 1],[20.88135593 35.11864407] ; [1.11864407 1.88135593],0
r1,1,0.300517,1.071898,[81 55] ; [13  5],[83.01298701 52.98701299] ; [10.98701299  7.01298701],0
p10,1,0.345615,0.889492,[82 53] ; [13  5],[83.82352941 51.17647059] ; [11.17647059  6.82352941],0
a1,1,0.397539,0.715759,[  8 128] ; [ 2 16],[  8.83116883 127.16883117] ; [ 1.16883117 16.83116883],0
s1,1,0.403113,0.699021,[  8 127] ; [ 2 16],[  8.82352941 126.17647059] ; [ 1.17647059 16.82352941],0
d4,1,0.408061,0.684444,[84 51] ; [13  5],[85.58823529 49.41176471] ; [11.41176471  6.58823529],0
p2,1,0.459781,0.546429,[92 44] ; [13  4],[93.33333333 42.66666667] ; [11.66666667  5.33333333],0
n3,1,0.469998,0.52198,[29 24] ; [1 2],[28.39285714 24.60714286] ; [1.60714286 1.39285714],0
a8,1,0.475898,0.50825,[ 14 113] ; [ 1 17],[ 13.13793103 113.86206897] ; [ 1.86206897 16.13793103],0
v4,1,0.479314,0.500424,[111  24] ; [16  2],[112.05882353  22.94117647] ; [14.94117647  3.05882353],0
a3,1,0.508329,0.437504,[79 56] ; [12  6],[80.29411765 54.70588235] ; [10.70588235  7.29411765],0
a4,1,0.508631,0.436882,[56 78] ; [9 9],[57.30263158 76.69736842] ; [ 7.69736842 10.30263158],0
b5,1,0.535847,0.383291,[65 71] ; [10  8],[66.23376623 69.76623377] ; [8.76623377 9.23376623],0
u2,1,0.564731,0.331579,[26 31] ; [2 4],[25.33333333 31.66666667] ; [2.66666667 3.33333333],0
u3,1,0.587078,0.294931,[22 35] ; [3 3],[22.61904762 34.38095238] ; [2.38095238 3.61904762],0
a2,1,0.66464,0.187936,[ 11 125] ; [ 2 16],[ 11.48051948 124.51948052] ; [ 1.51948052 16.48051948],0
v1,1,0.790355,0.070676,[43 91] ; [ 6 11],[43.48344371 90.51655629] ; [ 5.51655629 11.48344371],0
b2,1,0.81701,0.053542,[34 55] ; [5 7],[34.36633663 54.63366337] ; [4.63366337 7.36633663],0
b3,1,0.81701,0.053542,[34 55] ; [5 7],[34.36633663 54.63366337] ; [4.63366337 7.36633663],0
d2,1,0.877958,0.02358,[57 77] ; [ 8 10],[57.30263158 76.69736842] ; [ 7.69736842 10.30263158],0
r2,1,0.907529,0.013492,[111  24] ; [15  3],[111.17647059  23.82352941] ; [14.82352941  3.17647059],0
s4,1,0.94397,0.004939,[ 31 104] ; [ 4 14],[ 30.88235294 104.11764706] ; [ 4.11764706 13.88235294],0
u1,1,0.955705,0.003085,[  8 128] ; [ 1 17],[  7.94805195 128.05194805] ; [ 1.05194805 16.94805195],0
