Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,163.933226,[321  20] ; [11 35],[292.5374677  48.4625323] ; [39.4625323  6.5374677],1
p11,1,0.0,34.957509,[300  43] ; [25 22],[285.83333333  57.16666667] ; [39.16666667  7.83333333],1
p8,1,5e-06,20.703924,[216 119] ; [14 33],[201.70157068 133.29842932] ; [28.29842932 18.70157068],1
p4,1,1.8e-05,18.341029,[249  91] ; [20 27],[236.33074935 103.66925065] ; [32.66925065 14.33074935],1
n5,1,4.6e-05,16.616946,[314  28] ; [34 13],[305.95372751  36.04627249] ; [42.04627249  4.95372751],1
p7,1,0.000253,13.390698,[244  89] ; [21 24],[233.45238095  99.54761905] ; [31.54761905 13.45238095],1
n6,1,0.000261,13.329713,[312  28] ; [35 12],[304.85788114  35.14211886] ; [42.14211886  4.85788114],1
p2,1,0.000711,11.460913,[305  35] ; [34 13],[297.82945736  42.17054264] ; [41.17054264  5.82945736],1
b1,1,0.002664,9.024174,[126 217] ; [28 19],[135.44102564 207.55897436] ; [18.55897436 28.44102564],0
s8,1,0.003829,8.363165,[188 152] ; [15 31],[178.80829016 161.19170984] ; [24.19170984 21.80829016],0
s6,1,0.004691,7.994796,[249  86] ; [25 21],[240.91863517  94.08136483] ; [33.08136483 12.91863517],0
p6,1,0.004847,7.93568,[165 172] ; [12 33],[156.14921466 180.85078534] ; [20.85078534 24.14921466],0
s1,1,0.005333,7.762977,[  9 329] ; [ 5 41],[ 12.32291667 325.67708333] ; [ 1.67708333 44.32291667],0
p3,1,0.006774,7.331915,[208 132] ; [19 28],[199.43152455 140.56847545] ; [27.56847545 19.43152455],0
d4,1,0.007212,7.219399,[292  49] ; [33 14],[285.6314433  55.3685567] ; [39.3685567  7.6314433],0
v4,1,0.008847,6.853355,[331  10] ; [41  5],[327.78294574  13.21705426] ; [44.21705426  1.78294574],0
d1,1,0.010788,6.499879,[226 117] ; [22 25],[218.11282051 124.88717949] ; [29.88717949 17.11282051],0
r4,1,0.028925,4.772048,[322  21] ; [40  7],[318.37435897  24.62564103] ; [43.62564103  3.37435897],0
p5,1,0.045593,3.996552,[ 61 279] ; [ 3 44],[ 56.22739018 283.77260982] ; [ 7.77260982 39.22739018],0
s5,1,0.048269,3.900587,[135 192] ; [12 34],[128.87131367 198.12868633] ; [18.12868633 27.87131367],0
d5,1,0.048737,3.884388,[292  49] ; [35 12],[287.38917526  53.61082474] ; [39.61082474  7.38917526],0
a3,1,0.077636,3.113709,[264  76] ; [31 16],[259.17312661  80.82687339] ; [35.82687339 11.17312661],0
a5,1,0.172556,1.8606,[271  72] ; [33 14],[267.36410256  75.63589744] ; [36.63589744 10.36410256],0
s2,1,0.192702,1.696836,[193 146] ; [21 24],[188.921875 150.078125] ; [25.078125 19.921875],0
u3,1,0.208879,1.579177,[48 31] ; [7 9],[45.73684211 33.26315789] ; [9.26315789 6.73684211],0
a1,1,0.242075,1.368469,[ 22 321] ; [ 1 46],[ 20.22820513 322.77179487] ; [ 2.77179487 44.22820513],0
u2,1,0.264046,1.24742,[44 35] ; [6 9],[42.0212766 36.9787234] ; [7.9787234 7.0212766],0
s7,1,0.271522,1.209043,[185 142] ; [20 22],[181.66666667 145.33333333] ; [23.33333333 18.66666667],0
r3,1,0.337275,0.920761,[330  12] ; [44  3],[328.81233933  13.18766067] ; [45.18766067  1.81233933],0
p1,1,0.375192,0.786396,[ 36 306] ; [ 3 44],[ 34.28791774 307.71208226] ; [ 4.71208226 42.28791774],0
a4,1,0.375375,0.785793,[172 169] ; [20 26],[169.17829457 171.82170543] ; [22.82170543 23.17829457],0
a8,1,0.38094,0.767667,[ 55 249] ; [ 5 35],[ 53.02325581 250.97674419] ; [ 6.97674419 33.02325581],0
v2,1,0.386201,0.750869,[231 102] ; [29 17],[228.44327177 104.55672823] ; [31.55672823 14.44327177],0
n2,1,0.423182,0.641461,[34 11] ; [12  2],[35.08474576  9.91525424] ; [10.91525424  3.08474576],0
a6,1,0.433052,0.614624,[230 111] ; [29 18],[227.62628866 113.37371134] ; [31.37371134 15.62628866],0
a7,1,0.52607,0.401977,[248  94] ; [32 15],[246.16966581  95.83033419] ; [33.83033419 13.16966581],0
b3,1,0.560681,0.338527,[100 133] ; [12 20],[ 98.4754717 134.5245283] ; [13.5245283 18.4754717],0
b2,1,0.560681,0.338527,[100 133] ; [12 20],[ 98.4754717 134.5245283] ; [13.5245283 18.4754717],0
d2,1,0.607743,0.263475,[181 161] ; [23 24],[179.35218509 162.64781491] ; [24.64781491 22.35218509],0
r2,1,0.615019,0.252931,[327  12] ; [46  1],[327.58290155  11.41709845] ; [45.41709845  1.58290155],0
u1,1,0.63942,0.219501,[ 76 267] ; [ 9 38],[ 74.75641026 268.24358974] ; [10.24358974 36.75641026],0
n1,1,0.665078,0.187413,[26 19] ; [9 5],[26.69491525 18.30508475] ; [8.30508475 5.69491525],0
u4,1,0.687805,0.161472,[ 11 332] ; [ 1 46],[ 10.55384615 332.44615385] ; [ 1.44615385 45.55384615],0
r1,1,0.746459,0.104531,[290  52] ; [39  8],[289.24935733  52.75064267] ; [39.75064267  7.24935733],0
n3,1,0.75678,0.095921,[34 10] ; [11  4],[33.55932203 10.44067797] ; [11.44067797  3.55932203],0
s4,1,0.853551,0.034073,[ 48 290] ; [ 7 39],[ 48.41145833 289.58854167] ; [ 6.58854167 39.41145833],0
b4,1,0.868867,0.027257,[200 143] ; [28 19],[200.52307692 142.47692308] ; [27.47692308 19.52307692],0
a2,1,0.869623,0.026941,[ 91 252] ; [13 34],[ 91.46666667 251.53333333] ; [12.53333333 34.46666667],0
d3,1,0.872295,0.025839,[244  98] ; [33 14],[243.53213368  98.46786632] ; [33.46786632 13.53213368],0
s3,1,0.893033,0.018081,[194 143] ; [26 20],[193.5770235 143.4229765] ; [26.4229765 19.5770235],0
v3,1,0.929381,0.007854,[175 156] ; [24 22],[174.71883289 156.28116711] ; [24.28116711 21.71883289],0
b5,1,0.939967,0.005672,[217 126] ; [30 17],[217.23333333 125.76666667] ; [29.76666667 17.23333333],0
