Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,3e-06,21.959075,[47 31] ; [331  65],[62.20253165 15.79746835] ; [315.79746835  80.20253165],1
p8,1,3e-06,21.748141,[24 54] ; [230 156],[42.69827586 35.30172414] ; [211.30172414 174.69827586],1
p9,1,4e-06,21.30093,[54 23] ; [351  40],[66.63461538 10.36538462] ; [338.36538462  52.63461538],1
p4,1,6e-06,20.575812,[30 47] ; [261 132],[47.67446809 29.32553191] ; [243.32553191 149.67446809],1
p7,1,1.8e-05,18.388529,[35 41] ; [276 111],[51.04967603 24.95032397] ; [259.95032397 127.04967603],1
v1,1,7e-05,15.798357,[35 43] ; [265 122],[50.32258065 27.67741935] ; [249.67741935 137.32258065],1
n5,1,0.002087,9.471575,[48 30] ; [305  86],[58.70788913 19.29211087] ; [294.29211087  96.70788913],0
p10,1,0.002539,9.112091,[55 22] ; [336  57],[64.05744681 12.94255319] ; [326.94255319  66.05744681],0
p3,1,0.00458,8.038325,[31 46] ; [229 167],[42.3255814 34.6744186] ; [217.6744186 178.3255814],0
r4,1,0.004605,8.028185,[68 10] ; [378  18],[73.39240506  4.60759494] ; [372.60759494  23.39240506],0
s4,1,0.005362,7.753065,[19 58] ; [ 49 344],[11.14042553 65.85957447] ; [ 56.85957447 336.14042553],0
n3,1,0.00573,7.633441,[13 10] ; [59 11],[17.80645161  5.19354839] ; [54.19354839 15.80645161],0
a3,1,0.010625,6.527009,[50 28] ; [307  88],[58.87103594 19.12896406] ; [298.12896406  96.87103594],0
n4,1,0.014198,6.013344,[53 25] ; [317  77],[61.1440678 16.8559322] ; [308.8559322  85.1440678],0
n6,1,0.014961,5.921003,[60 17] ; [346  46],[66.65671642 10.34328358] ; [339.34328358  52.65671642],0
d3,1,0.015766,5.828823,[47 30] ; [295 101],[55.6744186 21.3255814] ; [286.3255814 109.6744186],0
p6,1,0.033973,4.496037,[22 55] ; [161 227],[30.30322581 46.69677419] ; [152.69677419 235.30322581],0
a2,1,0.036873,4.356253,[13 65] ; [111 285],[20.40506329 57.59493671] ; [103.59493671 292.40506329],0
v4,1,0.050269,3.832474,[72  6] ; [382  12],[75.02542373  2.97457627] ; [378.97457627  15.02542373],0
a6,1,0.050815,3.814358,[47 30] ; [285 110],[54.16101695 22.83898305] ; [277.83898305 117.16101695],0
d5,1,0.067208,3.349928,[60 17] ; [341  55],[65.27906977 11.72093023] ; [335.72093023  60.27906977],0
b1,1,0.074941,3.171343,[34 44] ; [131 265],[27.15189873 50.84810127] ; [137.84810127 258.15189873],0
v3,1,0.075074,3.168445,[36 40] ; [225 160],[43.02819957 32.97180043] ; [217.97180043 167.02819957],0
a7,1,0.121894,2.392813,[54 24] ; [305  89],[59.32627119 18.67372881] ; [299.67372881  94.32627119],0
r1,1,0.125645,2.3455,[63 15] ; [344  50],[67.25847458 10.74152542] ; [339.74152542  54.25847458],0
p5,1,0.143495,2.140069,[ 5 73] ; [ 48 348],[ 8.72151899 69.27848101] ; [ 44.27848101 351.72151899],0
n2,1,0.153713,2.035007,[16  8] ; [55 13],[18.52173913  5.47826087] ; [52.47826087 15.52173913],0
d1,1,0.165545,1.922831,[45 33] ; [261 135],[50.35443038 27.64556962] ; [255.64556962 140.35443038],0
