Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,26.400095,[200  25] ; [24 18],[188.76404494  36.23595506] ; [35.23595506  6.76404494],1
p9,1,1.5e-05,18.759046,[202  24] ; [26 15],[192.98876404  33.01123596] ; [35.01123596  5.98876404],1
p7,1,0.002665,9.023532,[183  39] ; [26 16],[175.75  46.25] ; [33.25  8.75],0
p2,1,0.003039,8.783822,[208  19] ; [32 10],[202.52788104  24.47211896] ; [37.47211896  4.52788104],0
n1,1,0.013469,6.10644,[14 25] ; [11  4],[18.05555556 20.94444444] ; [6.94444444 8.05555556],0
u4,1,0.014293,6.001622,[  1 226] ; [ 2 40],[  2.53159851 224.46840149] ; [ 0.46840149 41.53159851],0
a6,1,0.018793,5.520679,[156  71] ; [21 21],[149.36431227  77.63568773] ; [27.63568773 14.36431227],0
p4,1,0.044741,4.028384,[160  67] ; [23 19],[154.42750929  72.57249071] ; [28.57249071 13.42750929],0
n4,1,0.061086,3.507652,[172  55] ; [26 16],[167.08550186  59.91449814] ; [30.91449814 11.08550186],0
v2,1,0.093179,2.818574,[ 90 131] ; [11 30],[ 85.19465649 135.80534351] ; [15.80534351 25.19465649],0
a5,1,0.094448,2.796876,[169  58] ; [26 16],[164.55390335  62.44609665] ; [30.44609665 11.55390335],0
u3,1,0.151248,2.059621,[48 32] ; [6 9],[45.47368421 34.52631579] ; [8.52631579 6.47368421],0
d2,1,0.165441,1.923776,[ 98 129] ; [23 19],[102.10780669 124.89219331] ; [18.89219331 23.10780669],0
d1,1,0.171962,1.86576,[120 107] ; [27 15],[124.04832714 102.95167286] ; [22.95167286 19.04832714],0
s5,1,0.175585,1.834598,[ 73 146] ; [ 9 31],[ 69.33590734 149.66409266] ; [12.66409266 27.33590734],0
n5,1,0.196703,1.666687,[172  54] ; [28 14],[168.65671642  57.34328358] ; [31.34328358 10.65671642],0
a8,1,0.250843,1.3186,[ 33 178] ; [ 3 33],[ 30.75303644 180.24696356] ; [ 5.24696356 30.75303644],0
b5,1,0.255761,1.291556,[130  97] ; [28 14],[133.33085502  93.66914498] ; [24.66914498 17.33085502],0
r3,1,0.266258,1.235922,[215  12] ; [37  4],[213.44776119  13.55223881] ; [38.55223881  2.44776119],0
s7,1,0.307227,1.042557,[ 99 121] ; [21 18],[101.93050193 118.06949807] ; [18.06949807 20.93050193],0
u2,1,0.307803,1.040077,[44 37] ; [6 9],[42.1875 38.8125] ; [7.8125 7.1875],0
s3,1,0.314353,1.012297,[113 113] ; [24 17],[115.96254682 110.03745318] ; [21.03745318 19.96254682],0
p1,1,0.342024,0.90283,[ 17 209] ; [ 5 37],[ 18.55223881 207.44776119] ; [ 3.44776119 38.55223881],0
u1,1,0.407452,0.686224,[ 32 195] ; [ 8 34],[ 33.75464684 193.24535316] ; [ 6.24535316 35.75464684],0
s6,1,0.439991,0.596306,[155  68] ; [26 15],[152.89015152  70.10984848] ; [28.10984848 12.89015152],0
a2,1,0.472566,0.51597,[ 43 184] ; [ 6 36],[ 41.34944238 185.65055762] ; [ 7.65055762 34.34944238],0
s8,1,0.506742,0.440788,[ 99 128] ; [16 26],[ 97.04460967 129.95539033] ; [17.95539033 24.04460967],0
r2,1,0.509651,0.434783,[206  17] ; [40  2],[207.01132075  15.98867925] ; [38.98867925  3.01132075],0
n2,1,0.537721,0.37978,[28 11] ; [12  3],[28.88888889 10.11111111] ; [11.11111111  3.88888889],0
a7,1,0.545021,0.366313,[167  60] ; [29 13],[165.39776952  61.60223048] ; [30.60223048 11.39776952],0
n3,1,0.5598,0.34005,[26 12] ; [9 6],[25.09433962 12.90566038] ; [9.90566038 5.09433962],0
p6,1,0.594578,0.283252,[106 118] ; [18 24],[104.42105263 119.57894737] ; [19.57894737 22.42105263],0
s2,1,0.62919,0.233161,[106 120] ; [18 24],[104.56716418 121.43283582] ; [19.43283582 22.56716418],0
b1,1,0.657053,0.197123,[ 89 138] ; [18 24],[ 90.2936803 136.7063197] ; [16.7063197 25.2936803],0
r4,1,0.66431,0.188331,[200  27] ; [36  6],[199.15241636  27.84758364] ; [36.84758364  5.15241636],0
s1,1,0.701171,0.147256,[  8 218] ; [ 2 40],[  8.43283582 217.56716418] ; [ 1.56716418 40.43283582],0
d4,1,0.707838,0.140446,[184  43] ; [33  9],[183.11895911  43.88104089] ; [33.88104089  8.11895911],0
d3,1,0.708016,0.140267,[150  77] ; [29 13],[151.05204461  75.94795539] ; [27.94795539 14.05204461],0
p12,1,0.714339,0.133981,[ 14 211] ; [ 2 40],[ 13.48314607 211.51685393] ; [ 2.51685393 39.48314607],0
