Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.0,29.709942,[ 86 180] ; [102  72],[113.65454545 152.34545455] ; [74.34545455 99.65454545],1
u1,1,0.000429,12.403372,[ 32 238] ; [ 44 135],[ 45.70155902 224.29844098] ; [ 30.29844098 148.70155902],1
r1,1,0.003251,8.661204,[187  81] ; [147  32],[200.25055928  67.74944072] ; [133.74944072  45.25055928],0
d4,1,0.00508,7.850911,[201  69] ; [153  26],[212.87305122  57.12694878] ; [141.12694878  37.87305122],0
a5,1,0.006872,7.306161,[181  89] ; [141  38],[193.63028953  76.36971047] ; [128.36971047  50.63028953],0
a6,1,0.014329,5.997146,[161 109] ; [127  52],[173.18485523  96.81514477] ; [114.81514477  64.18485523],0
a7,1,0.016171,5.784163,[179  90] ; [138  41],[190.34151786  78.65848214] ; [126.65848214  52.34151786],0
d3,1,0.017719,5.623743,[163 106] ; [128  51],[174.72991071  94.27008929] ; [116.27008929  62.72991071],0
r3,1,0.020349,5.381718,[244  24] ; [173   6],[250.01342282  17.98657718] ; [166.98657718  12.01342282],0
d1,1,0.04187,4.140449,[135 135] ; [107  72],[145.5233853 124.4766147] ; [96.4766147 82.5233853],0
n2,1,0.066478,3.36791,[55 25] ; [29  5],[58.94736842 21.05263158] ; [25.05263158  8.94736842],0
p1,1,0.073066,3.212765,[ 24 245] ; [  8 171],[ 19.21428571 249.78571429] ; [ 12.78571429 166.21428571],0
d5,1,0.078992,3.085528,[202  67] ; [147  32],[209.55580357  59.44419643] ; [139.44419643  39.55580357],0
p3,1,0.084939,2.967777,[113 156] ; [90 89],[121.890625 147.109375] ; [81.109375 97.890625],0
a2,1,0.107037,2.597428,[ 48 222] ; [ 43 136],[ 54.72160356 215.27839644] ; [ 36.27839644 142.72160356],0
n3,1,0.126108,2.339767,[54 25] ; [28  6],[57.32743363 21.67256637] ; [24.67256637  9.32743363],0
p6,1,0.154576,2.026506,[ 91 178] ; [ 72 106],[ 98.0917226 170.9082774] ; [ 64.9082774 113.0917226],0
d2,1,0.156654,2.006234,[115 153] ; [89 90],[122.30872483 145.69127517] ; [81.69127517 97.30872483],0
s6,1,0.185569,1.752449,[164  98] ; [123  56],[170.50793651  91.49206349] ; [116.49206349  62.50793651],0
a3,1,0.186835,1.742397,[171  97] ; [125  54],[177.46756152  90.53243848] ; [118.53243848  60.46756152],0
r2,1,0.196956,1.664801,[242  24] ; [166  10],[245.53846154  20.46153846] ; [162.46153846  13.53846154],0
s4,1,0.213704,1.546155,[ 59 206] ; [ 31 147],[ 53.83747178 211.16252822] ; [ 36.16252822 141.83747178],0
p11,1,0.224221,1.477148,[204  66] ; [144  35],[209.26503341  60.73496659] ; [138.73496659  40.26503341],0
n5,1,0.228539,1.44993,[207  62] ; [128  50],[201.59955257  67.40044743] ; [133.40044743  44.59955257],0
p10,1,0.229808,1.44205,[204  62] ; [145  33],[209.08558559  56.91441441] ; [139.91441441  38.08558559],0
r4,1,0.236125,1.403581,[231  39] ; [160  19],[235.12249443  34.87750557] ; [155.87750557  23.12249443],0
p9,1,0.236437,1.401713,[214  50] ; [152  26],[218.60633484  45.39366516] ; [147.39366516  30.60633484],0
s1,1,0.283576,1.149871,[ 11 256] ; [  4 174],[  9. 258.] ; [  6. 172.],0
p7,1,0.287456,1.131498,[153 114] ; [111  67],[158.4 108.6] ; [105.6  72.4],0
a4,1,0.296906,1.088041,[109 158] ; [82 97],[114.34304933 152.65695067] ; [ 76.65695067 102.34304933],0
s7,1,0.333364,0.935784,[108 152] ; [80 93],[112.88683603 147.11316397] ; [75.11316397 97.88683603],0
p12,1,0.334163,0.932696,[ 16 252] ; [  7 172],[ 13.78970917 254.21029083] ; [  9.21029083 169.78970917],0
s8,1,0.346364,0.886735,[ 96 172] ; [ 72 107],[100.72483221 167.27516779] ; [ 67.27516779 111.72483221],0
p2,1,0.352615,0.864023,[225  45] ; [143  36],[221.29175947  48.70824053] ; [146.70824053  32.29175947],0
u4,1,0.361572,0.832427,[  4 266] ; [  1 178],[  3.00668151 266.99331849] ; [  1.99331849 177.00668151],0
n4,1,0.375924,0.783989,[199  70] ; [139  40],[202.95089286  66.04910714] ; [135.04910714  43.95089286],0
b5,1,0.459669,0.546701,[158 112] ; [111  68],[161.75946548 108.24053452] ; [107.24053452  71.75946548],0
s2,1,0.462921,0.538823,[120 148] ; [86 92],[123.78475336 144.21524664] ; [82.21524664 95.78475336],0
p4,1,0.469574,0.522978,[153 117] ; [107  71],[156.69642857 113.30357143] ; [103.30357143  74.69642857],0
u3,1,0.474285,0.511974,[48 49] ; [30 24],[50.10596026 46.89403974] ; [27.89403974 26.10596026],0
n1,1,0.481355,0.495791,[33 47] ; [12 23],[31.30434783 48.69565217] ; [13.69565217 21.30434783],0
p5,1,0.494986,0.46567,[ 26 242] ; [ 14 165],[ 23.98210291 244.01789709] ; [ 16.01789709 162.98210291],0
p8,1,0.535785,0.383408,[136 132] ; [85 93],[132.79820628 135.20179372] ; [88.20179372 89.79820628],0
a8,1,0.555318,0.347876,[ 32 220] ; [ 24 139],[ 34.00481928 217.99518072] ; [ 21.99518072 141.00481928],0
b1,1,0.607333,0.264077,[103 167] ; [ 64 115],[100.42316258 169.57683742] ; [ 66.57683742 112.42316258],0
a1,1,0.638457,0.220766,[  7 263] ; [  6 173],[  7.81737194 262.18262806] ; [  5.18262806 173.81737194],0
b3,1,0.662943,0.189968,[56 96] ; [38 73],[54.3269962 97.6730038] ; [39.6730038 71.3269962],0
b2,1,0.662943,0.189968,[56 96] ; [38 73],[54.3269962 97.6730038] ; [39.6730038 71.3269962],0
s5,1,0.719087,0.129369,[ 83 179] ; [ 57 114],[ 84.7113164 177.2886836] ; [ 55.2886836 115.7113164],0
b4,1,0.73337,0.11604,[154 116] ; [105  74],[155.74610245 114.25389755] ; [103.25389755  75.74610245],0
v4,1,0.851318,0.035133,[253  17] ; [166  12],[252.52232143  17.47767857] ; [166.47767857  11.52232143],0
u2,1,0.940371,0.005596,[45 53] ; [24 29],[44.78145695 53.21854305] ; [24.21854305 28.78145695],0
s3,1,0.999308,1e-06,[137 131] ; [91 87],[137.0044843 130.9955157] ; [90.9955157 87.0044843],0
