Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,5e-06,20.976853,[78 47] ; [ 57 105],[58.79790941 66.20209059] ; [76.20209059 85.79790941],1
s2,1,6e-06,20.540524,[65 65] ; [ 42 128],[46.36666667 83.63333333] ; [ 60.63333333 109.36666667],1
s6,1,1.7e-05,18.550492,[85 47] ; [ 67 103],[66.43708609 65.56291391] ; [85.56291391 84.43708609],1
p9,1,0.000188,13.951085,[108  22] ; [106  61],[93.67003367 36.32996633] ; [120.32996633  46.67003367],1
p2,1,0.000275,13.23085,[102  30] ; [98 73],[87.12871287 44.87128713] ; [112.87128713  58.12871287],1
v3,1,0.000637,11.664209,[55 69] ; [ 41 122],[41.47735192 82.52264808] ; [ 54.52264808 108.47735192],1
s7,1,0.001329,10.30134,[55 70] ; [ 42 120],[42.24738676 82.75261324] ; [ 54.75261324 107.24738676],0
p4,1,0.00443,8.098474,[64 68] ; [ 55 115],[52.01324503 79.98675497] ; [ 66.98675497 103.01324503],0
v4,1,0.010247,6.591365,[121  11] ; [139  32],[113.26732673  18.73267327] ; [146.73267327  24.26732673],0
s3,1,0.014498,5.976455,[64 64] ; [ 61 109],[53.69127517 74.30872483] ; [71.30872483 98.69127517],0
a5,1,0.023139,5.158036,[96 36] ; [103  68],[86.69306931 45.30693069] ; [112.30693069  58.69306931],0
r4,1,0.030061,4.705804,[109  23] ; [123  48],[101.06930693  30.93069307] ; [130.93069307  40.06930693],0
p11,1,0.033289,4.530874,[95 37] ; [103  68],[86.25742574 45.74257426] ; [111.74257426  59.25742574],0
p6,1,0.034491,4.470217,[ 24 106] ; [ 17 153],[ 17.76666667 112.23333333] ; [ 23.23333333 146.76666667],0
b5,1,0.036611,4.368416,[86 46] ; [91 80],[77.10891089 54.89108911] ; [99.89108911 71.10891089],0
p3,1,0.036922,4.354024,[46 85] ; [ 41 129],[37.86378738 93.13621262] ; [ 49.13621262 120.86378738],0
r2,1,0.041852,4.14119,[122  10] ; [145  26],[116.31683168  15.68316832] ; [150.68316832  20.31683168],0
s5,1,0.052264,3.767312,[33 93] ; [ 28 138],[26.32191781 99.67808219] ; [ 34.67808219 131.32191781],0
u3,1,0.054286,3.703887,[27 16] ; [29 37],[22.09174312 20.90825688] ; [33.90825688 32.09174312],0
r1,1,0.056722,3.630743,[101  31] ; [113  57],[93.53642384 38.46357616] ; [120.46357616  49.53642384],0
r3,1,0.063973,3.431268,[119  12] ; [142  28],[113.59136213  17.40863787] ; [147.40863787  22.59136213],0
p10,1,0.06411,3.42774,[93 38] ; [102  66],[85.43478261 45.56521739] ; [109.56521739  58.43478261],0
u2,1,0.068661,3.314749,[26 16] ; [29 37],[21.38888889 20.61111111] ; [33.61111111 32.38888889],0
p5,1,0.069459,3.295767,[ 12 118] ; [  7 164],[  8.20598007 121.79401993] ; [ 10.79401993 160.20598007],0
s8,1,0.073565,3.201632,[47 84] ; [ 45 126],[39.90728477 91.09271523] ; [ 52.09271523 118.90728477],0
p12,1,0.075732,3.154203,[ 13 118] ; [  8 163],[  9.10927152 121.89072848] ; [ 11.89072848 159.10927152],0
p8,1,0.178095,1.813446,[38 93] ; [ 38 133],[32.96688742 98.03311258] ; [ 43.03311258 127.96688742],0
a7,1,0.192652,1.697223,[94 38] ; [109  61],[88.72847682 43.27152318] ; [114.27152318  55.72847682],0
n2,1,0.193887,1.687834,[26  8] ; [44 25],[23.10679612 10.89320388] ; [46.89320388 22.10679612],0
n3,1,0.204105,1.612752,[24 10] ; [38 28],[21.08 12.92] ; [40.92 25.08],0
a2,1,0.208658,1.580712,[ 30 102] ; [ 29 142],[ 25.7029703 106.2970297] ; [ 33.2970297 137.7029703],0
n4,1,0.224765,1.473687,[98 34] ; [116  55],[93.22772277 38.77227723] ; [120.77227723  50.22772277],0
a1,1,0.246677,1.342026,[  4 128] ; [ 10 161],[  6.0990099 125.9009901] ; [  7.9009901 163.0990099],0
a3,1,0.267208,1.231023,[89 42] ; [105  65],[84.43189369 46.56810631] ; [109.56810631  60.43189369],0
b2,1,0.29748,1.085457,[35 46] ; [33 60],[31.65517241 49.34482759] ; [36.34482759 56.65517241],0
b3,1,0.29748,1.085457,[35 46] ; [33 60],[31.65517241 49.34482759] ; [36.34482759 56.65517241],0
a4,1,0.349863,0.873954,[61 70] ; [ 70 100],[57.01328904 73.98671096] ; [73.98671096 96.01328904],0
b4,1,0.351658,0.867465,[78 54] ; [110  61],[81.9009901 50.0990099] ; [106.0990099  64.9009901],0
b1,1,0.379762,0.771473,[49 83] ; [72 99],[52.71287129 79.28712871] ; [ 68.28712871 102.71287129],0
