Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,35.039591,[53  5] ; [ 4 14],[43.5 14.5] ; [13.5  4.5],1
r2,1,0.001524,10.049407,[54  4] ; [10  6],[50.16216216  7.83783784] ; [13.83783784  2.16216216],0
d4,1,0.010341,6.575207,[51  7] ; [11  7],[47.31578947 10.68421053] ; [14.68421053  3.31578947],0
p3,1,0.016082,5.793905,[26 31] ; [ 2 14],[21.8630137 35.1369863] ; [6.1369863 9.8630137],0
v3,1,0.02154,5.282567,[27 28] ; [ 3 14],[22.91666667 32.08333333] ; [7.08333333 9.91666667],0
b1,1,0.056714,3.630949,[27 31] ; [13  5],[30.52631579 27.47368421] ; [9.47368421 8.52631579],0
s4,1,0.066294,3.372483,[ 6 52] ; [ 5 13],[ 8.39473684 49.60526316] ; [ 2.60526316 15.39473684],0
p8,1,0.075927,3.15,[28 28] ; [ 4 12],[24.88888889 31.11111111] ; [7.11111111 8.88888889],0
d3,1,0.077037,3.126329,[42 16] ; [9 9],[38.92105263 19.07894737] ; [12.07894737  5.92105263],0
a7,1,0.077037,3.126329,[42 16] ; [9 9],[38.92105263 19.07894737] ; [12.07894737  5.92105263],0
n3,1,0.180812,1.790936,[10  5] ; [9 1],[11.4  3.6] ; [7.6 2.4],0
p4,1,0.209399,1.57558,[30 27] ; [ 6 11],[27.72972973 29.27027027] ; [8.27027027 8.72972973],0
p2,1,0.239383,1.384226,[42 15] ; [10  7],[40.05405405 16.94594595] ; [11.94594595  5.05405405],0
a2,1,0.274728,1.192987,[ 9 49] ; [ 1 17],[ 7.63157895 50.36842105] ; [ 2.36842105 15.63157895],0
d5,1,0.284813,1.143981,[51  7] ; [14  4],[49.60526316  8.39473684] ; [15.39473684  2.60526316],0
a5,1,0.287056,1.133377,[43 15] ; [11  7],[41.21052632 16.78947368] ; [12.78947368  5.21052632],0
p6,1,0.288831,1.125062,[13 41] ; [ 6 10],[14.65714286 39.34285714] ; [ 4.34285714 11.65714286],0
d1,1,0.290646,1.116627,[34 24] ; [ 8 10],[32.05263158 25.94736842] ; [9.94736842 8.05263158],0
a4,1,0.328274,0.955693,[20 38] ; [ 4 14],[18.31578947 39.68421053] ; [ 5.68421053 12.31578947],0
p10,1,0.351622,0.867594,[36 19] ; [9 8],[34.375 20.625] ; [10.625  6.375],0
s1,1,0.364787,0.821347,[ 1 55] ; [ 1 16],[ 1.53424658 54.46575342] ; [ 0.46575342 16.53424658],0
a1,1,0.375011,0.786994,[ 1 57] ; [ 1 17],[ 1.52631579 56.47368421] ; [ 0.47368421 17.52631579],0
v1,1,0.398373,0.713232,[34 24] ; [8 9],[32.48 25.52] ; [9.52 7.48],0
v4,1,0.415208,0.663839,[52  6] ; [14  3],[51.04  6.96] ; [14.96  2.04],0
n4,1,0.42584,0.634142,[32 26] ; [ 8 10],[30.52631579 27.47368421] ; [9.47368421 8.52631579],0
a6,1,0.444032,0.585842,[38 20] ; [10  8],[36.63157895 21.36842105] ; [11.36842105  6.63157895],0
s7,1,0.460901,0.543707,[20 34] ; [8 9],[21.29577465 32.70422535] ; [ 6.70422535 10.29577465],0
n2,1,0.466985,0.529101,[10  5] ; [8 2],[10.8  4.2] ; [7.2 2.8],0
s6,1,0.556366,0.346036,[33 24] ; [9 9],[31.92 25.08] ; [10.08  7.92],0
p1,1,0.562404,0.335559,[ 4 54] ; [ 2 16],[ 4.57894737 53.42105263] ; [ 1.42105263 16.57894737],0
u3,1,0.580543,0.305357,[9 6] ; [3 1],[9.47368421 5.52631579] ; [2.52631579 1.47368421],0
p7,1,0.626051,0.237455,[30 25] ; [11  7],[30.89041096 24.10958904] ; [10.10958904  7.89041096],0
