Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4e-06,21.0849,[ 4 11] ; [95 22],[11.25  3.75] ; [87.75 29.25],1
r3,1,0.000934,10.953611,[9 6] ; [105  11],[13.05343511  1.94656489] ; [100.94656489  15.05343511],1
r1,1,0.000966,10.891664,[6 9] ; [92 24],[11.22137405  3.77862595] ; [86.77862595 29.22137405],1
b1,1,0.005562,7.686976,[13  2] ; [57 60],[7.95454545 7.04545455] ; [62.04545455 54.95454545],0
v4,1,0.012662,6.215674,[10  5] ; [104  12],[13.05343511  1.94656489] ; [100.94656489  15.05343511],0
p10,1,0.025733,4.973859,[ 5 10] ; [71 41],[8.97637795 6.02362205] ; [67.02362205 44.97637795],0
p9,1,0.031966,4.600303,[6 9] ; [77 36],[9.7265625 5.2734375] ; [73.2734375 39.7265625],0
s2,1,0.035375,4.426971,[ 2 13] ; [48 68],[5.72519084 9.27480916] ; [44.27480916 71.72519084],0
p2,1,0.038238,4.29439,[7 8] ; [83 31],[10.46511628  4.53488372] ; [79.53488372 34.46511628],0
a3,1,0.068447,3.319877,[7 8] ; [82 35],[10.11363636  4.88636364] ; [78.88636364 38.11363636],0
n2,1,0.070976,3.260294,[2 4] ; [29 12],[3.95744681 2.04255319] ; [27.04255319 13.95744681],0
s1,1,0.091785,2.842794,[ 2 13] ; [  4 109],[ 0.703125 14.296875] ; [  5.296875 107.703125],0
d1,1,0.110191,2.551479,[6 9] ; [72 45],[8.86363636 6.13636364] ; [69.13636364 47.86363636],0
d3,1,0.149392,2.078448,[8 7] ; [83 33],[10.41984733  4.58015267] ; [80.58015267 35.41984733],0
p11,1,0.162483,1.950964,[6 9] ; [69 48],[8.52272727 6.47727273] ; [66.47727273 50.52272727],0
a5,1,0.189708,1.719886,[8 7] ; [82 35],[10.22727273  4.77272727] ; [79.77272727 37.22727273],0
u3,1,0.195238,1.677641,[4 4] ; [25  9],[5.52380952 2.47619048] ; [23.47619048 10.52380952],0
