Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,38.050108,[32  3] ; [ 2 20],[20.87719298 14.12280702] ; [13.12280702  8.87719298],1
s7,1,1.9e-05,18.290665,[32  3] ; [ 7 12],[25.27777778  9.72222222] ; [13.72222222  5.27777778],1
s6,1,0.000155,14.316522,[34  1] ; [12  9],[28.75  6.25] ; [17.25  3.75],1
s8,1,0.001379,10.234214,[28  6] ; [ 9 13],[22.46428571 11.53571429] ; [14.53571429  7.46428571],0
s5,1,0.019887,5.421815,[29  5] ; [12  9],[25.34545455  8.65454545] ; [15.65454545  5.34545455],0
r1,1,0.05676,3.629599,[33  2] ; [17  5],[30.70175439  4.29824561] ; [19.29824561  2.70175439],0
d1,1,0.061438,3.498127,[26  9] ; [11 11],[22.71929825 12.28070175] ; [14.28070175  7.71929825],0
d5,1,0.066371,3.370577,[31  3] ; [16  6],[28.53571429  5.46428571] ; [18.46428571  3.53571429],0
p4,1,0.11549,2.477447,[33  1] ; [18  3],[31.52727273  2.47272727] ; [19.47272727  1.52727273],0
p8,1,0.134166,2.243629,[32  3] ; [17  5],[30.0877193  4.9122807] ; [18.9122807  3.0877193],0
n5,1,0.135399,2.229488,[33  2] ; [18  4],[31.31578947  3.68421053] ; [19.68421053  2.31578947],0
d3,1,0.142814,2.147375,[25  9] ; [12 10],[22.46428571 11.53571429] ; [14.53571429  7.46428571],0
a6,1,0.179347,1.80303,[17 17] ; [15  7],[19.42857143 14.57142857] ; [12.57142857  9.42857143],0
p6,1,0.221083,1.497326,[24 10] ; [12 10],[21.85714286 12.14285714] ; [14.14285714  7.85714286],0
a7,1,0.25435,1.299251,[22 13] ; [17  5],[23.94736842 11.05263158] ; [15.05263158  6.94736842],0
a1,1,0.271512,1.209091,[ 7 28] ; [ 2 20],[ 5.52631579 29.47368421] ; [ 3.47368421 18.52631579],0
p11,1,0.281841,1.158189,[32  3] ; [18  4],[30.70175439  4.29824561] ; [19.29824561  2.70175439],0
r2,1,0.303346,1.059426,[33  2] ; [19  3],[31.92982456  3.07017544] ; [20.07017544  1.92982456],0
n4,1,0.303346,1.059426,[33  2] ; [19  3],[31.92982456  3.07017544] ; [20.07017544  1.92982456],0
n6,1,0.318199,0.996334,[33  1] ; [20  2],[32.17857143  1.82142857] ; [20.82142857  1.17857143],0
a8,1,0.325824,0.965426,[ 5 29] ; [ 1 17],[ 3.92307692 30.07692308] ; [ 2.07692308 15.92307692],0
b5,1,0.338509,0.916071,[13 22] ; [11 11],[14.73684211 20.26315789] ; [ 9.26315789 12.73684211],0
b4,1,0.365878,0.817617,[18 17] ; [14  8],[19.64912281 15.35087719] ; [12.35087719  9.64912281],0
p9,1,0.371164,0.799765,[31  4] ; [21  1],[31.92982456  3.07017544] ; [20.07017544  1.92982456],0
p12,1,0.441567,0.592208,[13 22] ; [ 6 16],[11.66666667 23.33333333] ; [ 7.33333333 14.66666667],0
a2,1,0.474867,0.510628,[ 4 31] ; [ 4 18],[ 4.9122807 30.0877193] ; [ 3.0877193 18.9122807],0
p1,1,0.476632,0.506559,[11 24] ; [ 5 17],[ 9.8245614 25.1754386] ; [ 6.1754386 15.8245614],0
n3,1,0.490153,0.47619,[4 3] ; [1 2],[3.5 3.5] ; [1.5 1.5],0
d4,1,0.502716,0.449198,[30  4] ; [18  4],[29.14285714  4.85714286] ; [18.85714286  3.14285714],0
b3,1,0.582712,0.301871,[12 15] ; [9 8],[12.88636364 14.11363636] ; [8.11363636 8.88636364],0
b2,1,0.582712,0.301871,[12 15] ; [9 8],[12.88636364 14.11363636] ; [8.11363636 8.88636364],0
d2,1,0.584218,0.299465,[18 16] ; [10 12],[17. 17.] ; [11. 11.],0
v2,1,0.625697,0.237941,[25 10] ; [17  5],[25.78947368  9.21052632] ; [16.21052632  5.78947368],0
p3,1,0.640263,0.218398,[28  6] ; [17  5],[27.32142857  6.67857143] ; [17.67857143  4.32142857],0
a5,1,0.67339,0.177662,[27  8] ; [18  4],[27.63157895  7.36842105] ; [17.36842105  4.63157895],0
u3,1,0.678845,0.171429,[5 2] ; [3 2],[4.66666667 2.33333333] ; [3.33333333 1.66666667],0
p2,1,0.694534,0.154221,[30  5] ; [18  4],[29.47368421  5.52631579] ; [18.52631579  3.47368421],0
p7,1,0.72942,0.119645,[29  5] ; [18  4],[28.53571429  5.46428571] ; [18.46428571  3.53571429],0
r4,1,0.735936,0.113731,[34  1] ; [21  1],[33.77192982  1.22807018] ; [21.22807018  0.77192982],0
r3,1,0.735936,0.113731,[34  1] ; [21  1],[33.77192982  1.22807018] ; [21.22807018  0.77192982],0
a3,1,0.805779,0.060455,[28  7] ; [17  5],[27.63157895  7.36842105] ; [17.36842105  4.63157895],0
b1,1,0.847439,0.037013,[15 20] ; [10 12],[15.35087719 19.64912281] ; [ 9.64912281 12.35087719],0
v1,1,0.865534,0.028674,[28  7] ; [18  4],[28.24561404  6.75438596] ; [17.75438596  4.24561404],0
s4,1,0.870142,0.026725,[ 4 31] ; [ 2 18],[ 3.81818182 31.18181818] ; [ 2.18181818 17.81818182],0
a4,1,0.916353,0.011031,[17 18] ; [11 11],[17.19298246 17.80701754] ; [10.80701754 11.19298246],0
u1,1,0.920027,0.01008,[ 6 29] ; [ 4 18],[ 6.14035088 28.85964912] ; [ 3.85964912 18.14035088],0
