Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,61.01125,[40 60] ; [258  62],[70.95238095 29.04761905] ; [227.04761905  92.95238095],1
d3,1,0.0,50.233751,[47 53] ; [265  56],[74.10926366 25.89073634] ; [237.89073634  83.10926366],1
a2,1,4e-06,21.259029,[ 9 91] ; [104 217],[26.84085511 73.15914489] ; [ 86.15914489 234.84085511],1
u1,1,6e-06,20.494055,[ 5 95] ; [ 84 237],[21.14014252 78.85985748] ; [ 67.85985748 253.14014252],1
b5,1,0.000518,12.048818,[45 55] ; [207 114],[59.85748219 40.14251781] ; [192.14251781 128.85748219],1
r1,1,0.001946,9.599978,[75 25] ; [280  39],[84.72553699 15.27446301] ; [270.27446301  48.72553699],0
d1,1,0.007755,7.089223,[54 46] ; [220 101],[65.08313539 34.91686461] ; [208.91686461 112.08313539],0
u3,1,0.014776,5.943025,[ 6 14] ; [46 30],[10.83333333  9.16666667] ; [41.16666667 34.83333333],0
r4,1,0.038487,4.283372,[87 13] ; [300  21],[91.9239905  8.0760095] ; [295.0760095  25.9239905],0
b1,1,0.052071,3.773492,[42 58] ; [101 220],[33.96674584 66.03325416] ; [109.03325416 211.96674584],0
a5,1,0.064329,3.422095,[72 28] ; [259  62],[78.62232779 21.37767221] ; [252.37767221  68.62232779],0
r2,1,0.07291,3.216261,[89  8] ; [305  12],[92.31400966  4.68599034] ; [301.68599034  15.31400966],0
n4,1,0.073831,3.195722,[86 13] ; [252  68],[79.86157518 19.13842482] ; [258.13842482  61.86157518],0
s6,1,0.081331,3.038109,[60 38] ; [221  92],[67.00243309 30.99756691] ; [213.99756691  99.00243309],0
p12,1,0.095251,2.783313,[ 5 94] ; [ 34 286],[ 9.21479714 89.78520286] ; [ 29.78520286 290.21479714],0
p4,1,0.137685,2.20364,[60 39] ; [219 100],[66.07894737 32.92105263] ; [212.92105263 106.07894737],0
b4,1,0.154048,2.031705,[54 46] ; [199 122],[60.09501188 39.90498812] ; [192.90498812 128.09501188],0
p1,1,0.167064,1.909091,[ 5 95] ; [ 30 290],[ 8.33333333 91.66666667] ; [ 26.66666667 293.33333333],0
a4,1,0.171202,1.872389,[40 60] ; [153 167],[45.95238095 54.04761905] ; [147.04761905 172.95238095],0
p7,1,0.190964,1.710168,[76 23] ; [219  94],[70.88592233 28.11407767] ; [224.11407767  88.88592233],0
r3,1,0.227746,1.454881,[96  4] ; [312   6],[97.6076555  2.3923445] ; [310.3923445   7.6076555],0
v1,1,0.242256,1.367417,[71 26] ; [210 104],[66.31873479 30.68126521] ; [214.68126521  99.31873479],0
v4,1,0.255737,1.29169,[93  6] ; [306  11],[94.95432692  4.04567308] ; [304.04567308  12.95432692],0
s5,1,0.257622,1.281492,[39 55] ; [108 200],[34.37313433 59.62686567] ; [112.62686567 195.37313433],0
n5,1,0.273773,1.197742,[81 18] ; [242  74],[77.05301205 21.94698795] ; [245.94698795  70.05301205],0
d4,1,0.284157,1.147102,[83 17] ; [280  41],[86.22327791 13.77672209] ; [276.77672209  44.22327791],0
a1,1,0.289893,1.12012,[ 7 93] ; [ 14 307],[ 4.98812352 95.01187648] ; [ 16.01187648 304.98812352],0
d5,1,0.324616,0.970258,[83 17] ; [279  42],[85.98574822 14.01425178] ; [276.01425178  44.98574822],0
p11,1,0.334065,0.933077,[81 19] ; [273  48],[84.08551069 15.91448931] ; [269.91448931  51.08551069],0
u2,1,0.349066,0.876851,[ 9 11] ; [42 32],[10.85106383  9.14893617] ; [40.14893617 33.85106383],0
b2,1,0.364419,0.822608,[29 37] ; [ 73 121],[25.89230769 40.10769231] ; [ 76.10769231 117.89230769],0
b3,1,0.364419,0.822608,[29 37] ; [ 73 121],[25.89230769 40.10769231] ; [ 76.10769231 117.89230769],0
a8,1,0.379436,0.772529,[12 84] ; [ 45 232],[14.67024129 81.32975871] ; [ 42.32975871 234.67024129],0
s1,1,0.436743,0.604824,[ 1 99] ; [  7 307],[ 1.93236715 98.06763285] ; [  6.06763285 307.93236715],0
s7,1,0.464913,0.534041,[55 40] ; [163 141],[51.9047619 43.0952381] ; [166.0952381 137.9047619],0
a3,1,0.473252,0.514372,[80 20] ; [245  75],[77.38095238 22.61904762] ; [247.61904762  72.38095238],0
u4,1,0.494801,0.466069,[ 3 97] ; [  6 315],[ 2.13776722 97.86223278] ; [  6.86223278 314.13776722],0
v3,1,0.56038,0.339047,[59 40] ; [175 136],[56.50243902 42.49756098] ; [177.49756098 133.50243902],0
n2,1,0.564402,0.33214,[15  5] ; [47 11],[15.8974359  4.1025641] ; [46.1025641 11.8974359],0
p10,1,0.572725,0.318144,[83 16] ; [273  44],[84.72115385 14.27884615] ; [271.27884615  45.72115385],0
s3,1,0.593779,0.284481,[53 46] ; [176 135],[55.29512195 43.70487805] ; [173.70487805 137.29512195],0
s8,1,0.594643,0.283152,[51 49] ; [152 165],[48.68105516 51.31894484] ; [154.31894484 162.68105516],0
n1,1,0.61487,0.253144,[ 6 14] ; [21 37],[ 6.92307692 13.07692308] ; [20.07692308 37.92307692],0
p6,1,0.633031,0.227973,[38 59] ; [132 183],[40.02427184 56.97572816] ; [129.97572816 185.02427184],0
n3,1,0.651697,0.203767,[18  3] ; [48 11],[17.325  3.675] ; [48.675 10.325],0
p5,1,0.68778,0.161499,[14 86] ; [ 40 281],[12.82660333 87.17339667] ; [ 41.17339667 279.82660333],0
p9,1,0.779106,0.078671,[88 11] ; [284  32],[88.74216867 10.25783133] ; [283.25783133  32.74216867],0
s4,1,0.814904,0.054805,[12 88] ; [ 41 277],[12.67942584 87.32057416] ; [ 40.32057416 277.67942584],0
d2,1,0.844159,0.038642,[53 47] ; [166 154],[52.14285714 47.85714286] ; [166.85714286 153.14285714],0
p3,1,0.870615,0.026529,[57 43] ; [180 141],[56.29453682 43.70546318] ; [180.70546318 140.29453682],0
p8,1,0.889698,0.019234,[57 40] ; [187 127],[57.5863747 39.4136253] ; [186.4136253 127.5863747],0
n6,1,0.893688,0.017859,[86 13] ; [277  40],[86.38701923 12.61298077] ; [276.61298077  40.38701923],0
s2,1,0.958026,0.00277,[53 47] ; [166 149],[52.77108434 47.22891566] ; [166.22891566 148.77108434],0
