Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,0.001225,10.451691,[10 27] ; [16  7],[16.03333333 20.96666667] ; [ 9.96666667 13.03333333],0
p9,1,0.006995,7.274168,[11 26] ; [15  8],[16.03333333 20.96666667] ; [ 9.96666667 13.03333333],0
r3,1,0.009044,6.81402,[15 23] ; [17  6],[19.93442623 18.06557377] ; [12.06557377 10.93442623],0
p10,1,0.017732,5.622395,[ 9 28] ; [13 11],[13.3442623 23.6557377] ; [ 8.6557377 15.3442623],0
p2,1,0.018316,5.565636,[10 28] ; [13 10],[14.32786885 23.67213115] ; [ 8.67213115 14.32786885],0
v2,1,0.021083,5.319908,[ 8 29] ; [12 12],[12.13114754 24.86885246] ; [ 7.86885246 16.13114754],0
d1,1,0.021588,5.278672,[11 27] ; [14 10],[15.32258065 22.67741935] ; [ 9.67741935 14.32258065],0
d5,1,0.031743,4.612348,[18 20] ; [18  6],[22.06451613 15.93548387] ; [13.93548387 10.06451613],0
b4,1,0.035137,4.438489,[20 18] ; [19  5],[23.90322581 14.09677419] ; [15.09677419  8.90322581],0
d4,1,0.036878,4.356057,[22 16] ; [20  4],[25.74193548 12.25806452] ; [16.25806452  7.74193548],0
n3,1,0.03726,4.338492,[ 7 13] ; [5 1],[ 9.23076923 10.76923077] ; [2.76923077 3.23076923],0
v3,1,0.09543,2.780312,[ 7 30] ; [ 1 23],[ 4.85245902 32.14754098] ; [ 3.14754098 20.85245902],0
d3,1,0.117722,2.447368,[16 22] ; [15  9],[19. 19.] ; [12. 12.],0
p5,1,0.131014,2.28045,[ 1 36] ; [ 3 21],[ 2.42622951 34.57377049] ; [ 1.57377049 22.42622951],0
s7,1,0.137486,2.205869,[ 5 30] ; [ 7 16],[ 7.24137931 27.75862069] ; [ 4.75862069 18.24137931],0
b3,1,0.146812,2.105067,[12 15] ; [ 3 11],[ 9.87804878 17.12195122] ; [5.12195122 8.87804878],0
b2,1,0.146812,2.105067,[12 15] ; [ 3 11],[ 9.87804878 17.12195122] ; [5.12195122 8.87804878],0
s1,1,0.158967,1.984028,[ 6 32] ; [ 1 23],[ 4.29032258 33.70967742] ; [ 2.70967742 21.29032258],0
d2,1,0.174026,1.84792,[15 22] ; [14 10],[17.59016393 19.40983607] ; [11.40983607 12.59016393],0
n4,1,0.257745,1.280829,[26 12] ; [13 11],[23.90322581 14.09677419] ; [15.09677419  8.90322581],0
s5,1,0.380283,0.769787,[ 5 33] ; [ 5 18],[ 6.2295082 31.7704918] ; [ 3.7704918 19.2295082],0
p1,1,0.393641,0.727664,[ 6 32] ; [ 2 22],[ 4.90322581 33.09677419] ; [ 3.09677419 20.90322581],0
p8,1,0.405841,0.690952,[ 5 32] ; [ 5 18],[ 6.16666667 30.83333333] ; [ 3.83333333 19.16666667],0
s6,1,0.406785,0.688178,[ 9 29] ; [ 8 16],[10.41935484 27.58064516] ; [ 6.58064516 17.41935484],0
a3,1,0.438937,0.599059,[21 16] ; [16  8],[22.44262295 14.55737705] ; [14.55737705  9.44262295],0
a5,1,0.445253,0.582707,[20 18] ; [15  9],[21.4516129 16.5483871] ; [13.5483871 10.4516129],0
r4,1,0.46743,0.528045,[ 8 30] ; [ 7 17],[ 9.19354839 28.80645161] ; [ 5.80645161 18.19354839],0
b5,1,0.469247,0.523748,[17 21] ; [13 11],[18.38709677 19.61290323] ; [11.61290323 12.38709677],0
a4,1,0.527688,0.398842,[11 26] ; [ 9 15],[12.13114754 24.86885246] ; [ 7.86885246 16.13114754],0
b1,1,0.542901,0.37019,[22 16] ; [12 12],[20.83870968 17.16129032] ; [13.16129032 10.83870968],0
u3,1,0.569399,0.323689,[ 1 16] ; [1 7],[ 1.36 15.64] ; [0.64 7.36],0
p6,1,0.571933,0.319459,[ 5 32] ; [ 2 21],[ 4.31666667 32.68333333] ; [ 2.68333333 20.31666667],0
u2,1,0.668108,0.183824,[ 3 14] ; [2 6],[ 3.4 13.6] ; [1.6 6.4],0
p4,1,0.715203,0.133136,[11 27] ; [ 8 16],[11.64516129 26.35483871] ; [ 7.35483871 16.64516129],0
s2,1,0.717285,0.131109,[ 8 30] ; [ 6 18],[ 8.58064516 29.41935484] ; [ 5.41935484 18.58064516],0
a2,1,0.776039,0.080931,[ 4 34] ; [ 2 22],[ 3.67741935 34.32258065] ; [ 2.32258065 21.67741935],0
p7,1,0.80638,0.060073,[10 28] ; [ 7 17],[10.41935484 27.58064516] ; [ 6.58064516 17.41935484],0
v1,1,0.809176,0.058317,[11 27] ; [ 6 17],[10.59016393 27.40983607] ; [ 6.40983607 16.59016393],0
r2,1,0.846634,0.037409,[21 15] ; [14  9],[21.3559322 14.6440678] ; [13.6440678  9.3559322],0
a8,1,0.858252,0.031898,[ 4 34] ; [ 2 20],[ 3.8 34.2] ; [ 2.2 19.8],0
r1,1,0.8765,0.024152,[15 23] ; [ 9 15],[14.70967742 23.29032258] ; [ 9.29032258 14.70967742],0
s3,1,0.884956,0.020935,[13 24] ; [ 8 16],[12.73770492 24.26229508] ; [ 8.26229508 15.73770492],0
a7,1,0.90607,0.013923,[18 20] ; [11 13],[17.77419355 20.22580645] ; [11.22580645 12.77419355],0
p3,1,0.908184,0.013301,[10 28] ; [ 6 18],[ 9.80645161 28.19354839] ; [ 6.19354839 17.80645161],0
n1,1,0.921775,0.009643,[ 9 11] ; [3 4],[ 8.88888889 11.11111111] ; [3.11111111 3.88888889],0
n2,1,0.921775,0.009643,[ 9 11] ; [3 4],[ 8.88888889 11.11111111] ; [3.11111111 3.88888889],0
s4,1,0.927118,0.008367,[ 6 32] ; [ 4 20],[ 6.12903226 31.87096774] ; [ 3.87096774 20.12903226],0
a6,1,0.932655,0.007141,[17 21] ; [11 13],[17.16129032 20.83870968] ; [10.83870968 13.16129032],0
