Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.002045,9.508571,[19  6] ; [ 9 18],[13.46153846 11.53846154] ; [14.53846154 12.46153846],0
p8,1,0.002045,9.508571,[ 6 19] ; [18  9],[11.53846154 13.46153846] ; [12.46153846 14.53846154],0
r4,1,0.00846,6.933333,[ 5 20] ; [15 12],[ 9.61538462 15.38461538] ; [10.38461538 16.61538462],0
u3,1,0.009108,6.801432,[ 1 11] ; [8 6],[4.15384615 7.84615385] ; [4.84615385 9.15384615],0
s6,1,0.01249,6.24,[ 8 17] ; [18  9],[12.5 12.5] ; [13.5 13.5],0
p4,1,0.012991,6.1703,[ 9 16] ; [19  8],[13.46153846 11.53846154] ; [14.53846154 12.46153846],0
p6,1,0.015863,5.81802,[ 2 22] ; [10 17],[ 5.64705882 18.35294118] ; [ 6.35294118 20.64705882],0
p3,1,0.01729,5.666667,[ 4 20] ; [13 14],[ 8. 16.] ; [ 9. 18.],0
s4,1,0.028562,4.793805,[ 1 24] ; [ 7 20],[ 3.84615385 21.15384615] ; [ 4.15384615 22.84615385],0
p11,1,0.03331,4.529778,[16  9] ; [24  3],[19.23076923  5.76923077] ; [20.76923077  6.23076923],0
p10,1,0.035875,4.403051,[13 11] ; [22  5],[16.47058824  7.52941176] ; [18.52941176  8.47058824],0
u2,1,0.053824,3.718155,[5 7] ; [11  3],[7.38461538 4.61538462] ; [8.61538462 5.38461538],0
r1,1,0.070798,3.264429,[ 6 19] ; [13 14],[ 9.13461538 15.86538462] ; [ 9.86538462 17.13461538],0
s3,1,0.074203,3.1875,[ 5 19] ; [12 15],[ 8. 16.] ; [ 9. 18.],0
n6,1,0.074203,3.1875,[19  5] ; [15 12],[16.  8.] ; [18.  9.],0
d1,1,0.087575,2.918385,[10 15] ; [ 5 22],[ 7.21153846 17.78846154] ; [ 7.78846154 19.21153846],0
p2,1,0.087575,2.918385,[15 10] ; [22  5],[17.78846154  7.21153846] ; [19.21153846  7.78846154],0
s5,1,0.087788,2.914468,[ 2 23] ; [ 7 20],[ 4.32692308 20.67307692] ; [ 4.67307692 22.32692308],0
b1,1,0.097746,2.741948,[10 15] ; [17 10],[12.98076923 12.01923077] ; [14.01923077 12.98076923],0
p9,1,0.129485,2.298665,[15  9] ; [22  5],[17.41176471  6.58823529] ; [19.58823529  7.41176471],0
v3,1,0.14924,2.08,[ 4 21] ; [ 9 18],[ 6.25 18.75] ; [ 6.75 20.25],0
