Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,25.042839,[59 12] ; [20 31],[45.97540984 25.02459016] ; [33.02459016 17.97540984],1
s6,1,0.000213,13.714286,[45 25] ; [15 35],[35. 35.] ; [25. 25.],1
a5,1,0.000678,11.548924,[43 28] ; [15 36],[33.75409836 37.24590164] ; [24.24590164 26.75409836],1
r3,1,0.00082,11.195807,[60 10] ; [30 21],[52.0661157 17.9338843] ; [37.9338843 13.0661157],1
s7,1,0.004739,7.976558,[29 38] ; [ 9 40],[21.94827586 45.05172414] ; [16.05172414 32.94827586],0
s8,1,0.004785,7.95903,[22 48] ; [ 5 46],[15.61983471 54.38016529] ; [11.38016529 39.61983471],0
a7,1,0.011103,6.448706,[49 22] ; [23 27],[42.24793388 28.75206612] ; [29.75206612 20.24793388],0
r2,1,0.011496,6.387031,[63  8] ; [36 15],[57.6147541 13.3852459] ; [41.3852459  9.6147541],0
d5,1,0.014483,5.978309,[43 28] ; [19 31],[36.38016529 34.61983471] ; [25.61983471 24.38016529],0
a3,1,0.015119,5.902572,[39 30] ; [17 33],[32.47058824 36.52941176] ; [23.52941176 26.47058824],0
d4,1,0.034435,4.472986,[43 28] ; [21 30],[37.24590164 33.75409836] ; [26.75409836 24.24590164],0
v2,1,0.044753,4.027939,[28 39] ; [12 38],[22.90598291 44.09401709] ; [17.09401709 32.90598291],0
v4,1,0.060821,3.51486,[59 12] ; [35 16],[54.70491803 16.29508197] ; [39.29508197 11.70491803],0
p10,1,0.071585,3.246294,[35 33] ; [17 32],[30.22222222 37.77777778] ; [21.77777778 27.22222222],0
u3,1,0.08989,2.876351,[16 14] ; [11 23],[12.65625 17.34375] ; [14.34375 19.65625],0
a8,1,0.100089,2.704132,[11 56] ; [ 3 45],[ 8.15652174 58.84347826] ; [ 5.84347826 42.15652174],0
