Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,105.532015,[429   7] ; [23 14],[416.64270613  19.35729387] ; [35.35729387  1.64270613],1
r3,1,0.0,103.154913,[431   6] ; [26 14],[418.67714885  18.32285115] ; [38.32285115  1.67714885],1
r1,1,0.0,88.771364,[376  58] ; [11 30],[353.59578947  80.40421053] ; [33.40421053  7.59578947],1
r2,1,0.0,85.734335,[420  13] ; [22 15],[407.20425532  25.79574468] ; [34.79574468  2.20425532],1
n6,1,0.0,42.828653,[382  52] ; [19 20],[367.93657505  66.06342495] ; [33.06342495  5.93657505],1
d1,1,3e-06,21.551273,[266 171] ; [10 32],[251.79958246 185.20041754] ; [24.20041754 17.79958246],1
d3,1,0.000132,14.608802,[307 128] ; [17 24],[296.09243697 138.90756303] ; [27.90756303 13.09243697],1
n4,1,0.000146,14.419914,[356  79] ; [24 18],[346.5408805  88.4591195] ; [33.4591195  8.5408805],1
d5,1,0.000494,12.139776,[356  78] ; [25 17],[347.38235294  86.61764706] ; [33.61764706  8.38235294],1
a5,1,0.000562,11.897812,[335 102] ; [22 20],[325.69728601 111.30271399] ; [31.30271399 10.69728601],1
a7,1,0.000905,11.013011,[323 113] ; [21 21],[313.77405858 122.22594142] ; [30.22594142 11.77405858],1
p10,1,0.001384,10.227011,[368  66] ; [26 14],[360.75105485  73.24894515] ; [33.24894515  6.75105485],0
p11,1,0.001417,10.183715,[367  70] ; [27 15],[359.45302714  77.54697286] ; [34.54697286  7.45302714],0
d4,1,0.001602,9.957541,[363  70] ; [27 15],[355.51578947  77.48421053] ; [34.48421053  7.51578947],0
p9,1,0.001902,9.641663,[376  57] ; [29 13],[369.18947368  63.81052632] ; [35.81052632  6.18947368],0
p3,1,0.003211,8.683528,[263 173] ; [15 26],[254.1048218 181.8951782] ; [23.8951782 17.1048218],0
n3,1,0.006399,7.434378,[61 13] ; [10  9],[56.49462366 17.50537634] ; [14.50537634  4.49462366],0
n5,1,0.009392,6.746743,[340  95] ; [24 16],[333.34736842 101.65263158] ; [30.65263158  9.34736842],0
b1,1,0.010245,6.591768,[171 266] ; [25 17],[178.81419624 258.18580376] ; [17.18580376 24.81419624],0
p8,1,0.011015,6.462953,[292 141] ; [19 21],[284.69978858 148.30021142] ; [26.30021142 13.69978858],0
