Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,7e-06,20.104534,[41 55] ; [ 26 128],[25.728 70.272] ; [ 41.272 112.728],1
p7,1,5.7e-05,16.212549,[68 27] ; [65 79],[52.86610879 42.13389121] ; [80.13389121 63.86610879],1
p8,1,0.002193,9.380916,[46 50] ; [ 44 109],[34.69879518 61.30120482] ; [55.30120482 97.69879518],0
p5,1,0.007073,7.254376,[ 9 86] ; [  3 151],[ 4.57831325 90.42168675] ; [  7.42168675 146.57831325],0
s8,1,0.008484,6.928378,[57 39] ; [66 90],[46.85714286 49.14285714] ; [76.14285714 79.85714286],0
d3,1,0.008647,6.89425,[76 21] ; [97 58],[66.59126984 30.40873016] ; [106.40873016  48.59126984],0
v1,1,0.022799,5.183746,[55 40] ; [64 85],[46.33196721 48.66803279] ; [72.66803279 76.33196721],0
p2,1,0.032275,4.58385,[83 14] ; [115  40],[76.21428571 20.78571429] ; [121.78571429  33.21428571],0
a5,1,0.033531,4.518443,[70 27] ; [92 64],[62.11067194 34.88932806] ; [99.88932806 56.11067194],0
s2,1,0.051825,3.781407,[79 18] ; [110  46],[72.46245059 24.53754941] ; [116.53754941  39.46245059],0
r4,1,0.056254,3.644517,[89  8] ; [130  26],[83.96442688 13.03557312] ; [135.03557312  20.96442688],0
n6,1,0.058075,3.591512,[81 15] ; [115  40],[74.96414343 21.03585657] ; [121.03585657  33.96414343],0
n5,1,0.068523,3.31804,[76 21] ; [105  50],[69.67063492 27.32936508] ; [111.32936508  43.67063492],0
b4,1,0.107391,2.592197,[51 46] ; [98 58],[57.12648221 39.87351779] ; [91.87351779 64.12648221],0
n3,1,0.107901,2.584692,[18  3] ; [37 18],[15.19736842  5.80263158] ; [39.80263158 15.19736842],0
a1,1,0.14443,2.130116,[ 7 90] ; [  5 151],[ 4.60079051 92.39920949] ; [  7.39920949 148.60079051],0
s7,1,0.147555,2.097345,[59 35] ; [80 70],[53.54918033 40.45081967] ; [85.45081967 64.54918033],0
a2,1,0.151803,2.054034,[24 73] ; [ 27 129],[19.55335968 77.44664032] ; [ 31.44664032 124.55335968],0
