Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,30.049585,[47 17] ; [ 8 34],[33.20754717 30.79245283] ; [21.79245283 20.20754717],1
v3,1,0.019908,5.419936,[22 40] ; [ 6 35],[16.85436893 45.14563107] ; [11.14563107 29.85436893],0
a6,1,0.024884,5.031949,[43 21] ; [19 23],[37.43396226 26.56603774] ; [24.56603774 17.43396226],0
b3,1,0.027161,4.880579,[16 26] ; [ 3 21],[12.09090909 29.90909091] ; [ 6.90909091 17.09090909],0
b2,1,0.027161,4.880579,[16 26] ; [ 3 21],[12.09090909 29.90909091] ; [ 6.90909091 17.09090909],0
a5,1,0.046902,3.948892,[40 24] ; [18 24],[35.01886792 28.98113208] ; [22.98113208 19.01886792],0
u3,1,0.082088,3.023065,[11 20] ; [11  7],[13.91836735 17.08163265] ; [8.08163265 9.91836735],0
r2,1,0.085319,2.960547,[54  8] ; [31 11],[50.67307692 11.32692308] ; [34.32692308  7.67307692],0
p3,1,0.091892,2.840913,[20 44] ; [ 7 35],[16.30188679 47.69811321] ; [10.69811321 31.30188679],0
a4,1,0.100834,2.692308,[28 35] ; [12 30],[24. 39.] ; [16. 26.],0
a1,1,0.102847,2.660824,[ 7 57] ; [ 1 41],[ 4.83018868 59.16981132] ; [ 3.16981132 38.83018868],0
u1,1,0.1246,2.358524,[ 9 55] ; [ 2 40],[ 6.64150943 57.35849057] ; [ 4.35849057 37.64150943],0
p1,1,0.150584,2.066327,[ 6 57] ; [ 1 41],[ 4.2 58.8] ; [ 2.8 39.2],0
n3,1,0.239143,1.385638,[10 11] ; [15  8],[11.93181818  9.06818182] ; [13.06818182  9.93181818],0
r4,1,0.261336,1.261668,[42 22] ; [23 19],[39.24528302 24.75471698] ; [25.75471698 16.24528302],0
v1,1,0.267247,1.230823,[20 44] ; [ 9 33],[17.50943396 46.49056604] ; [11.49056604 30.50943396],0
n6,1,0.275205,1.19062,[44 19] ; [25 17],[41.4 21.6] ; [27.6 14.4],0
s8,1,0.277023,1.181639,[ 9 54] ; [ 3 38],[ 7.26923077 55.73076923] ; [ 4.73076923 36.26923077],0
s4,1,0.297989,1.083172,[ 5 58] ; [ 6 36],[ 6.6 56.4] ; [ 4.4 37.6],0
a2,1,0.32867,0.954132,[14 50] ; [ 6 36],[12.0754717 51.9245283] ; [ 7.9245283 34.0754717],0
r1,1,0.329716,0.950012,[44 20] ; [25 17],[41.66037736 22.33962264] ; [27.33962264 14.66037736],0
p6,1,0.364724,0.821563,[ 8 54] ; [ 8 33],[ 9.63106796 52.36893204] ; [ 6.36893204 34.63106796],0
a7,1,0.411981,0.673077,[41 22] ; [24 18],[39. 24.] ; [26. 16.],0
s7,1,0.415101,0.664142,[11 48] ; [ 5 35],[ 9.53535354 49.46464646] ; [ 6.46464646 33.53535354],0
p7,1,0.45557,0.556756,[21 42] ; [17 25],[22.8 40.2] ; [15.2 26.8],0
n1,1,0.456652,0.554088,[ 8 14] ; [ 6 17],[ 6.84444444 15.15555556] ; [ 7.15555556 15.84444444],0
a8,1,0.460309,0.545143,[ 5 52] ; [ 2 39],[ 4.07142857 52.92857143] ; [ 2.92857143 38.07142857],0
v2,1,0.466399,0.530495,[28 36] ; [15 26],[26.20952381 37.79047619] ; [16.79047619 24.20952381],0
b4,1,0.474307,0.511924,[41 23] ; [24 18],[39.24528302 24.75471698] ; [25.75471698 16.24528302],0
s6,1,0.483107,0.491841,[16 47] ; [13 28],[17.56730769 45.43269231] ; [11.43269231 29.56730769],0
b5,1,0.516583,0.420711,[34 30] ; [25 17],[35.62264151 28.37735849] ; [23.37735849 18.62264151],0
d2,1,0.523416,0.407158,[32 30] ; [19 23],[30.40384615 31.59615385] ; [20.59615385 21.40384615],0
s1,1,0.592605,0.286295,[ 3 61] ; [ 3 39],[ 3.62264151 60.37735849] ; [ 2.37735849 39.62264151],0
p11,1,0.62315,0.241465,[29 35] ; [17 25],[27.77358491 36.22641509] ; [18.22641509 23.77358491],0
p2,1,0.631274,0.230337,[32 32] ; [19 23],[30.79245283 33.20754717] ; [20.20754717 21.79245283],0
a3,1,0.631329,0.230263,[33 30] ; [24 18],[34.2 28.8] ; [22.8 19.2],0
p8,1,0.683327,0.166405,[16 48] ; [12 30],[16.90566038 47.09433962] ; [11.09433962 30.90566038],0
d1,1,0.695491,0.153205,[28 36] ; [20 22],[28.98113208 35.01886792] ; [19.01886792 22.98113208],0
b1,1,0.695491,0.153205,[36 28] ; [22 20],[35.01886792 28.98113208] ; [22.98113208 19.01886792],0
d5,1,0.754283,0.097967,[46 18] ; [29 13],[45.28301887 18.71698113] ; [29.71698113 12.28301887],0
s2,1,0.77745,0.079887,[ 8 55] ; [ 6 35],[ 8.48076923 54.51923077] ; [ 5.51923077 35.48076923],0
v4,1,0.815939,0.054182,[50 14] ; [32 10],[49.50943396 14.49056604] ; [32.49056604  9.50943396],0
p10,1,0.836027,0.04284,[11 52] ; [ 8 34],[11.4 51.6] ; [ 7.6 34.4],0
d4,1,0.858554,0.03176,[46 17] ; [30 12],[45.6 17.4] ; [30.4 11.6],0
n2,1,0.861531,0.030424,[13 10] ; [13  9],[13.28888889  9.71111111] ; [12.71111111  9.28888889],0
u2,1,0.8657,0.028602,[12 17] ; [ 7 11],[11.72340426 17.27659574] ; [ 7.27659574 10.72340426],0
d3,1,0.8801,0.022753,[36 28] ; [23 19],[35.62264151 28.37735849] ; [23.37735849 18.62264151],0
r3,1,0.927368,0.00831,[47 16] ; [31 11],[46.8 16.2] ; [31.2 10.8],0
s5,1,0.96058,0.002443,[ 9 54] ; [ 6 35],[ 9.08653846 53.91346154] ; [ 5.91346154 35.08653846],0
p4,1,0.973429,0.001109,[19 43] ; [13 29],[19.07692308 42.92307692] ; [12.92307692 29.07692308],0
