Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0096,6.707609,[ 7 21] ; [14  9],[11.52941176 16.47058824] ; [ 9.47058824 13.52941176],0
p8,1,0.015581,5.849527,[ 5 23] ; [11 11],[ 8.96 19.04] ; [ 7.04 14.96],0
p3,1,0.020772,5.345792,[ 3 24] ; [ 9 14],[ 6.48 20.52] ; [ 5.52 17.48],0
b2,1,0.032509,4.571429,[ 6 10] ; [ 1 15],[ 3.5 12.5] ; [ 3.5 12.5],0
b3,1,0.032509,4.571429,[ 6 10] ; [ 1 15],[ 3.5 12.5] ; [ 3.5 12.5],0
r4,1,0.042784,4.103905,[ 4 24] ; [ 9 14],[ 7.1372549 20.8627451] ; [ 5.8627451 17.1372549],0
b4,1,0.04358,4.07276,[20  8] ; [10 13],[16.47058824 11.52941176] ; [13.52941176  9.47058824],0
v3,1,0.045096,4.015062,[ 1 27] ; [ 5 18],[ 3.29411765 24.70588235] ; [ 2.70588235 20.29411765],0
s3,1,0.050744,3.816693,[ 4 23] ; [ 9 14],[ 7.02 19.98] ; [ 5.98 17.02],0
p6,1,0.082103,3.022779,[ 2 24] ; [ 6 17],[ 4.24489796 21.75510204] ; [ 3.75510204 19.24489796],0
s2,1,0.085963,2.948399,[ 4 24] ; [ 8 15],[ 6.58823529 21.41176471] ; [ 5.41176471 17.58823529],0
v1,1,0.090277,2.86943,[ 5 23] ; [ 9 14],[ 7.68627451 20.31372549] ; [ 6.31372549 16.68627451],0
p2,1,0.096907,2.755727,[13 15] ; [16  7],[15.92156863 12.07843137] ; [13.07843137  9.92156863],0
n3,1,0.12707,2.327943,[6 5] ; [7 1],[7.52631579 3.47368421] ; [5.47368421 2.52631579],0
p10,1,0.155969,2.012882,[11 16] ; [14  9],[13.5 13.5] ; [11.5 11.5],0
s6,1,0.157015,2.002738,[ 8 20] ; [11 12],[10.43137255 17.56862745] ; [ 8.56862745 14.43137255],0
a4,1,0.167419,1.905901,[ 6 22] ; [ 9 14],[ 8.23529412 19.76470588] ; [ 6.76470588 16.23529412],0
s1,1,0.210582,1.567423,[ 1 27] ; [ 3 20],[ 2.19607843 25.80392157] ; [ 1.80392157 21.19607843],0
p9,1,0.225564,1.46862,[13 14] ; [15  8],[15.12 11.88] ; [12.88 10.12],0
p5,1,0.233126,1.421684,[ 2 26] ; [ 4 18],[ 3.36 24.64] ; [ 2.64 19.36],0
a5,1,0.237616,1.394683,[10 18] ; [12 11],[12.07843137 15.92156863] ; [ 9.92156863 13.07843137],0
p11,1,0.244391,1.355087,[15 13] ; [16  7],[17.01960784 10.98039216] ; [13.98039216  9.01960784],0
n6,1,0.253671,1.302973,[19  9] ; [12 11],[17.01960784 10.98039216] ; [13.98039216  9.01960784],0
u3,1,0.263585,1.249832,[ 2 16] ; [3 8],[ 3.10344828 14.89655172] ; [1.89655172 9.10344828],0
a3,1,0.282521,1.154924,[10 17] ; [12 11],[11.88 15.12] ; [10.12 12.88],0
r1,1,0.292034,1.110219,[ 5 23] ; [ 7 16],[ 6.58823529 21.41176471] ; [ 5.41176471 17.58823529],0
b1,1,0.3039,1.057001,[13 15] ; [14  9],[14.82352941 13.17647059] ; [12.17647059 10.82352941],0
d3,1,0.357363,0.847139,[11 17] ; [12 11],[12.62745098 15.37254902] ; [10.37254902 12.62745098],0
p1,1,0.400076,0.708099,[ 3 25] ; [ 1 22],[ 2.19607843 25.80392157] ; [ 1.80392157 21.19607843],0
b5,1,0.400416,0.707076,[15 13] ; [15  8],[16.47058824 11.52941176] ; [13.52941176  9.47058824],0
v4,1,0.437606,0.602552,[14 14] ; [14  9],[15.37254902 12.62745098] ; [12.62745098 10.37254902],0
a1,1,0.480737,0.497191,[ 2 26] ; [ 3 20],[ 2.74509804 25.25490196] ; [ 2.25490196 20.74509804],0
s8,1,0.490508,0.475412,[ 3 25] ; [ 4 19],[ 3.84313725 24.15686275] ; [ 3.15686275 19.84313725],0
s4,1,0.490508,0.475412,[ 3 25] ; [ 4 19],[ 3.84313725 24.15686275] ; [ 3.15686275 19.84313725],0
a6,1,0.540031,0.375482,[11 17] ; [11 12],[12.07843137 15.92156863] ; [ 9.92156863 13.07843137],0
d1,1,0.577461,0.310358,[ 8 20] ; [ 5 18],[ 7.1372549 20.8627451] ; [ 5.8627451 17.1372549],0
u2,1,0.59737,0.27898,[ 8 10] ; [6 5],[8.68965517 9.31034483] ; [5.31034483 5.68965517],0
n1,1,0.635848,0.224213,[3 8] ; [3 5],[3.47368421 7.52631579] ; [2.52631579 5.47368421],0
d5,1,0.642429,0.21558,[14 14] ; [10 13],[13.17647059 14.82352941] ; [10.82352941 12.17647059],0
v2,1,0.670379,0.181159,[ 9 18] ; [ 9 14],[ 9.72 17.28] ; [ 8.28 14.72],0
a7,1,0.682979,0.166792,[15 13] ; [11 12],[14.2745098 13.7254902] ; [11.7254902 11.2745098],0
n4,1,0.722699,0.125921,[16 12] ; [12 11],[15.37254902 12.62745098] ; [12.62745098 10.37254902],0
d4,1,0.787867,0.072405,[16 12] ; [14  9],[16.47058824 11.52941176] ; [13.52941176  9.47058824],0
s5,1,0.797262,0.065994,[ 3 25] ; [ 3 20],[ 3.29411765 24.70588235] ; [ 2.70588235 20.29411765],0
r3,1,0.826663,0.047954,[18  9] ; [16  7],[18.36  8.64] ; [15.64  7.36],0
p12,1,0.837384,0.042124,[ 2 26] ; [ 2 21],[ 2.19607843 25.80392157] ; [ 1.80392157 21.19607843],0
d2,1,0.842272,0.039596,[ 9 19] ; [ 8 15],[ 9.33333333 18.66666667] ; [ 7.66666667 15.33333333],0
u1,1,0.886974,0.020202,[ 1 27] ; [ 1 22],[ 1.09803922 26.90196078] ; [ 0.90196078 22.09803922],0
a8,1,0.926084,0.008607,[ 5 21] ; [ 4 18],[ 4.875 21.125] ; [ 4.125 17.875],0
n2,1,0.959566,0.00257,[7 4] ; [5 3],[6.94736842 4.05263158] ; [5.05263158 2.94736842],0
n5,1,0.990983,0.000128,[17 11] ; [14  9],[17.01960784 10.98039216] ; [13.98039216  9.01960784],0
