Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.002842,8.906512,[ 2 21] ; [14 16],[ 6.94339623 16.05660377] ; [ 9.05660377 20.94339623],0
d3,1,0.010539,6.541487,[ 5 18] ; [17 13],[ 9.54716981 13.45283019] ; [12.45283019 17.54716981],0
d1,1,0.014149,6.019484,[ 4 19] ; [15 15],[ 8.24528302 14.75471698] ; [10.75471698 19.24528302],0
d5,1,0.027637,4.850561,[10 13] ; [22  8],[13.88679245  9.11320755] ; [18.11320755 11.88679245],0
a8,1,0.103711,2.647534,[ 5 17] ; [ 2 27],[ 3.01960784 18.98039216] ; [ 3.98039216 25.01960784],0
b4,1,0.125548,2.346711,[17  6] ; [16 14],[14.32075472  8.67924528] ; [18.67924528 11.32075472],0
d2,1,0.142962,2.145784,[ 8 15] ; [16 13],[10.61538462 12.38461538] ; [13.38461538 15.61538462],0
r1,1,0.151944,2.052627,[ 7 16] ; [15 15],[ 9.54716981 13.45283019] ; [12.45283019 17.54716981],0
a1,1,0.160665,1.967957,[ 1 22] ; [ 5 25],[ 2.60377358 20.39622642] ; [ 3.39622642 26.60377358],0
a6,1,0.178729,1.808163,[ 8 15] ; [16 14],[10.41509434 12.58490566] ; [13.58490566 16.41509434],0
p3,1,0.225494,1.469063,[ 3 20] ; [ 8 22],[ 4.77358491 18.22641509] ; [ 6.22641509 23.77358491],0
u2,1,0.231289,1.432915,[3 8] ; [ 1 11],[1.91304348 9.08695652] ; [2.08695652 9.91304348],0
s8,1,0.236742,1.399891,[ 5 18] ; [ 3 27],[ 3.47169811 19.52830189] ; [ 4.52830189 25.47169811],0
b2,1,0.2473,1.33849,[ 4 11] ; [10 12],[5.67567568 9.32432432] ; [ 8.32432432 13.67567568],0
b3,1,0.2473,1.33849,[ 4 11] ; [10 12],[5.67567568 9.32432432] ; [ 8.32432432 13.67567568],0
n3,1,0.256299,1.288636,[6 3] ; [5 7],[4.71428571 4.28571429] ; [6.28571429 5.71428571],0
v2,1,0.281934,1.157744,[ 5 17] ; [11 19],[ 6.76923077 15.23076923] ; [ 9.23076923 20.76923077],0
r3,1,0.298581,1.080519,[10 12] ; [18 12],[11.84615385 10.15384615] ; [16.15384615 13.84615385],0
u3,1,0.314648,1.011065,[ 1 10] ; [3 9],[1.91304348 9.08695652] ; [2.08695652 9.91304348],0
s3,1,0.330879,0.945455,[ 4 18] ; [ 9 21],[ 5.5 16.5] ; [ 7.5 22.5],0
a7,1,0.341153,0.906092,[13 10] ; [13 17],[11.28301887 11.71698113] ; [14.71698113 15.28301887],0
s7,1,0.423169,0.641498,[ 3 18] ; [ 7 23],[ 4.11764706 16.88235294] ; [ 5.88235294 24.11764706],0
n2,1,0.428539,0.626781,[5 4] ; [5 8],[4.09090909 4.90909091] ; [5.90909091 7.09090909],0
s6,1,0.452929,0.563312,[ 5 18] ; [ 9 20],[ 6.19230769 16.80769231] ; [ 7.80769231 21.19230769],0
s5,1,0.469153,0.523971,[ 3 20] ; [ 6 23],[ 3.98076923 19.01923077] ; [ 5.01923077 23.98076923],0
d4,1,0.486655,0.483913,[14  9] ; [21  9],[15.18867925  7.81132075] ; [19.81132075 10.18867925],0
v1,1,0.498996,0.457071,[ 5 18] ; [ 9 21],[ 6.0754717 16.9245283] ; [ 7.9245283 22.0754717],0
p11,1,0.522829,0.408308,[12 11] ; [13 17],[10.8490566 12.1509434] ; [14.1509434 15.8490566],0
p10,1,0.523429,0.407131,[10 12] ; [11 19],[ 8.88461538 13.11538462] ; [12.11538462 17.88461538],0
p4,1,0.568991,0.324373,[ 6 17] ; [10 20],[ 6.94339623 16.05660377] ; [ 9.05660377 20.94339623],0
s4,1,0.597411,0.278919,[ 2 21] ; [ 4 26],[ 2.60377358 20.39622642] ; [ 3.39622642 26.60377358],0
a5,1,0.637365,0.222205,[13 10] ; [15 15],[12.1509434 10.8490566] ; [15.8490566 14.1509434],0
p8,1,0.653153,0.201949,[ 4 18] ; [ 7 23],[ 4.65384615 17.34615385] ; [ 6.34615385 23.65384615],0
n4,1,0.662712,0.190245,[14  9] ; [20 10],[14.75471698  8.24528302] ; [19.24528302 10.75471698],0
n1,1,0.664558,0.188034,[5 4] ; [6 7],[4.5 4.5] ; [6.5 6.5],0
v3,1,0.676896,0.17364,[ 3 20] ; [ 5 24],[ 3.53846154 19.46153846] ; [ 4.46153846 24.53846154],0
a3,1,0.694074,0.154711,[12 10] ; [18 12],[12.69230769  9.30769231] ; [17.30769231 12.69230769],0
p7,1,0.711605,0.136679,[ 8 15] ; [ 9 21],[ 7.37735849 15.62264151] ; [ 9.62264151 20.37735849],0
p1,1,0.71498,0.133353,[ 3 20] ; [ 5 25],[ 3.47169811 19.52830189] ; [ 4.52830189 25.47169811],0
a2,1,0.728904,0.12012,[ 3 20] ; [ 3 27],[ 2.60377358 20.39622642] ; [ 3.39622642 26.60377358],0
s1,1,0.781666,0.076812,[ 2 21] ; [ 2 28],[ 1.73584906 21.26415094] ; [ 2.26415094 27.73584906],0
p9,1,0.812126,0.056494,[11 11] ; [14 16],[10.57692308 11.42307692] ; [14.42307692 15.57692308],0
n5,1,0.854487,0.033634,[14  9] ; [19 11],[14.32075472  8.67924528] ; [18.67924528 11.32075472],0
b5,1,0.87532,0.024619,[11 12] ; [15 15],[11.28301887 11.71698113] ; [14.71698113 15.28301887],0
p5,1,0.912519,0.01207,[ 2 20] ; [ 3 27],[ 2.11538462 19.88461538] ; [ 2.88461538 27.11538462],0
n6,1,0.922487,0.009468,[10 13] ; [13 16],[10.17307692 12.82692308] ; [12.82692308 16.17307692],0
p2,1,0.929642,0.007796,[ 9 14] ; [11 18],[ 8.84615385 14.15384615] ; [11.15384615 17.84615385],0
a4,1,0.929642,0.007796,[ 9 14] ; [11 18],[ 8.84615385 14.15384615] ; [11.15384615 17.84615385],0
p6,1,0.987147,0.00026,[ 3 19] ; [ 4 25],[ 3.01960784 18.98039216] ; [ 3.98039216 25.01960784],0
