Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,1e-06,23.81175,[183  10] ; [4 4],[179.55721393  13.44278607] ; [7.44278607 0.55721393],1
r2,1,3e-06,22.068299,[180  13] ; [3 4],[176.595  16.405] ; [6.405 0.595],1
r1,1,0.000736,11.397015,[148  43] ; [2 6],[143.96984925  47.03015075] ; [6.03015075 1.96984925],1
v2,1,0.019536,5.452933,[101  84] ; [1 7],[97.77202073 87.22797927] ; [4.22797927 3.77202073],0
a7,1,0.020316,5.384519,[144  49] ; [3 5],[141.14925373  51.85074627] ; [5.85074627 2.14925373],0
s6,1,0.026547,4.920015,[141  51] ; [3 5],[138.24  53.76] ; [5.76 2.24],0
p10,1,0.060235,3.530898,[149  41] ; [4 4],[146.81818182  43.18181818] ; [6.18181818 1.81818182],0
v1,1,0.148562,2.086957,[94 90] ; [2 6],[92. 92.] ; [4. 4.],0
d1,1,0.16048,1.969695,[120  73] ; [3 5],[118.10447761  74.89552239] ; [4.89552239 3.10447761],0
p11,1,0.190634,1.712713,[138  55] ; [4 4],[136.34825871  56.65174129] ; [5.65174129 2.34825871],0
s2,1,0.211663,1.560017,[114  77] ; [3 5],[112.29648241  78.70351759] ; [4.70351759 3.29648241],0
b1,1,0.213786,1.545601,[ 78 115] ; [5 3],[ 79.69651741 113.30348259] ; [3.30348259 4.69651741],0
b4,1,0.237636,1.394564,[113  80] ; [3 5],[111.38308458  81.61691542] ; [4.61691542 3.38308458],0
p3,1,0.289664,1.121182,[109  84] ; [3 5],[107.54228856  85.45771144] ; [4.45771144 3.54228856],0
d2,1,0.295757,1.093228,[108  84] ; [3 5],[106.56  85.44] ; [4.44 3.56],0
n4,1,0.299758,1.075269,[150  42] ; [5 3],[148.8  43.2] ; [6.2 1.8],0
d3,1,0.30985,1.031316,[137  56] ; [7 1],[138.26865672  54.73134328] ; [5.73134328 2.26865672],0
d5,1,0.385131,0.754258,[166  27] ; [6 2],[165.15422886  27.84577114] ; [6.84577114 1.15422886],0
s4,1,0.483301,0.491405,[ 30 161] ; [2 6],[ 30.71356784 160.28643216] ; [1.28643216 6.71356784],0
n6,1,0.533631,0.387472,[161  32] ; [6 2],[160.35323383  32.64676617] ; [6.64676617 1.35323383],0
n5,1,0.541343,0.373057,[139  53] ; [5 3],[138.24  53.76] ; [5.76 2.24],0
b2,1,0.554383,0.349524,[49 80] ; [3 3],[49.68888889 79.31111111] ; [2.31111111 3.68888889],0
b3,1,0.554383,0.349524,[49 80] ; [3 3],[49.68888889 79.31111111] ; [2.31111111 3.68888889],0
a4,1,0.563215,0.334169,[100  92] ; [5 3],[100.8  91.2] ; [4.2 3.8],0
p9,1,0.574068,0.315923,[158  33] ; [6 2],[157.40703518  33.59296482] ; [6.59296482 1.40703518],0
n2,1,0.579835,0.306501,[35 16] ; [1 1],[34.64150943 16.35849057] ; [1.35849057 0.64150943],0
p1,1,0.580061,0.306136,[ 14 179] ; [1 7],[ 14.40298507 178.59701493] ; [0.59701493 7.40298507],0
v3,1,0.588328,0.292963,[ 62 119] ; [2 6],[ 61.29100529 119.70899471] ; [2.70899471 5.29100529],0
p6,1,0.609759,0.260526,[ 64 126] ; [2 6],[ 63.33333333 126.66666667] ; [2.66666667 5.33333333],0
s3,1,0.623671,0.240741,[111  78] ; [4 4],[110.32994924  78.67005076] ; [4.67005076 3.32994924],0
s8,1,0.672766,0.178384,[ 87 106] ; [3 5],[ 86.41791045 106.58208955] ; [3.58208955 4.41791045],0
p5,1,0.690601,0.158436,[ 16 173] ; [1 7],[ 16.30964467 172.69035533] ; [0.69035533 7.30964467],0
a2,1,0.693066,0.155786,[ 61 132] ; [2 6],[ 60.49253731 132.50746269] ; [2.50746269 5.49253731],0
u3,1,0.69886,0.149661,[33 19] ; [1 1],[32.74074074 19.25925926] ; [1.25925926 0.74074074],0
p2,1,0.704043,0.1443,[158  34] ; [7 1],[158.4  33.6] ; [6.6 1.4],0
n1,1,0.715289,0.133051,[19 32] ; [1 1],[19.24528302 31.75471698] ; [0.75471698 1.24528302],0
s5,1,0.770863,0.084824,[ 63 123] ; [2 5],[ 62.64248705 123.35751295] ; [2.35751295 4.64248705],0
a6,1,0.805968,0.060335,[137  56] ; [6 2],[137.30845771  55.69154229] ; [5.69154229 2.30845771],0
d4,1,0.828166,0.047113,[151  42] ; [6 2],[150.75124378  42.24875622] ; [6.24875622 1.75124378],0
b5,1,0.847107,0.037176,[127  66] ; [5 3],[126.74626866  66.25373134] ; [5.25373134 2.74626866],0
s7,1,0.863653,0.02949,[98 84] ; [4 3],[98.22222222 83.77777778] ; [3.77777778 3.22222222],0
a3,1,0.878396,0.02341,[140  53] ; [6 2],[140.18905473  52.81094527] ; [5.81094527 2.18905473],0
u2,1,0.934857,0.006681,[27 24] ; [1 1],[26.94339623 24.05660377] ; [1.05660377 0.94339623],0
u1,1,0.954238,0.003293,[ 50 143] ; [2 6],[ 49.93034826 143.06965174] ; [2.06965174 5.93034826],0
a5,1,0.954238,0.003293,[143  50] ; [6 2],[143.06965174  49.93034826] ; [5.93034826 2.06965174],0
p7,1,0.988425,0.00021,[96 95] ; [4 4],[95.9798995 95.0201005] ; [4.0201005 3.9798995],0
