Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,99.339116,[474 130] ; [ 91 126],[415.6638246 188.3361754] ; [149.3361754  67.6638246],1
d3,1,0.0,82.100371,[473 132] ; [ 98 119],[420.26155718 184.73844282] ; [150.73844282  66.26155718],1
a2,1,0.0,36.325727,[180 427] ; [ 20 197],[147.33009709 459.66990291] ; [ 52.66990291 164.33009709],1
u1,1,0.0,28.601066,[139 468] ; [ 14 203],[112.70752427 494.29247573] ; [ 40.29247573 176.70752427],1
b5,1,0.0,28.476737,[402 205] ; [ 99 118],[369.0618932 237.9381068] ; [131.9381068  85.0618932],1
d1,1,0.00029,13.131102,[382 225] ; [106 111],[359.48543689 247.51456311] ; [128.51456311  88.48543689],1
p2,1,0.003874,8.342175,[515  89] ; [164  50],[501.36430318 102.63569682] ; [177.63569682  36.36430318],0
d4,1,0.004851,7.934041,[511  94] ; [164  52],[497.41169306 107.58830694] ; [177.58830694  38.41169306],0
b1,1,0.008971,6.828544,[208 399] ; [ 96 121],[223.94174757 383.05825243] ; [ 80.05825243 136.94174757],0
u3,1,0.01115,6.441313,[112  58] ; [30 33],[103.60515021  66.39484979] ; [38.39484979 24.60515021],0
d5,1,0.013319,6.12618,[503 102] ; [163  53],[490.77953715 114.22046285] ; [175.22046285  40.77953715],0
r1,1,0.018187,5.578071,[526  77] ; [175  42],[515.49146341  87.50853659] ; [185.50853659  31.49146341],0
p4,1,0.018266,5.570483,[377 224] ; [114  99],[362.51965602 238.48034398] ; [128.48034398  84.51965602],0
v2,1,0.019968,5.414663,[342 237] ; [104 105],[327.70812183 251.29187817] ; [118.29187817  90.70812183],0
s5,1,0.025518,4.988359,[193 392] ; [ 85 119],[206.121673 378.878327] ; [ 71.878327 132.121673],0
p10,1,0.055331,3.672095,[498 100] ; [164  48],[488.73580247 109.26419753] ; [173.26419753  38.73580247],0
b2,1,0.068532,3.317845,[127 231] ; [62 78],[135.86746988 222.13253012] ; [53.13253012 86.86746988],0
b3,1,0.068532,3.317845,[127 231] ; [62 78],[135.86746988 222.13253012] ; [53.13253012 86.86746988],0
s8,1,0.072619,3.222805,[262 339] ; [109 106],[273.24877451 327.75122549] ; [ 97.75122549 117.24877451],0
r2,1,0.074845,3.173423,[596  10] ; [207   8],[592.7137637  13.2862363] ; [210.2862363   4.7137637],0
p9,1,0.100027,2.705112,[513  81] ; [174  39],[505.67286245  88.32713755] ; [181.32713755  31.67286245],0
a5,1,0.126454,2.335503,[460 147] ; [153  64],[451.56674757 155.43325243] ; [161.43325243  55.56674757],0
b4,1,0.177501,1.818423,[362 245] ; [118  99],[353.59223301 253.40776699] ; [126.40776699  90.59223301],0
s4,1,0.292262,1.109172,[ 95 501] ; [ 41 174],[ 99.94574599 496.05425401] ; [ 36.05425401 178.94574599],0
n6,1,0.330278,0.947806,[519  85] ; [178  36],[514.65525672  89.34474328] ; [182.34474328  31.65525672],0
p8,1,0.371151,0.799807,[323 272] ; [107 104],[317.43176179 277.56823821] ; [112.56823821  98.43176179],0
s7,1,0.376793,0.781139,[278 297] ; [108 100],[283.46104725 291.53895275] ; [102.53895275 105.46104725],0
a1,1,0.388881,0.74244,[ 25 582] ; [ 12 205],[ 27.25606796 579.74393204] ; [  9.74393204 207.25606796],0
u2,1,0.398601,0.712544,[101  69] ; [33 29],[98.18965517 71.81034483] ; [35.81034483 26.18965517],0
n2,1,0.452395,0.564644,[89 31] ; [46 12],[91.01123596 28.98876404] ; [43.98876404 14.01123596],0
p12,1,0.476573,0.506695,[ 52 550] ; [ 15 197],[ 49.55036855 552.44963145] ; [ 17.44963145 194.55036855],0
s1,1,0.479749,0.499433,[ 19 576] ; [  9 204],[ 20.61881188 574.38118812] ; [  7.38118812 205.61881188],0
s2,1,0.539893,0.375738,[316 284] ; [108 107],[312.14723926 287.85276074] ; [111.85276074 103.14723926],0
n1,1,0.540083,0.375386,[44 74] ; [24 33],[45.85142857 72.14857143] ; [22.14857143 34.85142857],0
p5,1,0.548808,0.359458,[ 67 534] ; [ 27 186],[ 69.4029484 531.5970516] ; [ 24.5970516 188.4029484],0
n5,1,0.557633,0.343819,[450 154] ; [163  50],[453.18482252 150.81517748] ; [159.81517748  53.18482252],0
p1,1,0.585216,0.297878,[ 55 547] ; [ 17 198],[ 53.05263158 548.94736842] ; [ 18.94736842 196.05263158],0
n3,1,0.619558,0.24649,[92 28] ; [41 15],[90.68181818 29.31818182] ; [42.31818182 13.68181818],0
a8,1,0.628338,0.234321,[ 78 463] ; [ 27 180],[ 75.94251337 465.05748663] ; [ 29.05748663 177.94251337],0
r3,1,0.650357,0.205451,[594  11] ; [211   5],[593.20950061  11.79049939] ; [211.79049939   4.20950061],0
s3,1,0.660247,0.193224,[335 261] ; [124  90],[337.73333333 258.26666667] ; [121.26666667  92.73333333],0
v3,1,0.672094,0.179163,[234 346] ; [ 87 120],[236.56925032 343.43074968] ; [ 84.43074968 122.56925032],0
