Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.000415,12.46542,[11 10] ; [18 88],[ 4.79527559 16.20472441] ; [24.20472441 81.79527559],1
s6,1,0.000884,11.055561,[15  6] ; [35 72],[ 8.203125 12.796875] ; [41.796875 65.203125],1
s7,1,0.001152,10.565014,[11 10] ; [19 82],[ 5.16393443 15.83606557] ; [24.83606557 76.16393443],0
s2,1,0.001351,10.27205,[12  9] ; [24 82],[ 5.95275591 15.04724409] ; [30.04724409 75.95275591],0
s3,1,0.002522,9.124758,[15  6] ; [38 68],[ 8.76377953 12.23622047] ; [44.23622047 61.76377953],0
u3,1,0.006854,7.310804,[8 1] ; [20 30],[4.27118644 4.72881356] ; [23.72881356 26.27118644],0
p2,1,0.012567,6.22906,[17  4] ; [55 52],[11.8125  9.1875] ; [60.1875 46.8125],0
a4,1,0.029788,4.721508,[ 3 18] ; [41 64],[ 7.33333333 13.66666667] ; [36.66666667 68.33333333],0
p4,1,0.041989,4.135648,[12  9] ; [36 71],[ 7.875 13.125] ; [40.125 66.875],0
u2,1,0.053983,3.713228,[7 2] ; [21 28],[4.34482759 4.65517241] ; [23.65517241 25.34482759],0
r4,1,0.056084,3.649548,[17  4] ; [63 44],[13.125  7.875] ; [66.875 40.125],0
r2,1,0.059758,3.544088,[20  1] ; [82 24],[16.86614173  4.13385827] ; [85.13385827 20.86614173],0
p8,1,0.06594,3.381305,[10 11] ; [29 77],[ 6.4488189 14.5511811] ; [32.5511811 73.4488189],0
d5,1,0.066593,3.365069,[18  3] ; [70 37],[14.4375  6.5625] ; [73.5625 33.4375],0
p11,1,0.094779,2.791277,[14  7] ; [50 57],[10.5 10.5] ; [53.5 53.5],0
s5,1,0.10266,2.663727,[ 6 14] ; [16 91],[ 3.46456693 16.53543307] ; [18.53543307 88.46456693],0
a6,1,0.167007,1.909605,[15  6] ; [59 48],[12.140625  8.859375] ; [61.859375 45.140625],0
d4,1,0.17886,1.807072,[17  4] ; [70 36],[14.38582677  6.61417323] ; [72.61417323 33.38582677],0
p6,1,0.187676,1.735767,[ 7 14] ; [21 83],[ 4.704 16.296] ; [23.296 80.704],0
n2,1,0.190583,1.713103,[6 2] ; [23 23],[4.2962963 3.7037037] ; [24.7037037 21.2962963],0
n6,1,0.235815,1.405438,[15  6] ; [61 45],[12.56692913  8.43307087] ; [63.43307087 42.56692913],0
n5,1,0.258778,1.275283,[14  7] ; [57 50],[11.6484375  9.3515625] ; [59.3515625 47.6484375],0
p7,1,0.266574,1.234294,[12  9] ; [47 60],[ 9.6796875 11.3203125] ; [49.3203125 57.6796875],0
d1,1,0.266574,1.234294,[12  9] ; [47 60],[ 9.6796875 11.3203125] ; [49.3203125 57.6796875],0
b1,1,0.292593,1.10765,[14  7] ; [58 49],[11.8125  9.1875] ; [60.1875 46.8125],0
u1,1,0.321047,0.984678,[ 4 17] ; [12 95],[ 2.625 18.375] ; [13.375 93.625],0
v2,1,0.35403,0.85896,[ 8 12] ; [31 74],[ 6.24 13.76] ; [32.76 72.24],0
b4,1,0.368864,0.807487,[14  7] ; [60 47],[12.140625  8.859375] ; [61.859375 45.140625],0
d3,1,0.421252,0.646819,[13  8] ; [56 51],[11.3203125  9.6796875] ; [57.6796875 49.3203125],0
p1,1,0.421553,0.645981,[ 1 20] ; [11 95],[ 1.98425197 19.01574803] ; [10.01574803 95.98425197],0
p3,1,0.472724,0.515601,[ 7 14] ; [27 78],[ 5.66666667 15.33333333] ; [28.33333333 76.66666667],0
a7,1,0.505081,0.444245,[14  7] ; [63 44],[12.6328125  8.3671875] ; [64.3671875 42.6328125],0
s1,1,0.562188,0.33593,[ 1 20] ; [ 9 97],[ 1.65354331 19.34645669] ; [ 8.34645669 97.65354331],0
n4,1,0.581467,0.30387,[11 10] ; [63 44],[12.140625  8.859375] ; [61.859375 45.140625],0
n3,1,0.631263,0.230352,[5 3] ; [24 21],[4.37735849 3.62264151] ; [24.62264151 20.37735849],0
n1,1,0.648676,0.207574,[3 4] ; [16 31],[2.46296296 4.53703704] ; [16.53703704 30.46296296],0
s4,1,0.744281,0.106399,[ 4 16] ; [18 88],[ 3.49206349 16.50793651] ; [18.50793651 87.49206349],0
a3,1,0.777039,0.080191,[12  9] ; [57 49],[11.40944882  9.59055118] ; [57.59055118 48.40944882],0
a5,1,0.816354,0.053934,[11 10] ; [59 48],[11.484375  9.515625] ; [58.515625 48.484375],0
r1,1,0.848242,0.036619,[14  7] ; [69 38],[13.6171875  7.3828125] ; [69.3828125 37.6171875],0
a2,1,0.853327,0.034179,[ 3 18] ; [17 90],[ 3.28125 17.71875] ; [16.71875 90.28125],0
b2,1,0.884247,0.021196,[4 9] ; [22 45],[4.225 8.775] ; [21.775 45.225],0
b3,1,0.884247,0.021196,[4 9] ; [22 45],[4.225 8.775] ; [21.775 45.225],0
v1,1,0.8904,0.018988,[ 5 16] ; [27 80],[ 5.25 15.75] ; [26.75 80.25],0
d2,1,0.904164,0.014497,[10 11] ; [52 54],[10.2519685 10.7480315] ; [51.7480315 54.2519685],0
b5,1,0.93458,0.006738,[11 10] ; [55 52],[10.828125 10.171875] ; [55.171875 51.828125],0
