Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,24.430992,[86 14] ; [3 9],[79.46428571 20.53571429] ; [9.53571429 2.46428571],1
v4,1,0.000107,15.007559,[92  6] ; [7 5],[88.2  9.8] ; [10.8  1.2],1
r2,1,0.000202,13.810825,[89 10] ; [6 6],[84.72972973 14.27027027] ; [10.27027027  1.72972973],1
v2,1,0.004208,8.19195,[50 46] ; [ 1 11],[45.33333333 50.66666667] ; [5.66666667 6.33333333],0
p9,1,0.005417,7.734845,[76 24] ; [4 7],[72.07207207 27.92792793] ; [7.92792793 3.07207207],0
p10,1,0.005542,7.69337,[72 27] ; [4 8],[67.78378378 31.21621622] ; [8.21621622 3.78378378],0
r1,1,0.032185,4.588606,[72 28] ; [5 7],[68.75 31.25] ; [8.25 3.75],0
s8,1,0.033454,4.522411,[42 58] ; [ 1 10],[38.73873874 61.26126126] ; [4.26126126 6.73873874],0
p6,1,0.03385,4.502268,[48 50] ; [ 2 10],[44.54545455 53.45454545] ; [5.45454545 6.54545455],0
p11,1,0.034294,4.48,[78 22] ; [6 6],[75. 25.] ; [9. 3.],0
b1,1,0.057591,3.605435,[46 54] ; [9 3],[49.10714286 50.89285714] ; [5.89285714 6.10714286],0
n1,1,0.059894,3.540305,[ 5 15] ; [4 2],[ 6.92307692 13.07692308] ; [2.07692308 3.92307692],0
s7,1,0.065988,3.380096,[48 47] ; [2 8],[45.23809524 49.76190476] ; [4.76190476 5.23809524],0
a6,1,0.066496,3.367454,[61 39] ; [4 8],[58.03571429 41.96428571] ; [6.96428571 5.03571429],0
n6,1,0.070579,3.269495,[81 19] ; [7 5],[78.57142857 21.42857143] ; [9.42857143 2.57142857],0
s6,1,0.13949,2.183572,[59 40] ; [4 7],[56.7 42.3] ; [6.3 4.7],0
v3,1,0.2167,1.526094,[34 65] ; [ 2 10],[32.10810811 66.89189189] ; [3.89189189 8.10810811],0
n5,1,0.242794,1.364299,[67 33] ; [6 6],[65.17857143 34.82142857] ; [7.82142857 4.17857143],0
s3,1,0.286961,1.133824,[62 38] ; [5 6],[60.36036036 39.63963964] ; [6.63963964 4.36036036],0
s2,1,0.33574,0.926632,[48 52] ; [4 8],[46.42857143 53.57142857] ; [5.57142857 6.42857143],0
a7,1,0.343857,0.896,[64 36] ; [6 6],[62.5 37.5] ; [7.5 4.5],0
d2,1,0.402198,0.701745,[28 72] ; [ 2 10],[26.78571429 73.21428571] ; [3.21428571 8.78571429],0
p8,1,0.419787,0.65091,[63 37] ; [5 5],[61.81818182 38.18181818] ; [6.18181818 3.81818182],0
a3,1,0.42453,0.63774,[54 45] ; [8 4],[55.2972973 43.7027027] ; [6.7027027 5.2972973],0
a5,1,0.457836,0.551179,[47 53] ; [7 5],[48.21428571 51.78571429] ; [5.78571429 6.21428571],0
n4,1,0.462689,0.539383,[61 39] ; [6 6],[59.82142857 40.17857143] ; [7.17857143 4.82142857],0
d4,1,0.477247,0.505146,[52 47] ; [5 7],[50.83783784 48.16216216] ; [6.16216216 5.83783784],0
p5,1,0.491905,0.472356,[17 82] ; [ 1 10],[16.2 82.8] ; [1.8 9.2],0
a1,1,0.492194,0.471726,[ 4 96] ; [ 1 11],[ 4.46428571 95.53571429] ; [ 0.53571429 11.46428571],0
s1,1,0.49831,0.458533,[ 4 95] ; [ 1 11],[ 4.45945946 94.54054054] ; [ 0.54054054 11.45945946],0
b4,1,0.585319,0.297714,[50 50] ; [7 5],[50.89285714 49.10714286] ; [6.10714286 5.89285714],0
p1,1,0.586013,0.296614,[14 86] ; [ 1 11],[13.39285714 86.60714286] ; [ 1.60714286 10.39285714],0
p4,1,0.60874,0.262014,[59 41] ; [8 4],[59.82142857 40.17857143] ; [7.17857143 4.82142857],0
b2,1,0.635188,0.225091,[21 42] ; [2 6],[20.4084507 42.5915493] ; [2.5915493 5.4084507],0
b3,1,0.635188,0.225091,[21 42] ; [2 6],[20.4084507 42.5915493] ; [2.5915493 5.4084507],0
s5,1,0.688835,0.16035,[30 68] ; [3 9],[29.4 68.6] ; [3.6 8.4],0
a4,1,0.69855,0.149984,[20 79] ; [3 9],[20.51351351 78.48648649] ; [2.48648649 9.51351351],0
v1,1,0.729584,0.119494,[46 52] ; [5 7],[45.43636364 52.56363636] ; [5.56363636 6.43636364],0
n2,1,0.876697,0.024074,[14  6] ; [4 2],[13.84615385  6.15384615] ; [4.15384615 1.84615385],0
s4,1,0.879154,0.023117,[15 85] ; [ 2 10],[15.17857143 84.82142857] ; [ 1.82142857 10.17857143],0
p3,1,0.895764,0.017165,[52 48] ; [6 6],[51.78571429 48.21428571] ; [6.21428571 5.78571429],0
u2,1,0.930581,0.007589,[23 21] ; [2 2],[22.91666667 21.08333333] ; [2.08333333 1.91666667],0
p2,1,0.976808,0.000845,[83 17] ; [10  2],[83.03571429 16.96428571] ; [9.96428571 2.03571429],0
b5,1,0.982361,0.000489,[58 42] ; [7 5],[58.03571429 41.96428571] ; [6.96428571 5.03571429],0
d3,1,0.982361,0.000489,[42 58] ; [5 7],[41.96428571 58.03571429] ; [5.03571429 6.96428571],0
