Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2e-06,22.676693,[199  60] ; [31 35],[183.29230769  75.70769231] ; [46.70769231 19.29230769],1
p10,1,8e-06,19.969687,[212  44] ; [37 28],[198.57943925  57.42056075] ; [50.42056075 14.57943925],1
n4,1,0.000168,14.159757,[196  63] ; [35 32],[183.52453988  75.47546012] ; [47.47546012 19.52453988],1
b1,1,0.000875,11.075697,[ 90 171] ; [38 29],[101.85365854 159.14634146] ; [26.14634146 40.85365854],1
p9,1,0.000974,10.87586,[223  35] ; [45 20],[214.06811146  43.93188854] ; [53.93188854 11.06811146],1
r3,1,0.003518,8.517045,[245  15] ; [55 11],[239.26380368  20.73619632] ; [60.73619632  5.26380368],0
r2,1,0.004195,8.197404,[238  20] ; [53 13],[231.72222222  26.27777778] ; [59.27777778  6.72222222],0
r4,1,0.004417,8.103844,[225  36] ; [48 19],[217.2347561  43.7652439] ; [55.7652439 11.2347561],0
s6,1,0.009007,6.821396,[165  88] ; [32 35],[155.753125  97.246875] ; [41.246875 25.753125],0
b2,1,0.012117,6.293628,[54 96] ; [ 4 27],[ 48.06629834 101.93370166] ; [ 9.93370166 21.06629834],0
b3,1,0.012117,6.293628,[54 96] ; [ 4 27],[ 48.06629834 101.93370166] ; [ 9.93370166 21.06629834],0
p4,1,0.014982,5.918547,[148 112] ; [27 40],[139.14373089 120.85626911] ; [35.85626911 31.14373089],0
p11,1,0.019604,5.4468,[210  51] ; [45 22],[202.91158537  58.08841463] ; [52.08841463 14.91158537],0
s8,1,0.039323,4.246859,[ 97 163] ; [16 51],[ 89.8470948 170.1529052] ; [23.1529052 43.8470948],0
v2,1,0.039356,4.245455,[124 127] ; [22 41],[116.70700637 134.29299363] ; [29.29299363 33.70700637],0
v3,1,0.045156,4.01281,[ 86 173] ; [13 51],[ 79.38390093 179.61609907] ; [19.61609907 44.38390093],0
s5,1,0.0651,3.402446,[ 76 178] ; [12 53],[ 70.06896552 183.93103448] ; [17.93103448 47.06896552],0
p5,1,0.0701,3.280669,[ 32 229] ; [ 3 63],[ 27.93577982 233.06422018] ; [ 7.06422018 58.93577982],0
s4,1,0.072947,3.215428,[ 38 220] ; [16 51],[ 42.86769231 215.13230769] ; [11.13230769 55.86769231],0
s2,1,0.077296,3.120859,[112 147] ; [21 46],[105.66564417 153.33435583] ; [27.33435583 39.66564417],0
p8,1,0.084977,2.967043,[138 120] ; [27 38],[131.79566563 126.20433437] ; [33.20433437 31.79566563],0
p1,1,0.097351,2.748413,[ 16 244] ; [ 8 58],[ 19.14110429 240.85889571] ; [ 4.85889571 61.14110429],0
p7,1,0.100262,2.701375,[175  82] ; [36 27],[169.459375  87.540625] ; [41.540625 21.459375],0
s7,1,0.108546,2.575261,[117 133] ; [22 40],[111.37820513 138.62179487] ; [27.62179487 34.37820513],0
p3,1,0.108554,2.575141,[122 139] ; [24 43],[116.17682927 144.82317073] ; [29.82317073 37.17682927],0
v4,1,0.114243,2.494518,[246  14] ; [58  7],[243.2  16.8] ; [60.8  4.2],0
u3,1,0.11797,2.444073,[50 56] ; [19 11],[53.77941176 52.22058824] ; [15.22058824 14.77941176],0
a5,1,0.12322,2.375905,[152 109] ; [32 35],[146.41463415 114.58536585] ; [37.58536585 29.41463415],0
a6,1,0.134474,2.240081,[149 112] ; [45 22],[154.37195122 106.62804878] ; [39.62804878 27.37195122],0
p12,1,0.157081,2.002107,[ 15 244] ; [ 1 64],[ 12.79012346 246.20987654] ; [ 3.20987654 61.79012346],0
r1,1,0.223025,1.484799,[186  73] ; [43 24],[181.93558282  77.06441718] ; [47.06441718 19.93558282],0
p6,1,0.22667,1.461636,[ 89 169] ; [17 47],[ 84.93167702 173.06832298] ; [21.06832298 42.93167702],0
b4,1,0.245478,1.348856,[153 108] ; [34 33],[148.80182927 112.19817073] ; [38.19817073 28.80182927],0
u2,1,0.250266,1.321817,[51 55] ; [18 12],[53.77941176 52.22058824] ; [15.22058824 14.77941176],0
b5,1,0.346986,0.884448,[147 114] ; [42 25],[150.39329268 110.60670732] ; [38.60670732 28.39329268],0
n1,1,0.432265,0.616731,[25 38] ; [ 7 16],[23.44186047 39.55813953] ; [ 8.55813953 14.44186047],0
a3,1,0.449717,0.571366,[153 107] ; [36 31],[150.27522936 109.72477064] ; [38.72477064 28.27522936],0
a7,1,0.450338,0.569802,[175  84] ; [42 25],[172.40184049  86.59815951] ; [44.59815951 22.40184049],0
s3,1,0.451794,0.566147,[136 121] ; [32 35],[133.25925926 123.74074074] ; [34.74074074 32.25925926],0
a2,1,0.470597,0.520573,[ 18 243] ; [ 3 64],[ 16.71036585 244.28963415] ; [ 4.28963415 62.71036585],0
a8,1,0.498601,0.457912,[ 35 208] ; [ 7 56],[ 33.35294118 209.64705882] ; [ 8.64705882 54.35294118],0
v1,1,0.639004,0.220047,[126 129] ; [30 35],[124.3125 130.6875] ; [31.6875 33.3125],0
u1,1,0.645415,0.21173,[ 11 250] ; [ 2 65],[ 10.3445122 250.6554878] ; [ 2.6554878 64.3445122],0
s1,1,0.680643,0.169402,[  6 250] ; [ 1 65],[  5.56521739 250.43478261] ; [ 1.43478261 64.56521739],0
d2,1,0.684189,0.165449,[ 34 227] ; [10 57],[ 35.01219512 225.98780488] ; [ 8.98780488 58.01219512],0
d3,1,0.727914,0.121036,[112 148] ; [30 36],[113.25153374 146.74846626] ; [28.74846626 37.25153374],0
n2,1,0.827739,0.047351,[48 15] ; [17  6],[47.61627907 15.38372093] ; [17.38372093  5.61627907],0
a1,1,0.850985,0.035292,[  9 252] ; [ 2 65],[  8.75304878 252.24695122] ; [ 2.24695122 64.75304878],0
d4,1,0.861094,0.030619,[155 106] ; [39 28],[154.37195122 106.62804878] ; [39.62804878 27.37195122],0
d5,1,0.879464,0.022997,[154 106] ; [39 28],[153.45565749 106.54434251] ; [39.54434251 27.45565749],0
a4,1,0.900716,0.015564,[ 64 196] ; [16 51],[ 63.60856269 196.39143731] ; [16.39143731 50.60856269],0
n3,1,0.948234,0.004215,[47 16] ; [17  6],[46.88372093 16.11627907] ; [17.11627907  5.88372093],0
