Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1e-06,24.585873,[25 28] ; [219  56],[39.42682927 13.57317073] ; [204.57317073  70.42682927],1
n5,1,1e-06,23.719755,[23 28] ; [214  60],[37.19076923 13.80923077] ; [199.80923077  74.19076923],1
r4,1,9.1e-05,15.313318,[37 16] ; [247  28],[45.8902439  7.1097561] ; [238.1097561  36.8902439],1
r3,1,0.010473,6.552653,[47  6] ; [265   9],[50.56880734  2.43119266] ; [261.43119266  12.56880734],0
b1,1,0.017786,5.61707,[27 26] ; [ 93 182],[19.3902439 33.6097561] ; [100.6097561 174.3902439],0
r1,1,0.02006,5.406707,[33 19] ; [215  59],[39.55828221 12.44171779] ; [208.44171779  65.55828221],0
s6,1,0.020557,5.363995,[28 25] ; [189  84],[35.2791411 17.7208589] ; [181.7208589  91.2791411],0
u1,1,0.038361,4.288946,[ 5 48] ; [ 60 215],[10.50304878 42.49695122] ; [ 54.49695122 220.50304878],0
p11,1,0.041995,4.135393,[35 18] ; [217  58],[40.7195122 12.2804878] ; [211.2804878  63.7195122],0
a2,1,0.0496,3.85494,[ 8 45] ; [ 77 198],[13.7347561 39.2652439] ; [ 71.2652439 203.7347561],0
b2,1,0.051772,3.783135,[ 6 21] ; [70 97],[10.57731959 16.42268041] ; [ 65.42268041 101.57731959],0
b3,1,0.051772,3.783135,[ 6 21] ; [70 97],[10.57731959 16.42268041] ; [ 65.42268041 101.57731959],0
d2,1,0.055919,3.654459,[19 34] ; [137 136],[25.36196319 27.63803681] ; [130.63803681 142.36196319],0
d5,1,0.059654,3.54699,[39 14] ; [231  43],[43.76146789  9.23853211] ; [226.23853211  47.76146789],0
a4,1,0.06033,3.528298,[18 35] ; [132 143],[24.23780488 28.76219512] ; [125.76219512 149.23780488],0
v3,1,0.072556,3.22423,[12 37] ; [100 164],[17.53354633 31.46645367] ; [ 94.46645367 169.53354633],0
p9,1,0.074954,3.171054,[46  7] ; [256  17],[49.09815951  3.90184049] ; [252.90184049  20.09815951],0
r2,1,0.077912,3.107923,[46  6] ; [259  14],[48.8  3.2] ; [256.2  16.8],0
p3,1,0.081142,3.041872,[14 39] ; [107 167],[19.6116208 33.3883792] ; [101.3883792 172.6116208],0
s7,1,0.088587,2.899861,[19 33] ; [131 134],[24.60567823 27.39432177] ; [125.39432177 139.60567823],0
s5,1,0.095687,2.776,[10 39] ; [ 86 180],[14.93333333 34.06666667] ; [ 81.06666667 184.93333333],0
p6,1,0.10423,2.639601,[ 8 43] ; [ 72 201],[12.59259259 38.40740741] ; [ 67.40740741 205.59259259],0
u2,1,0.117471,2.450726,[13  4] ; [39 31],[10.16091954  6.83908046] ; [41.83908046 28.16091954],0
a5,1,0.12413,2.364424,[33 20] ; [200  75],[37.64939024 15.35060976] ; [195.35060976  79.64939024],0
p12,1,0.161779,1.957522,[ 1 52] ; [ 19 256],[ 3.23170732 49.76829268] ; [ 16.76829268 258.23170732],0
p2,1,0.165417,1.923996,[36 16] ; [214  60],[39.87730061 12.12269939] ; [210.12269939  63.87730061],0
n2,1,0.219754,1.505979,[17  3] ; [50 20],[14.88888889  5.11111111] ; [52.11111111 17.88888889],0
n1,1,0.273433,1.199442,[ 5 14] ; [28 42],[ 7.04494382 11.95505618] ; [25.95505618 44.04494382],0
s8,1,0.293495,1.10352,[19 34] ; [120 155],[22.46036585 30.53963415] ; [116.53963415 158.46036585],0
d4,1,0.295661,1.093664,[46  7] ; [222  53],[43.30487805  9.69512195] ; [224.69512195  50.30487805],0
a7,1,0.302657,1.06245,[35 18] ; [200  74],[38.08868502 14.91131498] ; [196.91131498  77.08868502],0
v2,1,0.30753,1.041254,[24 25] ; [149 113],[27.25723473 21.74276527] ; [145.74276527 116.25723473],0
u3,1,0.310547,1.02835,[12  5] ; [40 30],[10.16091954  6.83908046] ; [41.83908046 28.16091954],0
p4,1,0.312838,1.018654,[21 31] ; [132 143],[24.33027523 27.66972477] ; [128.66972477 146.33027523],0
d1,1,0.329727,0.949969,[27 26] ; [160 115],[30.21646341 22.78353659] ; [156.78353659 118.21646341],0
a3,1,0.346493,0.88626,[36 17] ; [204  71],[38.7804878 14.2195122] ; [201.2195122  73.7804878],0
b5,1,0.359267,0.840454,[31 22] ; [179  96],[33.93292683 19.06707317] ; [176.06707317  98.93292683],0
a1,1,0.396566,0.718713,[ 3 50] ; [  9 266],[ 1.93902439 51.06097561] ; [ 10.06097561 264.93902439],0
n3,1,0.424122,0.638864,[14  6] ; [55 15],[15.33333333  4.66666667] ; [53.66666667 16.33333333],0
a6,1,0.476058,0.50788,[36 17] ; [200  75],[38.13414634 14.86585366] ; [197.86585366  77.13414634],0
