Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.008151,7.0,[6 1] ; [ 6 15],[3. 4.] ; [ 9. 12.],0
s6,1,0.035987,4.397744,[5 2] ; [ 6 16],[2.65517241 4.34482759] ; [ 8.34482759 13.65517241],0
d3,1,0.035987,4.397744,[5 2] ; [ 6 16],[2.65517241 4.34482759] ; [ 8.34482759 13.65517241],0
n4,1,0.038807,4.269295,[1 6] ; [13  9],[3.37931034 3.62068966] ; [10.62068966 11.37931034],0
s2,1,0.044559,4.03525,[4 3] ; [ 4 18],[1.93103448 5.06896552] ; [ 6.06896552 15.93103448],0
a5,1,0.044559,4.03525,[4 3] ; [ 4 18],[1.93103448 5.06896552] ; [ 6.06896552 15.93103448],0
d1,1,0.044559,4.03525,[4 3] ; [ 4 18],[1.93103448 5.06896552] ; [ 6.06896552 15.93103448],0
n5,1,0.094714,2.792367,[1 6] ; [11 11],[2.89655172 4.10344828] ; [ 9.10344828 12.89655172],0
a6,1,0.104205,2.639985,[5 2] ; [ 8 14],[3.13793103 3.86206897] ; [ 9.86206897 12.13793103],0
p11,1,0.147569,2.097198,[4 3] ; [ 6 16],[2.4137931 4.5862069] ; [ 7.5862069 14.4137931],0
v2,1,0.147569,2.097198,[4 3] ; [ 6 16],[2.4137931 4.5862069] ; [ 7.5862069 14.4137931],0
a4,1,0.183912,1.765728,[3 4] ; [ 4 18],[1.68965517 5.31034483] ; [ 5.31034483 16.68965517],0
v3,1,0.192969,1.694805,[2 5] ; [ 2 20],[0.96551724 6.03448276] ; [ 3.03448276 18.96551724],0
r1,1,0.196787,1.666063,[1 6] ; [ 9 13],[2.4137931 4.5862069] ; [ 7.5862069 14.4137931],0
b4,1,0.229078,1.446576,[3 4] ; [15  7],[4.34482759 2.65517241] ; [13.65517241  8.34482759],0
d5,1,0.23099,1.434756,[5 2] ; [10 12],[3.62068966 3.37931034] ; [11.37931034 10.62068966],0
n2,1,0.236724,1.4,[3 1] ; [4 6],[2. 2.] ; [5. 5.],0
s7,1,0.25798,1.279563,[2 5] ; [ 2 17],[1.07692308 5.92307692] ; [ 2.92307692 16.07692308],0
p4,1,0.437589,0.602597,[3 4] ; [ 6 16],[2.17241379 4.82758621] ; [ 6.82758621 15.17241379],0
d2,1,0.437589,0.602597,[3 4] ; [ 6 16],[2.17241379 4.82758621] ; [ 6.82758621 15.17241379],0
n3,1,0.480478,0.497778,[2 2] ; [7 3],[2.57142857 1.42857143] ; [6.42857143 3.57142857],0
s3,1,0.48338,0.491228,[3 4] ; [ 6 15],[2.25 4.75] ; [ 6.75 14.25],0
r3,1,0.589876,0.290538,[4 3] ; [10 12],[3.37931034 3.62068966] ; [10.62068966 11.37931034],0
b5,1,0.589876,0.290538,[3 4] ; [12 10],[3.62068966 3.37931034] ; [11.37931034 10.62068966],0
p8,1,0.594853,0.282828,[2 5] ; [ 4 17],[1.5 5.5] ; [ 4.5 16.5],0
p3,1,0.594853,0.282828,[2 4] ; [ 5 17],[1.5 4.5] ; [ 5.5 16.5],0
s4,1,0.631069,0.230614,[1 6] ; [ 5 17],[1.44827586 5.55172414] ; [ 4.55172414 17.44827586],0
a2,1,0.69426,0.154512,[1 6] ; [ 2 20],[0.72413793 6.27586207] ; [ 2.27586207 19.72413793],0
p1,1,0.69426,0.154512,[1 6] ; [ 2 20],[0.72413793 6.27586207] ; [ 2.27586207 19.72413793],0
s1,1,0.69426,0.154512,[1 6] ; [ 2 20],[0.72413793 6.27586207] ; [ 2.27586207 19.72413793],0
s5,1,0.69426,0.154512,[1 6] ; [ 2 20],[0.72413793 6.27586207] ; [ 2.27586207 19.72413793],0
v4,1,0.741854,0.108503,[3 4] ; [11 11],[3.37931034 3.62068966] ; [10.62068966 11.37931034],0
p7,1,0.757782,0.095107,[3 4] ; [ 8 14],[2.65517241 4.34482759] ; [ 8.34482759 13.65517241],0
b1,1,0.757782,0.095107,[4 3] ; [14  8],[4.34482759 2.65517241] ; [13.65517241  8.34482759],0
n1,1,0.851596,0.035,[1 3] ; [3 7],[1.14285714 2.85714286] ; [2.85714286 7.14285714],0
p6,1,0.89466,0.017532,[1 5] ; [ 4 17],[1.11111111 4.88888889] ; [ 3.88888889 17.11111111],0
n6,1,0.904201,0.014486,[3 4] ; [10 12],[3.13793103 3.86206897] ; [ 9.86206897 12.13793103],0
p2,1,0.904201,0.014486,[3 4] ; [10 12],[3.13793103 3.86206897] ; [ 9.86206897 12.13793103],0
a7,1,0.904201,0.014486,[3 4] ; [10 12],[3.13793103 3.86206897] ; [ 9.86206897 12.13793103],0
p10,1,0.965387,0.001883,[1 6] ; [ 3 19],[0.96551724 6.03448276] ; [ 3.03448276 18.96551724],0
b3,1,1.0,0.0,[1 4] ; [ 3 12],[1. 4.] ; [ 3. 12.],0
b2,1,1.0,0.0,[1 4] ; [ 3 12],[1. 4.] ; [ 3. 12.],0
