Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,68.11126,[184  56] ; [35 78],[148.89518414  91.10481586] ; [70.10481586 42.89518414],1
a6,1,0.0,32.741553,[179  61] ; [49 64],[155.01416431  84.98583569] ; [72.98583569 40.01416431],1
d5,1,0.0,26.275516,[199  41] ; [65 48],[179.49008499  60.50991501] ; [84.50991501 28.49008499],1
r4,1,8e-06,19.952129,[202  38] ; [71 42],[185.60906516  54.39093484] ; [87.39093484 25.60906516],1
d4,1,2.7e-05,17.591861,[201  39] ; [72 41],[185.60906516  54.39093484] ; [87.39093484 25.60906516],1
r3,1,7.8e-05,15.605,[220  19] ; [87 26],[208.44602273  30.55397727] ; [98.55397727 14.44602273],1
u1,1,0.000115,14.868367,[ 45 195] ; [  4 109],[ 33.31444759 206.68555241] ; [15.68555241 97.31444759],1
a2,1,0.000125,14.718839,[ 61 179] ; [  9 104],[ 47.59206799 192.40793201] ; [22.40793201 90.59206799],1
d1,1,0.000153,14.333164,[141  99] ; [42 71],[124.41926346 115.58073654] ; [58.58073654 54.41926346],1
r1,1,0.000507,12.089335,[181  58] ; [65 48],[167.02840909  71.97159091] ; [78.97159091 34.02840909],1
v2,1,0.001128,10.604932,[122 108] ; [36 70],[108.1547619 121.8452381] ; [49.8452381 56.1547619],0
u3,1,0.001528,10.044643,[55 29] ; [15 27],[46.66666667 37.33333333] ; [23.33333333 18.66666667],0
p2,1,0.00256,9.096995,[167  73] ; [60 53],[154.33427762  85.66572238] ; [72.66572238 40.33427762],0
v4,1,0.005438,7.72784,[215  25] ; [88 24],[206.59090909  33.40909091] ; [96.40909091 15.59090909],0
b5,1,0.009036,6.815665,[160  80] ; [59 54],[148.89518414  91.10481586] ; [70.10481586 42.89518414],0
b1,1,0.011289,6.419253,[ 79 161] ; [53 60],[ 89.74504249 150.25495751] ; [42.25495751 70.74504249],0
p10,1,0.015169,5.896731,[162  75] ; [61 50],[151.87068966  85.12931034] ; [71.12931034 39.87068966],0
a5,1,0.031592,4.620482,[168  72] ; [66 47],[159.09348442  80.90651558] ; [74.90651558 38.09348442],0
p4,1,0.043496,4.076013,[ 99 141] ; [34 79],[ 90.42492918 149.57507082] ; [42.57507082 70.42492918],0
r2,1,0.054479,3.697962,[218  20] ; [95 17],[212.84  25.16] ; [100.16  11.84],0
v3,1,0.078435,3.097034,[ 77 154] ; [25 80],[ 70.125 160.875] ; [31.875 73.125],0
b2,1,0.089248,2.887887,[41 83] ; [33 40],[46.5786802 77.4213198] ; [27.4213198 45.5786802],0
b3,1,0.089248,2.887887,[41 83] ; [33 40],[46.5786802 77.4213198] ; [27.4213198 45.5786802],0
b4,1,0.0944,2.797698,[154  86] ; [62 51],[146.85552408  93.14447592] ; [69.14447592 43.85552408],0
u2,1,0.114435,2.491873,[46 37] ; [17 25],[41.832 41.168] ; [21.168 20.832],0
s2,1,0.143964,2.135072,[102 133] ; [39 72],[ 95.76589595 139.23410405] ; [45.23410405 65.76589595],0
p9,1,0.156295,2.009713,[172  62] ; [72 37],[166.4606414  67.5393586] ; [77.5393586 31.4606414],0
n6,1,0.159434,1.979582,[184  56] ; [78 34],[178.63636364  61.36363636] ; [83.36363636 28.63636364],0
s6,1,0.19274,1.696546,[133 104] ; [54 57],[127.35344828 109.64655172] ; [59.64655172 51.35344828],0
s1,1,0.216441,1.527814,[  8 229] ; [  7 105],[ 10.18624642 226.81375358] ; [  4.81375358 107.18624642],0
s3,1,0.227249,1.458,[112 124] ; [45 66],[106.77809798 129.22190202] ; [50.22190202 60.77809798],0
n3,1,0.282955,1.152844,[49 24] ; [27 20],[46.23333333 26.76666667] ; [29.76666667 17.23333333],0
p8,1,0.295533,1.094243,[ 56 182] ; [21 92],[ 52.21082621 185.78917379] ; [24.78917379 88.21082621],0
p6,1,0.318824,0.993767,[ 37 200] ; [13 99],[ 33.95415473 203.04584527] ; [16.04584527 95.95415473],0
d2,1,0.319251,0.992012,[117 122] ; [48 63],[112.67142857 126.32857143] ; [52.32857143 58.67142857],0
a1,1,0.406395,0.689322,[ 10 230] ; [  7 106],[ 11.55807365 228.44192635] ; [  5.44192635 107.55807365],0
n5,1,0.447714,0.576433,[153  86] ; [77 36],[156.16477273  82.83522727] ; [73.83522727 39.16477273],0
v1,1,0.449195,0.572682,[ 99 134] ; [42 68],[ 95.78134111 137.21865889] ; [45.21865889 64.78134111],0
p11,1,0.476281,0.507366,[158  82] ; [70 43],[155.01416431  84.98583569] ; [72.98583569 40.01416431],0
n4,1,0.524226,0.405571,[164  76] ; [81 32],[166.57223796  73.42776204] ; [78.42776204 34.57223796],0
s4,1,0.565003,0.331116,[ 42 196] ; [17 95],[ 40.12 197.88] ; [18.88 93.12],0
a3,1,0.619134,0.247087,[156  82] ; [71 42],[153.92022792  84.07977208] ; [73.07977208 39.92022792],0
p12,1,0.643354,0.214383,[ 14 225] ; [  8 104],[ 14.98005698 224.01994302] ; [  7.01994302 104.98005698],0
u4,1,0.667207,0.184887,[  6 234] ; [  2 111],[  5.43909348 234.56090652] ; [  2.56090652 110.43909348],0
n1,1,0.685142,0.164395,[28 45] ; [21 29],[29.08130081 43.91869919] ; [19.91869919 30.08130081],0
s5,1,0.756322,0.096295,[ 49 179] ; [21 84],[ 47.92792793 180.07207207] ; [22.07207207 82.92792793],0
p1,1,0.775483,0.081345,[ 17 222] ; [  9 104],[ 17.65340909 221.34659091] ; [  8.34659091 104.65340909],0
s8,1,0.787619,0.072578,[ 75 163] ; [34 79],[ 73.90883191 164.09116809] ; [35.09116809 77.90883191],0
n2,1,0.795165,0.067397,[48 25] ; [34 16],[48.66666667 24.33333333] ; [33.33333333 16.66666667],0
p3,1,0.816389,0.053913,[ 66 172] ; [30 83],[ 65.09401709 172.90598291] ; [30.90598291 82.09401709],0
a4,1,0.907747,0.013428,[104 135] ; [48 64],[103.4985755 135.5014245] ; [48.5014245 63.4985755],0
a8,1,0.943952,0.004943,[ 21 198] ; [10 97],[ 20.82515337 198.17484663] ; [10.17484663 96.82515337],0
s7,1,0.985211,0.000344,[ 79 148] ; [37 69],[ 79.07507508 147.92492492] ; [36.92492492 69.07507508],0
