Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.017019,5.69437,[26 82] ; [12 13],[30.85714286 77.14285714] ; [ 7.14285714 17.85714286],0
r2,1,0.025459,4.992398,[83 25] ; [25  1],[87.04477612 20.95522388] ; [20.95522388  5.04477612],0
b4,1,0.071451,3.249375,[59 51] ; [19  7],[63.08823529 46.91176471] ; [14.91176471 11.08823529],0
r4,1,0.094966,2.788118,[70 40] ; [21  5],[73.60294118 36.39705882] ; [17.39705882  8.60294118],0
n3,1,0.098913,2.722982,[28 25] ; [6 1],[30.03333333 22.96666667] ; [3.96666667 3.03333333],0
n4,1,0.100586,2.696224,[61 49] ; [19  7],[64.70588235 45.29411765] ; [15.29411765 10.70588235],0
a6,1,0.183111,1.772189,[56 54] ; [17  9],[59.04411765 50.95588235] ; [13.95588235 12.04411765],0
b1,1,0.190741,1.711888,[58 52] ; [10 16],[55. 55.] ; [13. 13.],0
p6,1,0.192894,1.695374,[27 82] ; [ 3 21],[24.58646617 84.41353383] ; [ 5.41353383 18.58646617],0
d5,1,0.197793,1.658593,[70 40] ; [20  6],[72.79411765 37.20588235] ; [17.20588235  8.79411765],0
s8,1,0.219527,1.507458,[18 91] ; [ 7 19],[20.18518519 88.81481481] ; [ 4.81481481 21.18518519],0
s6,1,0.246727,1.341743,[41 68] ; [13 13],[43.6 65.4] ; [10.4 15.6],0
b5,1,0.269472,1.219435,[68 42] ; [13 13],[65.51470588 44.48529412] ; [15.48529412 10.51470588],0
a3,1,0.27128,1.210265,[54 55] ; [16 10],[56.51851852 52.48148148] ; [13.48148148 12.51851852],0
r3,1,0.276419,1.184614,[81 29] ; [21  4],[83.11111111 26.88888889] ; [18.88888889  6.11111111],0
b2,1,0.309284,1.033729,[23 43] ; [ 4 14],[21.21428571 44.78571429] ; [ 5.78571429 12.21428571],0
b3,1,0.309284,1.033729,[23 43] ; [ 4 14],[21.21428571 44.78571429] ; [ 5.78571429 12.21428571],0
a2,1,0.315812,1.006213,[13 97] ; [ 5 21],[14.55882353 95.44117647] ; [ 3.44117647 22.55882353],0
u3,1,0.315932,1.005714,[24 32] ; [6 4],[25.45454545 30.54545455] ; [4.54545455 5.45454545],0
d4,1,0.336708,0.922926,[72 37] ; [19  6],[74.02238806 34.97761194] ; [16.97761194  8.02238806],0
v4,1,0.350663,0.871056,[83 26] ; [22  4],[84.77777778 24.22222222] ; [20.22222222  5.77777778],0
p11,1,0.371364,0.799096,[53 57] ; [10 16],[50.95588235 59.04411765] ; [12.04411765 13.95588235],0
n5,1,0.401802,0.702927,[62 48] ; [17  9],[63.89705882 46.10294118] ; [15.10294118 10.89705882],0
p1,1,0.434419,0.61098,[ 9 99] ; [ 1 25],[ 8.05970149 99.94029851] ; [ 1.94029851 24.05970149],0
s1,1,0.465089,0.533621,[  9 100] ; [ 1 24],[  8.13432836 100.86567164] ; [ 1.86567164 23.13432836],0
d3,1,0.480306,0.498168,[55 55] ; [15 11],[56.61764706 53.38235294] ; [13.38235294 12.61764706],0
a8,1,0.481297,0.495923,[ 9 94] ; [ 1 22],[ 8.17460317 94.82539683] ; [ 1.82539683 21.17460317],0
p2,1,0.501783,0.451164,[63 47] ; [13 13],[61.47058824 48.52941176] ; [14.52941176 11.47058824],0
p8,1,0.522521,0.408914,[29 79] ; [ 8 16],[30.27272727 77.72727273] ; [ 6.72727273 17.27272727],0
u2,1,0.554997,0.348441,[22 33] ; [5 5],[22.84615385 32.15384615] ; [4.15384615 5.84615385],0
s7,1,0.565262,0.330674,[23 79] ; [ 7 18],[24.09448819 77.90551181] ; [ 5.90551181 19.09448819],0
n6,1,0.570437,0.321953,[69 40] ; [18  8],[70.24444444 38.75555556] ; [16.75555556  9.24444444],0
s2,1,0.581681,0.303524,[31 78] ; [ 6 20],[29.87407407 79.12592593] ; [ 7.12592593 18.87407407],0
p9,1,0.58938,0.291313,[34 73] ; [ 9 15],[35.1221374 71.8778626] ; [ 7.8778626 16.1221374],0
d2,1,0.594398,0.283528,[50 59] ; [10 15],[48.80597015 60.19402985] ; [11.19402985 13.80597015],0
s5,1,0.619388,0.246729,[17 90] ; [ 5 20],[17.83333333 89.16666667] ; [ 4.16666667 20.83333333],0
u1,1,0.627368,0.235646,[12 98] ; [ 2 24],[11.32352941 98.67647059] ; [ 2.67647059 23.32352941],0
a4,1,0.649007,0.207154,[43 66] ; [ 9 17],[41.98518519 67.01481481] ; [10.01481481 15.98518519],0
a7,1,0.740234,0.109921,[62 48] ; [15 10],[62.74074074 47.25925926] ; [14.25925926 10.74074074],0
s3,1,0.775729,0.081162,[42 67] ; [10 14],[42.61654135 66.38345865] ; [ 9.38345865 14.61654135],0
p4,1,0.799584,0.064458,[41 69] ; [10 15],[41.55555556 68.44444444] ; [ 9.44444444 15.55555556],0
s4,1,0.80304,0.062208,[19 90] ; [ 4 22],[18.57037037 90.42962963] ; [ 4.42962963 21.57037037],0
a1,1,0.821106,0.051132,[ 10 100] ; [ 2 24],[  9.70588235 100.29411765] ; [ 2.29411765 23.70588235],0
n1,1,0.858252,0.031898,[20 34] ; [2 4],[19.8 34.2] ; [2.2 3.8],0
p7,1,0.867719,0.027741,[46 64] ; [10 15],[45.62962963 64.37037037] ; [10.37037037 14.62962963],0
p5,1,0.869144,0.027141,[  5 104] ; [ 1 25],[  4.84444444 104.15555556] ; [ 1.15555556 24.84444444],0
r1,1,0.88535,0.020791,[66 44] ; [16 10],[66.32352941 43.67647059] ; [15.67647059 10.32352941],0
p3,1,0.897641,0.016549,[31 79] ; [ 7 19],[30.73529412 79.26470588] ; [ 7.26470588 18.73529412],0
a5,1,0.933544,0.006953,[54 56] ; [13 13],[54.19117647 55.80882353] ; [12.80882353 13.19117647],0
d1,1,0.968966,0.001514,[47 63] ; [11 15],[46.91176471 63.08823529] ; [11.08823529 14.91176471],0
