Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,2.5e-05,17.789748,[12  9] ; [13 77],[ 4.72972973 16.27027027] ; [20.27027027 69.72972973],1
s6,1,0.000202,13.816116,[16  5] ; [31 65],[ 8.43589744 12.56410256] ; [38.56410256 57.43589744],1
s2,1,0.00021,13.737724,[13  9] ; [19 76],[ 6.01709402 15.98290598] ; [25.98290598 69.01709402],1
p5,1,0.000344,12.81202,[ 4 18] ; [ 1 94],[ 0.94017094 21.05982906] ; [ 4.05982906 90.94017094],1
s3,1,0.012339,6.261475,[15  7] ; [36 57],[ 9.75652174 12.24347826] ; [41.24347826 51.75652174],0
b4,1,0.038696,4.274148,[17  5] ; [51 45],[12.6779661  9.3220339] ; [55.3220339 40.6779661],0
s4,1,0.039314,4.247238,[ 7 15] ; [13 83],[ 3.72881356 18.27118644] ; [16.27118644 79.72881356],0
s8,1,0.043823,4.063353,[ 6 15] ; [11 85],[ 3.05128205 17.94871795] ; [13.94871795 82.05128205],0
a8,1,0.045273,4.008444,[ 6 15] ; [10 78],[ 3.08256881 17.91743119] ; [12.91743119 75.08256881],0
d4,1,0.058629,3.575758,[15  7] ; [44 52],[11. 11.] ; [48. 48.],0
p11,1,0.062093,3.48057,[14  8] ; [40 56],[10.06779661 11.93220339] ; [43.93220339 52.06779661],0
b3,1,0.098937,2.722598,[ 2 15] ; [18 38],[ 4.65753425 12.34246575] ; [15.34246575 40.65753425],0
b2,1,0.098937,2.722598,[ 2 15] ; [18 38],[ 4.65753425 12.34246575] ; [15.34246575 40.65753425],0
v4,1,0.100155,2.703076,[20  2] ; [71 24],[17.11111111  4.88888889] ; [73.88888889 21.11111111],0
v1,1,0.125247,2.350446,[10 11] ; [29 67],[ 7. 14.] ; [32. 64.],0
p7,1,0.207635,1.587837,[13  9] ; [42 53],[10.34188034 11.65811966] ; [44.65811966 50.34188034],0
d2,1,0.219607,1.506934,[ 7 15] ; [19 77],[ 4.84745763 17.15254237] ; [21.15254237 74.84745763],0
n6,1,0.250683,1.319494,[15  7] ; [52 43],[12.5982906  9.4017094] ; [54.4017094 40.5982906],0
r4,1,0.253763,1.302465,[17  5] ; [62 34],[14.72881356  7.27118644] ; [64.27118644 31.72881356],0
v2,1,0.280016,1.167012,[ 9 13] ; [27 66],[ 6.88695652 15.11304348] ; [29.11304348 63.88695652],0
p3,1,0.284266,1.146581,[ 9 13] ; [28 68],[ 6.89830508 15.10169492] ; [30.10169492 65.89830508],0
a6,1,0.285462,1.140901,[ 8 14] ; [47 49],[10.25423729 11.74576271] ; [44.74576271 51.25423729],0
p2,1,0.305644,1.049407,[15  7] ; [54 42],[12.86440678  9.13559322] ; [56.13559322 39.86440678],0
p1,1,0.319772,0.989881,[ 2 19] ; [ 4 91],[ 1.0862069 19.9137931] ; [ 4.9137931 90.0862069],0
r2,1,0.326214,0.963869,[19  3] ; [73 22],[17.2991453  4.7008547] ; [74.7008547 20.2991453],0
p8,1,0.329794,0.949708,[ 7 14] ; [22 73],[ 5.25 15.75] ; [23.75 71.25],0
n3,1,0.391497,0.734288,[5 1] ; [23 12],[4.09756098 1.90243902] ; [23.90243902 11.09756098],0
b5,1,0.394715,0.724367,[15  7] ; [56 40],[13.23728814  8.76271186] ; [57.76271186 38.23728814],0
d5,1,0.408125,0.684257,[12 10] ; [43 53],[10.25423729 11.74576271] ; [44.74576271 51.25423729],0
n4,1,0.424267,0.638466,[15  7] ; [56 39],[13.35042735  8.64957265] ; [57.64957265 37.35042735],0
r3,1,0.425909,0.633953,[18  4] ; [70 25],[16.54700855  5.45299145] ; [71.45299145 23.54700855],0
n2,1,0.435392,0.608397,[5 1] ; [25 12],[4.18604651 1.81395349] ; [25.81395349 11.18604651],0
p9,1,0.506478,0.441338,[ 7 12] ; [28 68],[ 5.7826087 13.2173913] ; [29.2173913 66.7826087],0
a7,1,0.543935,0.368295,[10 12] ; [50 45],[11.28205128 10.71794872] ; [48.71794872 46.28205128],0
p4,1,0.574594,0.315056,[ 8 14] ; [29 67],[ 6.89830508 15.10169492] ; [30.10169492 65.89830508],0
n5,1,0.583947,0.299897,[13  9] ; [50 45],[11.84615385 10.15384615] ; [51.15384615 43.84615385],0
v3,1,0.587314,0.294558,[ 7 15] ; [24 68],[ 5.98245614 16.01754386] ; [25.01754386 66.98245614],0
r1,1,0.621765,0.243395,[14  8] ; [55 40],[12.97435897  9.02564103] ; [56.02564103 38.97435897],0
b1,1,0.636397,0.223485,[12 10] ; [47 49],[11. 11.] ; [48. 48.],0
s1,1,0.642133,0.215963,[ 2 20] ; [ 6 89],[ 1.5042735 20.4957265] ; [ 6.4957265 88.5042735],0
