Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,5e-06,20.664687,[4 4] ; [161  10],[7.37430168 0.62569832] ; [157.62569832  13.37430168],1
r4,1,0.000523,12.032415,[4 4] ; [156  17],[7.0718232 0.9281768] ; [152.9281768  20.0718232],1
n5,1,0.002284,9.305903,[2 6] ; [128  44],[5.77777778 2.22222222] ; [124.22222222  47.77777778],0
s1,1,0.004176,8.205554,[2 6] ; [  6 164],[0.35955056 7.64044944] ; [  7.64044944 162.35955056],0
p10,1,0.012649,6.217617,[3 4] ; [140  32],[5.59217877 1.40782123] ; [137.40782123  34.59217877],0
n6,1,0.014745,5.946732,[4 4] ; [144  28],[6.57777778 1.42222222] ; [141.42222222  30.57777778],0
p7,1,0.037785,4.314679,[3 5] ; [120  47],[5.62285714 2.37714286] ; [117.37714286  49.62285714],0
n4,1,0.040164,4.210963,[3 5] ; [123  49],[5.6 2.4] ; [120.4  51.6],0
n2,1,0.050572,3.822394,[2 2] ; [35  5],[3.36363636 0.63636364] ; [33.63636364  6.36363636],0
a5,1,0.064941,3.406485,[3 5] ; [119  54],[5.39226519 2.60773481] ; [116.60773481  56.39226519],0
s2,1,0.080098,3.06291,[1 6] ; [82 89],[3.26404494 3.73595506] ; [79.73595506 91.26404494],0
s6,1,0.10126,2.685591,[3 5] ; [110  57],[5.16571429 2.83428571] ; [107.83428571  59.16571429],0
d1,1,0.111302,2.535634,[2 6] ; [93 80],[4.19889503 3.80110497] ; [90.80110497 82.19889503],0
s7,1,0.128924,2.30541,[1 6] ; [73 96],[2.94318182 4.05681818] ; [71.05681818 97.94318182],0
b5,1,0.136406,2.218041,[3 5] ; [110  63],[4.99447514 3.00552486] ; [108.00552486  64.99447514],0
p4,1,0.152496,2.047109,[2 6] ; [87 84],[3.97765363 4.02234637] ; [85.02234637 85.97765363],0
b1,1,0.157997,1.99329,[1 7] ; [ 64 109],[2.87292818 5.12707182] ; [ 62.12707182 110.87292818],0
d3,1,0.248988,1.328971,[4 4] ; [120  53],[5.48066298 2.51933702] ; [118.51933702  54.48066298],0
p2,1,0.255414,1.293447,[6 2] ; [153  20],[7.02762431 0.97237569] ; [151.97237569  21.02762431],0
p12,1,0.260714,1.264959,[1 7] ; [  7 164],[0.3575419 7.6424581] ; [  7.6424581 163.3575419],0
r1,1,0.266121,1.236631,[5 3] ; [136  36],[6.26666667 1.73333333] ; [134.73333333  37.26666667],0
s5,1,0.317542,0.999044,[1 7] ; [ 48 119],[2.24 5.76] ; [ 46.76 120.24],0
d5,1,0.327216,0.959885,[5 3] ; [134  39],[6.14364641 1.85635359] ; [132.85635359  40.14364641],0
a8,1,0.341658,0.904199,[2 5] ; [ 24 134],[1.1030303 5.8969697] ; [ 24.8969697 133.1030303],0
b3,1,0.399315,0.710389,[2 2] ; [28 65],[1.2371134 2.7628866] ; [28.7628866 64.2371134],0
b2,1,0.399315,0.710389,[2 2] ; [28 65],[1.2371134 2.7628866] ; [28.7628866 64.2371134],0
v1,1,0.410555,0.677194,[3 5] ; [88 80],[4.13636364 3.86363636] ; [86.86363636 81.13636364],0
p9,1,0.432234,0.616812,[5 2] ; [141  29],[5.7740113 1.2259887] ; [140.2259887  29.7740113],0
v2,1,0.468975,0.52439,[3 5] ; [83 81],[4. 4.] ; [82. 82.],0
d2,1,0.523235,0.407512,[4 4] ; [ 67 106],[3.13812155 4.86187845] ; [ 67.86187845 105.13812155],0
u2,1,0.537857,0.379526,[1 2] ; [34 32],[1.52173913 1.47826087] ; [33.47826087 32.52173913],0
r3,1,0.551277,0.355035,[7 1] ; [161  12],[7.42541436 0.57458564] ; [160.57458564  12.42541436],0
s8,1,0.554772,0.348837,[4 4] ; [ 68 104],[3.2 4.8] ; [ 68.8 103.2],0
a4,1,0.586873,0.295255,[2 6] ; [ 59 113],[2.71111111 5.28888889] ; [ 58.28888889 113.71111111],0
p1,1,0.60993,0.260277,[1 7] ; [ 13 159],[0.62222222 7.37777778] ; [ 13.37777778 158.62222222],0
p11,1,0.678263,0.172087,[6 2] ; [140  33],[6.45303867 1.54696133] ; [139.54696133  33.45303867],0
s3,1,0.699709,0.148774,[3 4] ; [85 84],[3.5 3.5] ; [84.5 84.5],0
p5,1,0.709125,0.139152,[1 7] ; [ 15 158],[0.70718232 7.29281768] ; [ 15.29281768 157.70718232],0
b4,1,0.719933,0.128557,[5 3] ; [97 76],[4.50828729 3.49171271] ; [97.49171271 75.50828729],0
d4,1,0.743676,0.106922,[6 2] ; [138  35],[6.36464088 1.63535912] ; [137.63535912  35.36464088],0
p6,1,0.84314,0.039156,[3 5] ; [ 59 114],[2.74033149 5.25966851] ; [ 59.25966851 113.74033149],0
a2,1,0.87776,0.023657,[1 7] ; [ 25 148],[1.14917127 6.85082873] ; [ 24.85082873 148.14917127],0
n3,1,0.891739,0.018524,[3 1] ; [28 11],[2.88372093 1.11627907] ; [28.11627907 10.88372093],0
a6,1,0.944397,0.004864,[5 3] ; [106  67],[4.90607735 3.09392265] ; [106.09392265  66.90607735],0
v3,1,0.945477,0.004677,[3 5] ; [ 61 107],[2.90909091 5.09090909] ; [ 61.09090909 106.90909091],0
a3,1,0.986774,0.000275,[5 3] ; [107  65],[4.97777778 3.02222222] ; [107.02222222  64.97777778],0
