Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.0,48.390839,[27 29] ; [78  1],[43.55555556 12.44444444] ; [61.44444444 17.55555556],1
d2,1,0.0,39.43944,[ 9 47] ; [56 23],[26.96296296 29.03703704] ; [38.03703704 40.96296296],1
d5,1,0.0,39.268439,[29 26] ; [77  2],[43.50746269 11.49253731] ; [62.49253731 16.50746269],1
d3,1,0.0,34.226853,[26 29] ; [73  6],[40.63432836 14.36567164] ; [58.36567164 20.63432836],1
a5,1,0.0,28.879747,[28 28] ; [72  7],[41.48148148 14.51851852] ; [58.51851852 20.48148148],1
p6,1,9e-06,19.730668,[ 9 47] ; [42 36],[21.31343284 34.68656716] ; [29.68656716 48.31343284],1
a2,1,3.4e-05,17.160353,[ 2 54] ; [26 53],[11.61481481 44.38518519] ; [16.38518519 62.61481481],1
a3,1,6.6e-05,15.930992,[28 28] ; [65 14],[38.57777778 17.42222222] ; [54.42222222 24.57777778],1
s8,1,7e-05,15.809133,[16 40] ; [50 29],[27.37777778 28.62222222] ; [38.62222222 40.37777778],1
p4,1,9.3e-05,15.266917,[24 32] ; [60 19],[34.84444444 21.15555556] ; [49.15555556 29.84444444],1
u1,1,0.0001,15.145659,[ 2 54] ; [24 55],[10.78518519 45.21481481] ; [15.21481481 63.78518519],1
a4,1,0.000386,12.600839,[14 42] ; [44 35],[24.05925926 31.94074074] ; [33.94074074 45.05925926],1
a6,1,0.002479,9.156336,[26 30] ; [57 22],[34.42962963 21.57037037] ; [48.57037037 30.42962963],0
r1,1,0.005731,7.633139,[36 20] ; [67 12],[42.72592593 13.27407407] ; [60.27407407 18.72592593],0
r4,1,0.007914,7.052865,[45 11] ; [75  4],[49.77777778  6.22222222] ; [70.22222222  8.77777778],0
r2,1,0.015511,5.857534,[50  6] ; [77  1],[53.07462687  2.92537313] ; [73.92537313  4.07462687],0
s2,1,0.02175,5.26569,[31 22] ; [61 18],[36.93939394 16.06060606] ; [55.06060606 23.93939394],0
s6,1,0.025756,4.972341,[40 12] ; [71  7],[44.4  7.6] ; [66.6 11.4],0
p3,1,0.030101,4.70352,[22 34] ; [46 33],[28.20740741 27.79259259] ; [39.79259259 39.20740741],0
p2,1,0.032752,4.558716,[38 18] ; [66 13],[43.14074074 12.85925926] ; [60.85925926 18.14074074],0
v4,1,0.03329,4.530823,[51  5] ; [78  1],[53.51111111  2.48888889] ; [75.48888889  3.51111111],0
p10,1,0.038718,4.273184,[43 13] ; [71  8],[47.28888889  8.71111111] ; [66.71111111 12.28888889],0
s7,1,0.048276,3.900366,[27 28] ; [51 26],[32.5 22.5] ; [45.5 31.5],0
p9,1,0.062871,3.459993,[44 11] ; [72  7],[47.6119403  7.3880597] ; [68.3880597 10.6119403],0
p5,1,0.067571,3.341061,[ 2 54] ; [10 69],[ 4.97777778 51.02222222] ; [ 7.02222222 71.97777778],0
b2,1,0.071912,3.23883,[ 3 26] ; [12 31],[ 6.04166667 22.95833333] ; [ 8.95833333 34.04166667],0
b3,1,0.071912,3.23883,[ 3 26] ; [12 31],[ 6.04166667 22.95833333] ; [ 8.95833333 34.04166667],0
s5,1,0.083649,2.992537,[22 29] ; [43 30],[26.73387097 24.26612903] ; [38.26612903 34.73387097],0
n4,1,0.084104,2.983756,[34 22] ; [59 20],[38.57777778 17.42222222] ; [54.42222222 24.57777778],0
v2,1,0.105206,2.624791,[21 33] ; [41 36],[25.55725191 28.44274809] ; [36.44274809 40.55725191],0
p8,1,0.115589,2.4761,[25 31] ; [45 32],[29.47368421 26.52631579] ; [40.52631579 36.47368421],0
b5,1,0.166002,1.918686,[31 25] ; [53 26],[34.84444444 21.15555556] ; [49.15555556 29.84444444],0
v3,1,0.173921,1.848814,[13 42] ; [27 51],[16.54135338 38.45864662] ; [23.45864662 54.54135338],0
s3,1,0.199764,1.644102,[34 20] ; [58 21],[37.35338346 16.64661654] ; [54.64661654 24.35338346],0
n2,1,0.20655,1.595442,[12  2] ; [14  7],[10.4  3.6] ; [15.6  5.4],0
p7,1,0.207766,1.586927,[32 23] ; [53 24],[35.41666667 19.58333333] ; [49.58333333 27.41666667],0
v1,1,0.300253,1.073068,[24 32] ; [41 38],[26.96296296 29.03703704] ; [38.03703704 40.96296296],0
a7,1,0.321723,0.981927,[36 19] ; [58 21],[38.58208955 16.41791045] ; [55.41791045 23.58208955],0
n1,1,0.445009,0.583333,[5 9] ; [ 5 16],[ 4. 10.] ; [ 6. 15.],0
p1,1,0.548378,0.36023,[ 4 52] ; [ 8 71],[ 4.97777778 51.02222222] ; [ 7.02222222 71.97777778],0
b1,1,0.581361,0.30404,[21 35] ; [26 53],[19.4962963 36.5037037] ; [27.5037037 51.4962963],0
r3,1,0.584287,0.299355,[51  5] ; [73  5],[51.82089552  4.17910448] ; [72.17910448  5.82089552],0
u2,1,0.653173,0.201923,[10 18] ; [6 8],[10.66666667 17.33333333] ; [5.33333333 8.66666667],0
u3,1,0.656627,0.197647,[16 12] ; [9 5],[16.66666667 11.33333333] ; [8.33333333 5.66666667],0
a8,1,0.685753,0.163721,[ 2 50] ; [ 4 70],[ 2.47619048 49.52380952] ; [ 3.52380952 70.47619048],0
n5,1,0.779464,0.07841,[43 13] ; [59 20],[42.31111111 13.68888889] ; [59.68888889 19.31111111],0
s1,1,0.83352,0.04418,[ 3 52] ; [ 5 74],[ 3.28358209 51.71641791] ; [ 4.71641791 74.28358209],0
p11,1,0.847798,0.036836,[41 15] ; [59 20],[41.48148148 14.51851852] ; [58.51851852 20.48148148],0
n3,1,0.869467,0.027006,[11  3] ; [16  5],[10.8  3.2] ; [16.2  4.8],0
p12,1,0.921283,0.009765,[ 4 52] ; [ 6 73],[ 4.14814815 51.85185185] ; [ 5.85185185 73.14814815],0
a1,1,0.945374,0.004695,[ 2 54] ; [ 3 76],[ 2.07407407 53.92592593] ; [ 2.92592593 76.07407407],0
b4,1,0.947507,0.004335,[33 23] ; [47 32],[33.18518519 22.81481481] ; [46.81481481 32.18518519],0
