Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,8e-06,20.023414,[21 99] ; [15 10],[29.79310345 90.20689655] ; [ 6.20689655 18.79310345],1
s5,1,0.000416,12.461001,[ 20 102] ; [11 11],[26.26388889 95.73611111] ; [ 4.73611111 17.26388889],1
s7,1,0.000503,12.104286,[33 86] ; [15  8],[40.22535211 78.77464789] ; [ 7.77464789 15.22535211],1
a5,1,0.004712,7.986861,[89 39] ; [10 15],[82.82352941 45.17647059] ; [16.17647059  8.82352941],0
s3,1,0.004752,7.971626,[62 64] ; [20  5],[68.42384106 57.57615894] ; [13.57615894 11.42384106],0
s2,1,0.006677,7.357855,[49 78] ; [17  8],[55.14473684 71.85526316] ; [10.85526316 14.14473684],0
r1,1,0.027428,4.863684,[102  25] ; [15 10],[97.75657895 29.24342105] ; [19.24342105  5.75657895],0
s6,1,0.028753,4.782347,[65 63] ; [18  6],[69.89473684 58.10526316] ; [13.10526316 10.89473684],0
p3,1,0.034534,4.468085,[42 83] ; [14 11],[46.66666667 78.33333333] ; [ 9.33333333 15.66666667],0
s8,1,0.061271,3.502632,[37 91] ; [12 13],[40.99346405 87.00653595] ; [ 8.00653595 16.99346405],0
u3,1,0.105162,2.625466,[28 16] ; [9 1],[30.14814815 13.85185185] ; [6.85185185 3.14814815],0
n2,1,0.169968,1.883222,[29 12] ; [10  1],[30.75 10.25] ; [8.25 2.75],0
p11,1,0.195827,1.673226,[84 44] ; [13 12],[81.1503268 46.8496732] ; [15.8496732  9.1503268],0
a7,1,0.216112,1.53,[88 40] ; [14 11],[85.33333333 42.66666667] ; [16.66666667  8.33333333],0
a2,1,0.217551,1.520452,[ 23 105] ; [ 2 23],[ 20.91503268 107.08496732] ; [ 4.08496732 20.91503268],0
a8,1,0.289423,1.122304,[ 14 105] ; [ 1 22],[ 12.57042254 106.42957746] ; [ 2.42957746 20.57042254],0
r4,1,0.307821,1.040002,[108  20] ; [19  6],[106.24836601  21.75163399] ; [20.75163399  4.24836601],0
v2,1,0.312021,1.022103,[62 55] ; [10 14],[59.74468085 57.25531915] ; [12.25531915 11.74468085],0
p1,1,0.314611,1.011219,[  8 119] ; [ 3 22],[  9.19078947 117.80921053] ; [ 1.80921053 23.19078947],0
p2,1,0.329114,0.952381,[88 37] ; [20  5],[90. 35.] ; [18.  7.],0
n5,1,0.348906,0.87743,[53 73] ; [ 8 17],[50.90066225 75.09933775] ; [10.09933775 14.90066225],0
b5,1,0.401127,0.704944,[83 45] ; [14 11],[81.1503268 46.8496732] ; [15.8496732  9.1503268],0
r2,1,0.411575,0.674247,[113  13] ; [21  4],[111.81456954  14.18543046] ; [22.18543046  2.81456954],0
d3,1,0.415546,0.662879,[80 46] ; [18  7],[81.77483444 44.22516556] ; [16.22516556  8.77483444],0
v1,1,0.441382,0.592687,[55 69] ; [ 9 16],[53.26174497 70.73825503] ; [10.73825503 14.26174497],0
v3,1,0.445098,0.583105,[33 83] ; [ 5 19],[31.48571429 84.51428571] ; [ 6.51428571 17.48571429],0
n1,1,0.459489,0.547138,[13 26] ; [5 6],[14.04 24.96] ; [3.96 7.04],0
d4,1,0.486799,0.483595,[98 28] ; [21  4],[99.29801325 26.70198675] ; [19.70198675  5.29801325],0
n4,1,0.48911,0.478484,[66 62] ; [11 14],[64.41830065 63.58169935] ; [12.58169935 12.41830065],0
p7,1,0.490874,0.47461,[64 58] ; [15 10],[65.56462585 56.43537415] ; [13.43537415 11.56462585],0
b2,1,0.523288,0.407407,[17 55] ; [ 5 11],[18. 54.] ; [ 4. 12.],0
b3,1,0.523288,0.407407,[17 55] ; [ 5 11],[18. 54.] ; [ 4. 12.],0
p10,1,0.539533,0.376405,[75 50] ; [16  8],[76.34228188 48.65771812] ; [14.65771812  9.34228188],0
u2,1,0.542966,0.37007,[31 13] ; [8 2],[31.77777778 12.22222222] ; [7.22222222 2.77777778],0
d5,1,0.57995,0.306315,[95 32] ; [20  5],[96.08552632 30.91447368] ; [18.91447368  6.08552632],0
u1,1,0.588998,0.291912,[ 11 117] ; [ 3 22],[ 11.7124183 116.2875817] ; [ 2.2875817 22.7124183],0
