Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.001398,10.208145,[34  5] ; [60 42],[26. 13.] ; [68. 34.],0
p2,1,0.003956,8.303768,[31  8] ; [54 48],[23.5106383 15.4893617] ; [61.4893617 40.5106383],0
p4,1,0.005825,7.603511,[20 19] ; [27 74],[13.09285714 25.90714286] ; [33.90714286 67.09285714],0
p7,1,0.008649,6.893967,[22 16] ; [33 66],[15.25547445 22.74452555] ; [39.74452555 59.25547445],0
p8,1,0.015995,5.803448,[17 22] ; [23 77],[11.22302158 27.77697842] ; [28.77697842 71.22302158],0
p1,1,0.018625,5.536352,[ 6 33] ; [ 4 97],[ 2.78571429 36.21428571] ; [ 7.21428571 93.78571429],0
s8,1,0.020438,5.374065,[15 24] ; [20 82],[ 9.68085106 29.31914894] ; [25.31914894 76.68085106],0
r2,1,0.029401,4.743999,[37  2] ; [79 20],[32.7826087  6.2173913] ; [83.2173913 15.7826087],0
a5,1,0.045414,4.003194,[30  9] ; [60 42],[24.89361702 14.10638298] ; [65.10638298 36.89361702],0
v4,1,0.05154,3.790635,[35  4] ; [74 25],[30.80434783  8.19565217] ; [78.19565217 20.80434783],0
p5,1,0.105412,2.62169,[ 3 36] ; [ 2 98],[ 1.4028777 37.5971223] ; [ 3.5971223 96.4028777],0
n5,1,0.111607,2.531315,[12 27] ; [46 55],[16.15714286 22.84285714] ; [41.84285714 59.15714286],0
d4,1,0.120877,2.405918,[32  7] ; [69 31],[28.3381295 10.6618705] ; [72.6618705 27.3381295],0
s6,1,0.127622,2.321191,[21 18] ; [40 61],[16.99285714 22.00714286] ; [44.00714286 56.99285714],0
v2,1,0.149782,2.074468,[18 18] ; [34 60],[14.4 21.6] ; [37.6 56.4],0
u3,1,0.150445,2.06773,[11  3] ; [21 16],[8.78431373 5.21568627] ; [23.21568627 13.78431373],0
a1,1,0.151617,2.055906,[ 1 38] ; [10 92],[ 3.04255319 35.95744681] ; [ 7.95744681 94.04255319],0
r3,1,0.200022,1.642215,[33  6] ; [76 26],[30.14893617  8.85106383] ; [78.85106383 23.14893617],0
v3,1,0.200346,1.639853,[12 23] ; [22 73],[ 9.15384615 25.84615385] ; [24.84615385 70.15384615],0
s2,1,0.245813,1.346946,[16 23] ; [31 70],[13.09285714 25.90714286] ; [33.90714286 67.09285714],0
s1,1,0.246659,1.342126,[ 1 38] ; [ 8 93],[ 2.50714286 36.49285714] ; [ 6.49285714 94.50714286],0
s3,1,0.269981,1.216844,[22 17] ; [46 54],[19.07913669 19.92086331] ; [48.92086331 51.07913669],0
r1,1,0.271077,1.211288,[29  9] ; [68 34],[26.32857143 11.67142857] ; [70.67142857 31.32857143],0
a7,1,0.312756,1.019003,[28 11] ; [64 38],[25.44680851 13.55319149] ; [66.55319149 35.44680851],0
a8,1,0.318227,0.996221,[ 2 34] ; [11 86],[ 3.51879699 32.48120301] ; [ 9.48120301 87.51879699],0
s5,1,0.323925,0.973034,[ 8 30] ; [14 85],[ 6.10218978 31.89781022] ; [15.89781022 83.10218978],0
p11,1,0.339813,0.911138,[23 16] ; [51 51],[20.46808511 18.53191489] ; [53.53191489 48.46808511],0
p9,1,0.347836,0.881336,[26 13] ; [58 42],[23.56834532 15.43165468] ; [60.43165468 39.56834532],0
p10,1,0.397235,0.716681,[23 16] ; [51 49],[20.76258993 18.23741007] ; [53.23741007 46.76258993],0
d2,1,0.448444,0.574581,[17 22] ; [37 64],[15.04285714 23.95714286] ; [38.95714286 62.04285714],0
v1,1,0.464231,0.535674,[16 22] ; [35 64],[14.1459854 23.8540146] ; [36.8540146 62.1459854],0
a4,1,0.471465,0.51854,[12 27] ; [38 64],[13.82978723 25.17021277] ; [36.17021277 65.82978723],0
d1,1,0.521202,0.411515,[18 21] ; [41 61],[16.31914894 22.68085106] ; [42.68085106 59.31914894],0
b1,1,0.537304,0.380559,[21 18] ; [49 53],[19.36170213 19.63829787] ; [50.63829787 51.36170213],0
s7,1,0.581309,0.304123,[11 23] ; [26 69],[ 9.75193798 24.24806202] ; [27.24806202 67.75193798],0
s4,1,0.58288,0.301601,[ 3 36] ; [11 91],[ 3.87234043 35.12765957] ; [10.12765957 91.87234043],0
b5,1,0.589315,0.291415,[23 16] ; [55 47],[21.57446809 17.42553191] ; [56.42553191 45.57446809],0
d5,1,0.60968,0.260641,[28 11] ; [68 33],[26.74285714 12.25714286] ; [69.25714286 31.74285714],0
a6,1,0.636278,0.223643,[26 13] ; [63 38],[24.79285714 14.20714286] ; [64.20714286 36.79285714],0
n2,1,0.637958,0.221422,[5 2] ; [28 17],[4.44230769 2.55769231] ; [28.55769231 16.44230769],0
u1,1,0.694113,0.154669,[ 3 36] ; [ 6 96],[ 2.4893617 36.5106383] ; [ 6.5106383 95.4893617],0
d3,1,0.736018,0.113658,[24 15] ; [59 42],[23.12142857 15.87857143] ; [59.87857143 41.12142857],0
n4,1,0.760651,0.092797,[21 18] ; [52 50],[20.19148936 18.80851064] ; [52.80851064 49.19148936],0
n1,1,0.831756,0.045135,[3 4] ; [17 27],[2.74509804 4.25490196] ; [17.25490196 26.74509804],0
b3,1,0.851097,0.035238,[ 7 19] ; [15 45],[ 6.65116279 19.34883721] ; [15.34883721 44.65116279],0
b2,1,0.851097,0.035238,[ 7 19] ; [15 45],[ 6.65116279 19.34883721] ; [15.34883721 44.65116279],0
u2,1,0.916974,0.010867,[8 5] ; [24 14],[8.15686275 4.84313725] ; [23.84313725 14.15686275],0
a3,1,0.935323,0.006585,[25 14] ; [64 37],[24.79285714 14.20714286] ; [64.20714286 36.79285714],0
b4,1,0.95495,0.003191,[22 17] ; [57 45],[21.85106383 17.14893617] ; [57.14893617 44.85106383],0
a2,1,0.964781,0.00195,[ 6 33] ; [16 86],[ 6.08510638 32.91489362] ; [15.91489362 86.08510638],0
