Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,75.215402,[25 58] ; [107  13],[53.97044335 29.02955665] ; [78.02955665 41.97044335],1
p2,1,0.0,28.513709,[38 50] ; [95 25],[56.26923077 31.73076923] ; [76.73076923 43.26923077],1
p11,1,2e-06,22.342652,[37 51] ; [90 31],[53.47368421 34.52631579] ; [73.52631579 47.47368421],1
s6,1,0.000136,14.560808,[26 60] ; [68 51],[39.43414634 46.56585366] ; [54.56585366 64.43414634],1
v4,1,0.000604,11.765059,[63 25] ; [108  12],[72.34615385 15.65384615] ; [98.65384615 21.34615385],1
s8,1,0.000892,11.039233,[10 76] ; [38 83],[19.94202899 66.05797101] ; [28.05797101 92.94202899],1
n2,1,0.001009,10.810451,[22 21] ; [34  6],[29.01204819 13.98795181] ; [26.98795181 13.01204819],0
r3,1,0.00126,10.400699,[60 28] ; [104  16],[69.38461538 18.61538462] ; [94.61538462 25.38461538],0
s2,1,0.00136,10.259766,[17 70] ; [49 72],[27.60576923 59.39423077] ; [38.39423077 82.60576923],0
p8,1,0.001543,10.026243,[16 71] ; [47 74],[26.35096154 60.64903846] ; [36.64903846 84.35096154],0
n6,1,0.006199,7.49154,[51 37] ; [91 29],[60.07692308 27.92307692] ; [81.92307692 38.07692308],0
s7,1,0.008146,7.00108,[15 65] ; [43 76],[23.31658291 56.68341709] ; [34.68341709 84.31658291],0
b1,1,0.008616,6.900795,[45 43] ; [40 81],[35.78947368 52.21052632] ; [49.21052632 71.78947368],0
s5,1,0.011076,6.453025,[11 75] ; [33 87],[18.36893204 67.63106796] ; [25.63106796 94.36893204],0
r4,1,0.011849,6.333333,[56 32] ; [96 25],[64. 24.] ; [88. 33.],0
a1,1,0.017444,5.651174,[ 9 79] ; [  3 118],[ 5.05263158 82.94736842] ; [  6.94736842 114.05263158],0
s3,1,0.027103,4.884268,[29 57] ; [59 61],[36.73786408 49.26213592] ; [51.26213592 68.73786408],0
v1,1,0.03668,4.365213,[19 68] ; [42 77],[25.76213592 61.23786408] ; [35.23786408 83.76213592],0
n3,1,0.038883,4.265964,[20 20] ; [29 11],[24.5 15.5] ; [24.5 15.5],0
d3,1,0.061837,3.487429,[39 48] ; [69 50],[45.61165049 41.38834951] ; [62.38834951 56.61165049],0
d4,1,0.083975,2.986248,[55 32] ; [90 31],[60.64903846 26.35096154] ; [84.35096154 36.64903846],0
a7,1,0.084715,2.97204,[46 42] ; [77 43],[52.03846154 35.96153846] ; [70.96153846 49.03846154],0
d1,1,0.088589,2.899825,[29 59] ; [54 67],[34.94736842 53.05263158] ; [48.05263158 72.94736842],0
p5,1,0.09607,2.76961,[ 2 86] ; [  9 111],[ 4.65384615 83.34615385] ; [  6.34615385 113.65384615],0
d5,1,0.125915,2.342152,[52 35] ; [84 36],[57.15942029 29.84057971] ; [78.84057971 41.15942029],0
a4,1,0.167903,1.901568,[35 51] ; [38 83],[30.32850242 55.67149758] ; [42.67149758 78.32850242],0
u2,1,0.172955,1.857144,[15 23] ; [24 20],[18.07317073 19.92682927] ; [20.92682927 23.07317073],0
p3,1,0.179935,1.798162,[12 76] ; [25 95],[15.65384615 72.34615385] ; [21.34615385 98.65384615],0
r2,1,0.183313,1.770562,[72 15] ; [107  13],[75.23188406 11.76811594] ; [103.76811594  16.23188406],0
n1,1,0.19101,1.709812,[14 28] ; [19 21],[16.90243902 25.09756098] ; [16.09756098 23.90243902],0
d2,1,0.210249,1.569713,[39 47] ; [44 76],[34.65048544 51.34951456] ; [48.34951456 71.65048544],0
a5,1,0.214396,1.54149,[47 41] ; [75 46],[51.36842105 36.63157895] ; [70.63157895 50.36842105],0
u3,1,0.246455,1.343287,[15 23] ; [23 21],[17.6097561 20.3902439] ; [20.3902439 23.6097561],0
b5,1,0.262716,1.254389,[50 38] ; [78 43],[53.89473684 34.10526316] ; [74.10526316 46.89473684],0
p7,1,0.280663,1.163876,[29 59] ; [46 68],[32.67326733 55.32673267] ; [42.32673267 71.67326733],0
u1,1,0.301528,1.067422,[ 7 81] ; [ 15 106],[ 9.26315789 78.73684211] ; [ 12.73684211 108.26315789],0
p12,1,0.314144,1.01317,[ 2 85] ; [  6 113],[ 3.37864078 83.62135922] ; [  4.62135922 114.37864078],0
a3,1,0.484306,0.489151,[50 35] ; [77 44],[52.40291262 32.59708738] ; [74.59708738 46.40291262],0
s4,1,0.52058,0.412743,[13 74] ; [22 98],[14.71014493 72.28985507] ; [20.28985507 99.71014493],0
s1,1,0.554335,0.349608,[ 6 81] ; [  6 115],[ 5.01923077 81.98076923] ; [  6.98076923 114.01923077],0
v3,1,0.557053,0.344833,[16 69] ; [ 19 102],[14.44174757 70.55825243] ; [ 20.55825243 100.44174757],0
a6,1,0.562514,0.335371,[49 38] ; [73 48],[51.02884615 35.97115385] ; [70.97115385 50.02884615],0
b2,1,0.600338,0.274487,[17 38] ; [22 40],[18.33333333 36.66666667] ; [20.66666667 41.33333333],0
b3,1,0.600338,0.274487,[17 38] ; [22 40],[18.33333333 36.66666667] ; [20.66666667 41.33333333],0
a2,1,0.601955,0.272058,[17 71] ; [ 20 101],[15.57894737 72.42105263] ; [21.42105263 99.57894737],0
n5,1,0.678097,0.172276,[55 33] ; [79 42],[56.42105263 31.57894737] ; [77.57894737 43.42105263],0
p6,1,0.788781,0.071767,[12 75] ; [ 18 101],[12.66990291 74.33009709] ; [ 17.33009709 101.66990291],0
p1,1,0.815681,0.054337,[ 5 81] ; [  8 113],[ 5.40096618 80.59903382] ; [  7.59903382 113.40096618],0
a8,1,0.87878,0.023261,[ 9 75] ; [ 13 101],[ 9.33333333 74.66666667] ; [ 12.66666667 101.33333333],0
r1,1,0.913296,0.011855,[54 33] ; [76 45],[54.375 32.625] ; [75.625 45.375],0
b4,1,0.940795,0.005516,[49 39] ; [68 53],[49.26315789 38.73684211] ; [67.73684211 53.26315789],0
n4,1,1.0,0.0,[56 32] ; [77 44],[56. 32.] ; [77. 44.],0
