Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,2e-06,23.08031,[38 32] ; [ 4 39],[26.01769912 43.98230088] ; [15.98230088 27.01769912],1
d1,1,0.000135,14.571791,[47 23] ; [13 30],[37.16814159 32.83185841] ; [22.83185841 20.16814159],1
d2,1,0.000173,14.101889,[45 25] ; [12 31],[35.30973451 34.69026549] ; [21.69026549 21.30973451],1
a6,1,0.000321,12.942101,[58 12] ; [22 21],[49.55752212 20.44247788] ; [30.44247788 12.55752212],1
a3,1,0.000558,11.912063,[54 15] ; [20 23],[45.58928571 23.41071429] ; [28.41071429 14.58928571],1
u1,1,0.001248,10.417795,[18 52] ; [ 1 42],[11.7699115 58.2300885] ; [ 7.2300885 35.7699115],0
d3,1,0.002851,8.900445,[56 14] ; [23 20],[48.9380531 21.0619469] ; [30.0619469 12.9380531],0
n4,1,0.004273,8.164134,[54 16] ; [22 21],[47.07964602 22.92035398] ; [28.92035398 14.07964602],0
v1,1,0.034386,4.475413,[30 40] ; [10 33],[24.77876106 45.22123894] ; [15.22123894 27.77876106],0
d5,1,0.036227,4.386369,[59 11] ; [29 14],[54.51327434 15.48672566] ; [33.48672566  9.51327434],0
p6,1,0.041781,4.144034,[10 58] ; [13 29],[14.21818182 53.78181818] ; [ 8.78181818 33.21818182],0
s4,1,0.05703,3.62172,[ 6 63] ; [ 9 33],[ 9.32432432 59.67567568] ; [ 5.67567568 36.32432432],0
r1,1,0.090493,2.865589,[57 13] ; [29 14],[53.27433628 16.72566372] ; [32.72566372 10.27433628],0
n6,1,0.111885,2.527388,[43 26] ; [33 10],[46.82142857 22.17857143] ; [29.17857143 13.82142857],0
d4,1,0.133937,2.246274,[60 10] ; [32 11],[56.99115044 13.00884956] ; [35.00884956  7.99115044],0
n5,1,0.14324,2.142803,[44 26] ; [21 22],[40.26548673 29.73451327] ; [24.73451327 18.26548673],0
p4,1,0.162464,1.951143,[35 34] ; [16 27],[31.41964286 37.58035714] ; [19.58035714 23.41964286],0
r3,1,0.171072,1.873528,[59 11] ; [40  3],[61.32743363  8.67256637] ; [37.67256637  5.32743363],0
p8,1,0.225301,1.470285,[27 42] ; [12 31],[24.02678571 44.97321429] ; [14.97321429 28.02678571],0
n1,1,0.288256,1.127751,[12 13] ; [ 5 11],[10.36585366 14.63414634] ; [6.63414634 9.36585366],0
b4,1,0.294434,1.099234,[42 28] ; [30 13],[44.60176991 25.39823009] ; [27.39823009 15.60176991],0
p1,1,0.298268,1.081922,[ 7 62] ; [ 2 41],[ 5.54464286 63.45535714] ; [ 3.45535714 39.54464286],0
u2,1,0.298799,1.079545,[ 6 10] ; [12 10],[7.57894737 8.42105263] ; [10.42105263 11.57894737],0
s2,1,0.364662,0.821773,[19 50] ; [15 27],[21.13513514 47.86486486] ; [12.86486486 29.13513514],0
b5,1,0.368125,0.809984,[43 27] ; [30 13],[45.22123894 24.77876106] ; [27.77876106 15.22123894],0
s6,1,0.377882,0.777582,[31 38] ; [23 20],[33.26785714 35.73214286] ; [20.73214286 22.26785714],0
s8,1,0.39781,0.714935,[13 56] ; [11 32],[14.78571429 54.21428571] ; [ 9.21428571 33.78571429],0
a1,1,0.430196,0.622296,[ 6 64] ; [ 2 41],[ 4.95575221 65.04424779] ; [ 3.04424779 39.95575221],0
v2,1,0.450358,0.56975,[33 36] ; [17 25],[31.08108108 37.91891892] ; [18.91891892 23.08108108],0
r2,1,0.522507,0.408943,[63  7] ; [37  6],[61.94690265  8.05309735] ; [38.05309735  4.94690265],0
s5,1,0.536984,0.381159,[11 57] ; [ 5 37],[ 9.89090909 58.10909091] ; [ 6.10909091 35.89090909],0
b2,1,0.601777,0.272324,[15 29] ; [ 7 18],[14.02898551 29.97101449] ; [ 7.97101449 17.02898551],0
b3,1,0.601777,0.272324,[15 29] ; [ 7 18],[14.02898551 29.97101449] ; [ 7.97101449 17.02898551],0
p7,1,0.614083,0.254271,[29 41] ; [19 22],[30.27027027 39.72972973] ; [17.72972973 23.27027027],0
p5,1,0.626907,0.236278,[ 2 67] ; [ 2 41],[ 2.46428571 66.53571429] ; [ 1.53571429 41.46428571],0
n3,1,0.635738,0.224359,[16 10] ; [11  5],[16.71428571  9.28571429] ; [10.28571429  5.71428571],0
r4,1,0.741615,0.108712,[54 16] ; [32 11],[53.27433628 16.72566372] ; [32.72566372 10.27433628],0
u3,1,0.77297,0.083227,[9 7] ; [14  9],[9.43589744 6.56410256] ; [13.56410256  9.43589744],0
p2,1,0.799282,0.064656,[44 26] ; [26 17],[43.36283186 26.63716814] ; [26.63716814 16.36283186],0
s1,1,0.801948,0.062914,[ 4 65] ; [ 3 40],[ 4.3125 64.6875] ; [ 2.6875 40.3125],0
n2,1,0.849727,0.035897,[17 10] ; [9 6],[16.71428571 10.28571429] ; [9.28571429 5.71428571],0
p3,1,0.853143,0.034265,[21 47] ; [14 29],[21.44144144 46.55855856] ; [13.55855856 29.44144144],0
s7,1,0.869782,0.026875,[20 45] ; [12 29],[19.62264151 45.37735849] ; [12.37735849 28.62264151],0
s3,1,0.882096,0.021997,[29 41] ; [18 24],[29.375 40.625] ; [17.625 24.375],0
b1,1,0.889926,0.019154,[40 30] ; [24 19],[39.6460177 30.3539823] ; [24.3539823 18.6460177],0
p11,1,0.904459,0.014407,[35 35] ; [21 22],[34.69026549 35.30973451] ; [21.30973451 21.69026549],0
