Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,5.6e-05,16.226054,[ 2 28] ; [4 1],[ 5.14285714 24.85714286] ; [0.85714286 4.14285714],1
p10,1,0.016395,5.76,[ 3 27] ; [3 3],[ 5. 25.] ; [1. 5.],0
p3,1,0.016395,5.76,[ 3 27] ; [3 3],[ 5. 25.] ; [1. 5.],0
p6,1,0.0173,5.665709,[ 1 28] ; [2 4],[ 2.48571429 26.51428571] ; [0.51428571 5.48571429],0
p11,1,0.038301,4.291626,[ 4 26] ; [3 3],[ 5.83333333 24.16666667] ; [1.16666667 4.83333333],0
v3,1,0.072998,3.214286,[ 5 25] ; [3 3],[ 6.66666667 23.33333333] ; [1.33333333 4.66666667],0
p2,1,0.121335,2.4,[ 6 24] ; [3 3],[ 7.5 22.5] ; [1.5 4.5],0
a3,1,0.154398,2.028257,[15 14] ; [5 1],[16.57142857 12.42857143] ; [3.42857143 2.57142857],0
d3,1,0.173617,1.851429,[11 19] ; [4 2],[12.5 17.5] ; [2.5 3.5],0
s8,1,0.193059,1.694118,[ 1 29] ; [1 5],[ 1.66666667 28.33333333] ; [0.33333333 5.66666667],0
v1,1,0.230139,1.44,[ 4 26] ; [2 4],[ 5. 25.] ; [1. 5.],0
s2,1,0.230139,1.44,[ 4 26] ; [2 4],[ 5. 25.] ; [1. 5.],0
v4,1,0.230139,1.44,[12 18] ; [4 2],[13.33333333 16.66666667] ; [2.66666667 3.33333333],0
b1,1,0.230139,1.44,[18 12] ; [2 4],[16.66666667 13.33333333] ; [3.33333333 2.66666667],0
s7,1,0.266716,1.23356,[ 4 24] ; [2 4],[ 4.94117647 23.05882353] ; [1.05882353 4.94117647],0
a5,1,0.295971,1.09226,[13 17] ; [4 2],[14.16666667 15.83333333] ; [2.83333333 3.16666667],0
r2,1,0.29751,1.08532,[16 13] ; [4 1],[17.05882353 11.94117647] ; [2.94117647 2.05882353],0
n4,1,0.342782,0.9,[21  9] ; [3 3],[20. 10.] ; [4. 2.],0
v2,1,0.346373,0.8867,[ 5 25] ; [2 4],[ 5.83333333 24.16666667] ; [1.16666667 4.83333333],0
r4,1,0.418492,0.654545,[ 2 28] ; [1 5],[ 2.5 27.5] ; [0.5 5.5],0
a7,1,0.437813,0.602007,[10 20] ; [3 3],[10.83333333 19.16666667] ; [2.16666667 3.83333333],0
b3,1,0.446248,0.580165,[10 12] ; [1 3],[ 9.30769231 12.69230769] ; [1.69230769 2.30769231],0
b2,1,0.446248,0.580165,[10 12] ; [1 3],[ 9.30769231 12.69230769] ; [1.69230769 2.30769231],0
r1,1,0.540818,0.374026,[11 19] ; [3 3],[11.66666667 18.33333333] ; [2.33333333 3.66666667],0
s4,1,0.605577,0.266667,[ 8 22] ; [1 5],[ 7.5 22.5] ; [1.5 4.5],0
s1,1,0.635256,0.225,[ 3 27] ; [1 5],[ 3.33333333 26.66666667] ; [0.66666667 5.33333333],0
b4,1,0.650147,0.205714,[18 12] ; [3 3],[17.5 12.5] ; [3.5 2.5],0
n1,1,0.682665,0.167142,[ 7 11] ; [2 2],[ 7.36363636 10.63636364] ; [1.63636364 2.36363636],0
s3,1,0.691579,0.157381,[ 7 22] ; [1 5],[ 6.62857143 22.37142857] ; [1.37142857 4.62857143],0
n3,1,0.748328,0.102941,[ 7 10] ; [2 2],[7.28571429 9.71428571] ; [1.71428571 2.28571429],0
b5,1,0.764177,0.09,[13 17] ; [3 3],[13.33333333 16.66666667] ; [2.66666667 3.33333333],0
d2,1,0.816921,0.053596,[13 16] ; [3 3],[13.25714286 15.74285714] ; [2.74285714 3.25714286],0
n2,1,0.840039,0.040741,[ 8 10] ; [2 2],[8.18181818 9.81818182] ; [1.81818182 2.18181818],0
s6,1,0.850618,0.035468,[ 6 24] ; [1 5],[ 5.83333333 24.16666667] ; [1.16666667 4.83333333],0
n5,1,0.871457,0.026182,[21  9] ; [4 2],[20.83333333  9.16666667] ; [4.16666667 1.83333333],0
a6,1,0.881316,0.022291,[14 16] ; [3 3],[14.16666667 15.83333333] ; [2.83333333 3.16666667],0
d4,1,0.881316,0.022291,[16 14] ; [3 3],[15.83333333 14.16666667] ; [3.16666667 2.83333333],0
d5,1,0.881316,0.022291,[16 14] ; [3 3],[15.83333333 14.16666667] ; [3.16666667 2.83333333],0
d1,1,1.0,0.0,[10 20] ; [2 4],[10. 20.] ; [2. 4.],0
