Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,0.012993,6.17008,[ 1 25] ; [10 25],[ 4.68852459 21.31147541] ; [ 6.31147541 28.68852459],0
b2,1,0.012993,6.17008,[ 1 25] ; [10 25],[ 4.68852459 21.31147541] ; [ 6.31147541 28.68852459],0
n5,1,0.029674,4.728102,[36 24] ; [47 13],[41.5 18.5] ; [41.5 18.5],0
a3,1,0.030902,4.658385,[41 19] ; [51  9],[46. 14.] ; [46. 14.],0
d5,1,0.059111,3.562152,[45 15] ; [53  7],[49. 11.] ; [49. 11.],0
s8,1,0.067736,3.337041,[26 34] ; [36 24],[31. 29.] ; [31. 29.],0
p5,1,0.067889,3.333333,[ 3 57] ; [ 9 51],[ 6. 54.] ; [ 6. 54.],0
n4,1,0.070677,3.267227,[38 22] ; [47 13],[42.5 17.5] ; [42.5 17.5],0
s5,1,0.107211,2.594852,[25 30] ; [34 22],[29.23423423 25.76576577] ; [29.76576577 26.23423423],0
u1,1,0.125952,2.341697,[10 50] ; [17 43],[13.5 46.5] ; [13.5 46.5],0
u2,1,0.128872,2.306043,[10  9] ; [2 7],[ 8.14285714 10.85714286] ; [3.85714286 5.14285714],0
p7,1,0.135531,2.227979,[35 24] ; [42 16],[38.82905983 20.17094017] ; [38.17094017 19.82905983],0
p8,1,0.138814,2.191062,[27 33] ; [34 24],[31.01694915 28.98305085] ; [29.98305085 28.01694915],0
a4,1,0.143235,2.142857,[24 36] ; [32 28],[28. 32.] ; [28. 32.],0
s7,1,0.143862,2.136152,[32 26] ; [39 18],[35.80869565 22.19130435] ; [35.19130435 21.80869565],0
r3,1,0.170374,1.879646,[55  4] ; [58  1],[56.5  2.5] ; [56.5  2.5],0
r4,1,0.170532,1.878261,[56  4] ; [59  1],[57.5  2.5] ; [57.5  2.5],0
v2,1,0.19358,1.690158,[25 32] ; [33 26],[28.5 28.5] ; [29.5 29.5],0
p11,1,0.224177,1.477428,[40 20] ; [46 14],[43. 17.] ; [43. 17.],0
a6,1,0.239015,1.386393,[44 16] ; [38 22],[41. 19.] ; [41. 19.],0
p4,1,0.250829,1.318681,[36 24] ; [42 18],[39. 21.] ; [39. 21.],0
b4,1,0.269023,1.221719,[37 23] ; [31 29],[34. 26.] ; [34. 26.],0
a5,1,0.286331,1.136794,[43 17] ; [48 12],[45.5 14.5] ; [45.5 14.5],0
v4,1,0.300961,1.069933,[59  1] ; [56  3],[57.98319328  2.01680672] ; [57.01680672  1.98319328],0
p10,1,0.344059,0.895248,[49 11] ; [51  7],[50.84745763  9.15254237] ; [49.15254237  8.84745763],0
b1,1,0.345779,0.888889,[20 40] ; [25 35],[22.5 37.5] ; [22.5 37.5],0
b5,1,0.349745,0.874381,[34 26] ; [39 21],[36.5 23.5] ; [36.5 23.5],0
p3,1,0.359637,0.839161,[30 30] ; [35 25],[32.5 27.5] ; [32.5 27.5],0
a8,1,0.388564,0.743432,[ 2 54] ; [ 4 51],[ 3.02702703 52.97297297] ; [ 2.97297297 52.02702703],0
p6,1,0.412192,0.672471,[24 36] ; [28 31],[26.21848739 33.78151261] ; [25.78151261 33.21848739],0
u3,1,0.439161,0.598475,[12  7] ; [7 2],[12.89285714  6.10714286] ; [6.10714286 2.89285714],0
s2,1,0.450054,0.570517,[40 19] ; [43 15],[41.85470085 17.14529915] ; [41.14529915 16.85470085],0
n1,1,0.48384,0.490196,[ 4 11] ; [4 6],[ 4.8 10.2] ; [3.2 6.8],0
d4,1,0.486576,0.484088,[47 13] ; [50 10],[48.5 11.5] ; [48.5 11.5],0
a2,1,0.522352,0.409246,[13 47] ; [16 44],[14.5 45.5] ; [14.5 45.5],0
v3,1,0.551659,0.354354,[17 42] ; [20 39],[18.5 40.5] ; [18.5 40.5],0
r2,1,0.558746,0.34188,[58  2] ; [59  1],[58.5  1.5] ; [58.5  1.5],0
d1,1,0.571608,0.32,[36 24] ; [39 21],[37.5 22.5] ; [37.5 22.5],0
d2,1,0.58383,0.300083,[28 32] ; [31 29],[29.5 30.5] ; [29.5 30.5],0
p9,1,0.641979,0.216164,[51  9] ; [51  7],[51.86440678  8.13559322] ; [50.13559322  7.86440678],0
s1,1,0.647671,0.20885,[ 3 56] ; [ 2 57],[ 2.5 56.5] ; [ 2.5 56.5],0
n3,1,0.656005,0.198413,[13  2] ; [8 2],[12.6  2.4] ; [8.4 1.6],0
s3,1,0.665172,0.187302,[46 13] ; [44 15],[45. 14.] ; [45. 14.],0
p12,1,0.748596,0.102715,[ 5 55] ; [ 4 55],[ 4.53781513 55.46218487] ; [ 4.46218487 54.53781513],0
p1,1,0.75173,0.100083,[ 5 55] ; [ 6 54],[ 5.5 54.5] ; [ 5.5 54.5],0
n6,1,0.793486,0.068532,[51  9] ; [52  8],[51.5  8.5] ; [51.5  8.5],0
a7,1,0.8433,0.039075,[41 19] ; [42 18],[41.5 18.5] ; [41.5 18.5],0
n2,1,0.855702,0.033069,[11  4] ; [7 3],[10.8  4.2] ; [7.2 2.8],0
s6,1,0.945144,0.004734,[52  7] ; [50  7],[51.87931034  7.12068966] ; [50.12068966  6.87931034],0
p2,1,1.0,0.0,[47 13] ; [47 13],[47. 13.] ; [47. 13.],0
d3,1,1.0,0.0,[47 13] ; [47 13],[47. 13.] ; [47. 13.],0
