Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,1e-06,24.955689,[ 1 12] ; [27  4],[8.27272727 4.72727273] ; [19.72727273 11.27272727],1
p11,1,0.000289,13.138131,[5 8] ; [28  3],[9.75 3.25] ; [23.25  7.75],1
a5,1,0.005412,7.73649,[ 2 11] ; [19 12],[6.20454545 6.79545455] ; [14.79545455 16.20454545],0
p2,1,0.010377,6.569065,[6 7] ; [26  5],[9.45454545 3.54545455] ; [22.54545455  8.45454545],0
n5,1,0.010377,6.569065,[6 7] ; [26  5],[9.45454545 3.54545455] ; [22.54545455  8.45454545],0
r3,1,0.019301,5.474064,[7 6] ; [26  4],[9.97674419 3.02325581] ; [23.02325581  6.97674419],0
r4,1,0.026082,4.950585,[ 1 12] ; [13 18],[4.13636364 8.86363636] ; [ 9.86363636 21.13636364],0
s8,1,0.039642,4.23314,[ 1 12] ; [12 19],[3.84090909 9.15909091] ; [ 9.15909091 21.84090909],0
p8,1,0.040242,4.207637,[ 2 11] ; [15 16],[5.02272727 7.97727273] ; [11.97727273 19.02272727],0
p7,1,0.081244,3.039833,[ 3 10] ; [16 15],[5.61363636 7.38636364] ; [13.38636364 17.61363636],0
b3,1,0.083265,3.0,[1 8] ; [ 8 10],[3. 6.] ; [ 6. 12.],0
b2,1,0.083265,3.0,[1 8] ; [ 8 10],[3. 6.] ; [ 6. 12.],0
u2,1,0.109504,2.561364,[2 6] ; [9 6],[3.82608696 4.17391304] ; [7.17391304 7.82608696],0
a4,1,0.123291,2.375011,[ 1 12] ; [ 9 22],[ 2.95454545 10.04545455] ; [ 7.04545455 23.95454545],0
p5,1,0.123291,2.375011,[ 1 12] ; [ 9 22],[ 2.95454545 10.04545455] ; [ 7.04545455 23.95454545],0
a7,1,0.144735,2.126885,[4 9] ; [17 14],[6.20454545 6.79545455] ; [14.79545455 16.20454545],0
s5,1,0.174125,1.847068,[ 1 12] ; [ 8 23],[ 2.65909091 10.34090909] ; [ 6.34090909 24.65909091],0
s7,1,0.228159,1.452302,[ 2 11] ; [10 20],[3.62790698 9.37209302] ; [ 8.37209302 21.62790698],0
d3,1,0.234929,1.410765,[5 8] ; [18 13],[6.79545455 6.20454545] ; [16.20454545 14.79545455],0
d5,1,0.258362,1.277513,[6 7] ; [20 11],[7.68181818 5.31818182] ; [18.31818182 12.68181818],0
p4,1,0.258362,1.277513,[6 7] ; [20 11],[7.68181818 5.31818182] ; [18.31818182 12.68181818],0
n3,1,0.263552,1.25,[4 1] ; [5 5],[3. 2.] ; [6. 4.],0
d4,1,0.27433,1.194969,[7 6] ; [22  9],[8.56818182 4.43181818] ; [20.43181818 10.56818182],0
d2,1,0.318236,0.996184,[ 3 10] ; [12 19],[4.43181818 8.56818182] ; [10.56818182 20.43181818],0
v3,1,0.340156,0.909843,[ 2 11] ; [ 9 22],[3.25 9.75] ; [ 7.75 23.25],0
v4,1,0.381996,0.764268,[7 6] ; [21 10],[8.27272727 4.72727273] ; [19.72727273 11.27272727],0
a6,1,0.425539,0.634969,[5 8] ; [16 15],[6.20454545 6.79545455] ; [14.79545455 16.20454545],0
a3,1,0.425539,0.634969,[5 8] ; [16 15],[6.20454545 6.79545455] ; [14.79545455 16.20454545],0
n2,1,0.438578,0.6,[4 1] ; [6 4],[3.33333333 1.66666667] ; [6.66666667 3.33333333],0
a8,1,0.462786,0.539149,[ 1 11] ; [ 5 24],[ 1.75609756 10.24390244] ; [ 4.24390244 24.75609756],0
b1,1,0.469111,0.524069,[7 6] ; [13 18],[5.90909091 7.09090909] ; [14.09090909 16.90909091],0
v2,1,0.487662,0.481682,[4 9] ; [13 18],[5.02272727 7.97727273] ; [11.97727273 19.02272727],0
a1,1,0.516375,0.421127,[ 1 12] ; [ 1 30],[ 0.59090909 12.40909091] ; [ 1.40909091 29.59090909],0
s1,1,0.516375,0.421127,[ 1 12] ; [ 1 30],[ 0.59090909 12.40909091] ; [ 1.40909091 29.59090909],0
n4,1,0.540089,0.375375,[8 5] ; [22  9],[8.86363636 4.13636364] ; [21.13636364  9.86363636],0
s2,1,0.540089,0.375375,[5 8] ; [ 9 22],[4.13636364 8.86363636] ; [ 9.86363636 21.13636364],0
v1,1,0.542519,0.370891,[ 3 10] ; [10 21],[3.84090909 9.15909091] ; [ 9.15909091 21.84090909],0
d1,1,0.542519,0.370891,[ 3 10] ; [10 21],[3.84090909 9.15909091] ; [ 9.15909091 21.84090909],0
p1,1,0.586282,0.296189,[ 2 11] ; [ 3 28],[ 1.47727273 11.52272727] ; [ 3.52272727 27.47727273],0
p12,1,0.619254,0.246917,[ 1 12] ; [ 4 27],[ 1.47727273 11.52272727] ; [ 3.52272727 27.47727273],0
u3,1,0.679109,0.171131,[2 6] ; [ 5 10],[2.43478261 5.56521739] ; [ 4.56521739 10.43478261],0
n1,1,0.679708,0.170455,[1 4] ; [3 7],[1.33333333 3.66666667] ; [2.66666667 7.33333333],0
s3,1,0.735937,0.11373,[4 9] ; [ 8 23],[3.54545455 9.45454545] ; [ 8.45454545 22.54545455],0
s6,1,0.741078,0.109181,[6 7] ; [16 15],[6.5 6.5] ; [15.5 15.5],0
b4,1,0.851399,0.035094,[8 5] ; [20 11],[8.27272727 4.72727273] ; [19.72727273 11.27272727],0
r1,1,0.922934,0.009358,[4 9] ; [10 21],[4.13636364 8.86363636] ; [ 9.86363636 21.13636364],0
s4,1,0.950885,0.003794,[ 2 11] ; [ 5 26],[ 2.06818182 10.93181818] ; [ 4.93181818 26.06818182],0
p3,1,0.987695,0.000238,[5 8] ; [12 19],[5.02272727 7.97727273] ; [11.97727273 19.02272727],0
b5,1,0.987695,0.000238,[8 5] ; [19 12],[7.97727273 5.02272727] ; [19.02272727 11.97727273],0
