Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,3e-06,21.724572,[39 18] ; [ 50 103],[24.15714286 32.84285714] ; [64.84285714 88.15714286],1
p12,1,2.7e-05,17.594372,[ 9 50] ; [  2 157],[ 2.97706422 56.02293578] ; [  8.02293578 150.97706422],1
r2,1,0.002615,9.058048,[58  1] ; [131  27],[51.38709677  7.61290323] ; [137.61290323  20.38709677],0
a3,1,0.009104,6.802296,[41 18] ; [78 79],[32.50462963 26.49537037] ; [86.49537037 70.50462963],0
b1,1,0.043018,4.094678,[15 44] ; [64 95],[21.38073394 37.61926606] ; [ 57.61926606 101.38073394],0
v1,1,0.051199,3.801753,[28 30] ; [ 53 104],[21.85116279 36.14883721] ; [59.14883721 97.85116279],0
u2,1,0.087936,2.911765,[12  6] ; [36 45],[8.72727273 9.27272727] ; [39.27272727 41.72727273],0
p5,1,0.094672,2.793084,[ 5 54] ; [  5 154],[ 2.70642202 56.29357798] ; [  7.29357798 151.70642202],0
b4,1,0.104143,2.640919,[43 16] ; [97 62],[37.88990826 21.11009174] ; [102.11009174  56.88990826],0
r4,1,0.10514,2.625786,[48 11] ; [112  47],[43.30275229 15.69724771] ; [116.69724771  42.30275229],0
a1,1,0.110145,2.552141,[ 6 53] ; [  7 152],[ 3.51834862 55.48165138] ; [  9.48165138 149.51834862],0
p8,1,0.117935,2.444527,[17 42] ; [ 30 128],[12.77880184 46.22119816] ; [ 34.22119816 123.77880184],0
v4,1,0.124351,2.36164,[53  6] ; [129  30],[49.25688073  9.74311927] ; [132.74311927  26.25688073],0
a7,1,0.143043,2.144915,[45 13] ; [107  52],[40.62672811 17.37327189] ; [111.37327189  47.62672811],0
s3,1,0.151143,2.06068,[23 34] ; [ 47 110],[18.64485981 38.35514019] ; [ 51.35514019 105.64485981],0
a5,1,0.157044,2.002461,[40 19] ; [91 68],[35.45412844 23.54587156] ; [95.54587156 63.45412844],0
d2,1,0.158269,1.990685,[26 31] ; [ 55 102],[21.57476636 35.42523364] ; [59.42523364 97.57476636],0
s2,1,0.161272,1.962255,[18 40] ; [ 34 122],[14.09345794 43.90654206] ; [ 37.90654206 118.09345794],0
n4,1,0.187038,1.740792,[41 18] ; [95 64],[36.80733945 22.19266055] ; [99.19266055 59.80733945],0
r3,1,0.187056,1.740651,[52  6] ; [130  28],[48.87037037  9.12962963] ; [133.12962963  24.87037037],0
r1,1,0.2095,1.574881,[42 17] ; [98 60],[38.06451613 20.93548387] ; [101.93548387  56.06451613],0
n2,1,0.228676,1.449077,[13  3] ; [38 20],[11.02702703  4.97297297] ; [39.97297297 18.02702703],0
s4,1,0.262526,1.255385,[ 6 52] ; [ 26 132],[ 8.59259259 49.40740741] ; [ 23.40740741 134.59259259],0
