Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,7.6e-05,15.651437,[34 10] ; [28 43],[23.72173913 20.27826087] ; [38.27826087 32.72173913],1
v2,1,0.000552,11.930808,[28 17] ; [20 48],[19.11504425 25.88495575] ; [28.88495575 39.11504425],1
p7,1,0.001506,10.071431,[31 14] ; [27 43],[22.69565217 22.30434783] ; [35.30434783 34.69565217],0
r1,1,0.002218,9.36,[33 12] ; [32 40],[25. 20.] ; [40. 32.],0
p2,1,0.003126,8.732679,[35  9] ; [37 34],[27.54782609 16.45217391] ; [44.45217391 26.54782609],0
p9,1,0.00518,7.815501,[34 11] ; [34 35],[26.84210526 18.15789474] ; [41.15789474 27.84210526],0
a3,1,0.006609,7.376245,[35 10] ; [38 34],[28.07692308 16.92307692] ; [44.92307692 27.07692308],0
p11,1,0.007014,7.26932,[36  9] ; [40 32],[29.23076923 15.76923077] ; [46.76923077 25.23076923],0
s2,1,0.008281,6.971633,[12 33] ; [ 6 65],[ 6.98275862 38.01724138] ; [11.01724138 59.98275862],0
r3,1,0.015938,5.809655,[39  6] ; [48 24],[33.46153846 11.53846154] ; [53.53846154 18.46153846],0
p5,1,0.018587,5.539914,[ 5 39] ; [ 1 71],[ 2.27586207 41.72413793] ; [ 3.72413793 68.27586207],0
v3,1,0.020146,5.399161,[17 27] ; [13 56],[11.68141593 32.31858407] ; [18.31858407 50.68141593],0
a5,1,0.027866,4.83631,[30 15] ; [33 39],[24.23076923 20.76923077] ; [38.76923077 33.23076923],0
p4,1,0.033593,4.515299,[20 24] ; [18 51],[14.79646018 29.20353982] ; [23.20353982 45.79646018],0
n3,1,0.037553,4.32517,[12  2] ; [16 14],[8.90909091 5.09090909] ; [19.09090909 10.90909091],0
p8,1,0.03958,4.235789,[20 24] ; [19 52],[14.92173913 29.07826087] ; [24.07826087 46.92173913],0
s5,1,0.042567,4.112497,[ 9 36] ; [ 5 64],[ 5.52631579 39.47368421] ; [ 8.47368421 60.52631579],0
n5,1,0.054237,3.705393,[35 10] ; [43 28],[30.25862069 14.74137931] ; [47.74137931 23.25862069],0
r4,1,0.067924,3.332494,[32 13] ; [39 33],[27.30769231 17.69230769] ; [43.69230769 28.30769231],0
d1,1,0.078664,3.0923,[21 24] ; [22 50],[16.53846154 28.46153846] ; [26.46153846 45.53846154],0
d4,1,0.088739,2.897109,[33 12] ; [41 30],[28.70689655 16.29310345] ; [45.29310345 25.70689655],0
v4,1,0.097239,2.750249,[38  6] ; [52 19],[34.43478261  9.56521739] ; [55.56521739 15.43478261],0
p3,1,0.098233,2.734007,[16 28] ; [16 56],[12.13793103 31.86206897] ; [19.86206897 52.13793103],0
n1,1,0.102312,2.669124,[7 6] ; [ 9 23],[4.62222222 8.37777778] ; [11.37777778 20.62222222],0
s4,1,0.143205,2.143178,[ 6 39] ; [ 4 68],[ 3.84615385 41.15384615] ; [ 6.15384615 65.84615385],0
s1,1,0.144849,2.125676,[ 4 41] ; [ 2 70],[ 2.30769231 42.69230769] ; [ 3.69230769 68.30769231],0
b2,1,0.165142,1.926498,[17 14] ; [17 27],[14.05333333 16.94666667] ; [19.94666667 24.05333333],0
b3,1,0.165142,1.926498,[17 14] ; [17 27],[14.05333333 16.94666667] ; [19.94666667 24.05333333],0
d5,1,0.165902,1.919586,[29 16] ; [37 35],[25.38461538 19.61538462] ; [40.61538462 31.38461538],0
b1,1,0.178286,1.811856,[18 27] ; [38 34],[21.53846154 23.46153846] ; [34.46153846 37.53846154],0
d2,1,0.211319,1.562364,[24 21] ; [29 41],[20.73913043 24.26086957] ; [32.26086957 37.73913043],0
u3,1,0.22729,1.457742,[5 5] ; [10 24],[3.40909091 6.59090909] ; [11.59090909 22.40909091],0
a4,1,0.249727,1.324829,[20 25] ; [24 47],[17.06896552 27.93103448] ; [26.93103448 44.06896552],0
n2,1,0.295454,1.0946,[10  3] ; [20 13],[8.47826087 4.52173913] ; [21.52173913 11.47826087],0
u1,1,0.311631,1.02375,[ 3 42] ; [ 2 70],[ 1.92307692 43.07692308] ; [ 3.07692308 68.92307692],0
a2,1,0.311631,1.02375,[ 3 42] ; [ 2 70],[ 1.92307692 43.07692308] ; [ 3.07692308 68.92307692],0
b4,1,0.349076,0.876815,[21 24] ; [40 32],[23.46153846 21.53846154] ; [37.53846154 34.46153846],0
r2,1,0.36816,0.809865,[37  7] ; [54 16],[35.12280702  8.87719298] ; [55.87719298 14.12280702],0
s8,1,0.383231,0.760311,[ 9 36] ; [10 62],[ 7.30769231 37.69230769] ; [11.69230769 60.30769231],0
s7,1,0.428768,0.62616,[11 31] ; [13 53],[ 9.33333333 32.66666667] ; [14.66666667 51.33333333],0
p6,1,0.564447,0.332062,[ 8 35] ; [10 59],[ 6.91071429 36.08928571] ; [11.08928571 57.91071429],0
n4,1,0.579098,0.307695,[31 14] ; [46 26],[29.61538462 15.38461538] ; [47.38461538 24.61538462],0
u2,1,0.672583,0.178595,[5 5] ; [14 19],[4.41860465 5.58139535] ; [14.58139535 18.41860465],0
a1,1,0.805269,0.060779,[ 3 42] ; [ 4 68],[ 2.69230769 42.30769231] ; [ 4.30769231 67.69230769],0
n6,1,0.866025,0.028463,[30 14] ; [48 24],[29.5862069 14.4137931] ; [48.4137931 23.5862069],0
d3,1,0.875976,0.024359,[15 30] ; [23 49],[14.61538462 30.38461538] ; [23.38461538 48.61538462],0
a8,1,0.923707,0.009171,[ 3 40] ; [ 5 62],[ 3.12727273 39.87272727] ; [ 4.87272727 62.12727273],0
p1,1,0.953815,0.003354,[ 3 42] ; [ 5 67],[ 3.07692308 41.92307692] ; [ 4.92307692 67.07692308],0
a6,1,0.976213,0.000889,[18 27] ; [29 43],[18.07692308 26.92307692] ; [28.92307692 43.07692308],0
s3,1,0.991129,0.000124,[13 32] ; [20 49],[13.02631579 31.97368421] ; [19.97368421 49.02631579],0
b5,1,1.0,0.0,[20 25] ; [32 40],[20. 25.] ; [32. 40.],0
