Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,6.3e-05,16.000174,[ 2 14] ; [57 29],[9.25490196 6.74509804] ; [49.74509804 36.25490196],1
d2,1,7.7e-05,15.642503,[ 2 15] ; [55 31],[9.40776699 7.59223301] ; [47.59223301 38.40776699],1
a5,1,0.000142,14.481091,[ 6 11] ; [69 17],[12.37864078  4.62135922] ; [62.62135922 23.37864078],1
p10,1,0.000443,12.341052,[7 9] ; [72 14],[12.39215686  3.60784314] ; [66.60784314 19.39215686],1
s2,1,0.001409,10.194261,[ 4 12] ; [58 28],[9.7254902 6.2745098] ; [52.2745098 33.7254902],0
d4,1,0.002817,8.92258,[9 8] ; [73 13],[13.53398058  3.46601942] ; [68.46601942 17.53398058],0
p9,1,0.008003,7.032815,[11  6] ; [77  9],[14.52427184  2.47572816] ; [73.47572816 12.52427184],0
s8,1,0.013131,6.151385,[ 4 13] ; [48 37],[8.66666667 8.33333333] ; [43.33333333 41.66666667],0
p4,1,0.031252,4.639091,[ 7 10] ; [59 27],[10.89320388  6.10679612] ; [55.10679612 30.89320388],0
a3,1,0.03246,4.574022,[9 8] ; [67 19],[12.54368932  4.45631068] ; [63.45631068 22.54368932],0
s5,1,0.036735,4.362639,[ 2 13] ; [33 46],[5.58510638 9.41489362] ; [29.41489362 49.58510638],0
b5,1,0.043254,4.085451,[8 9] ; [62 24],[11.55339806  5.44660194] ; [58.44660194 27.55339806],0
d3,1,0.046844,3.950988,[8 9] ; [61 24],[11.5  5.5] ; [57.5 27.5],0
v3,1,0.056182,3.646646,[ 2 15] ; [29 53],[ 5.32323232 11.67676768] ; [25.67676768 56.32323232],0
s7,1,0.060914,3.512331,[7 9] ; [56 26],[10.28571429  5.71428571] ; [52.71428571 29.28571429],0
s6,1,0.085941,2.948805,[9 8] ; [62 22],[11.95049505  5.04950495] ; [59.04950495 24.95049505],0
p3,1,0.119964,2.417792,[ 5 12] ; [43 43],[7.9223301 9.0776699] ; [40.0776699 45.9223301],0
a7,1,0.155881,2.013737,[10  7] ; [65 21],[12.37864078  4.62135922] ; [62.62135922 23.37864078],0
r4,1,0.359846,0.838432,[16  1] ; [74 12],[14.85436893  2.14563107] ; [75.14563107 10.85436893],0
u2,1,0.373195,0.792998,[5 3] ; [15  4],[5.92592593 2.07407407] ; [14.07407407  4.92592593],0
r1,1,0.379447,0.772494,[14  3] ; [62 24],[12.54368932  4.45631068] ; [63.45631068 22.54368932],0
a6,1,0.410806,0.676468,[11  6] ; [64 22],[12.37864078  4.62135922] ; [62.62135922 23.37864078],0
v2,1,0.419015,0.653077,[9 8] ; [52 30],[10.47474747  6.52525253] ; [50.52525253 31.47474747],0
u3,1,0.551149,0.355263,[6 2] ; [12  7],[5.33333333 2.66666667] ; [12.66666667  6.33333333],0
p1,1,0.559794,0.340061,[ 1 16] ; [ 9 77],[ 1.65048544 15.34951456] ; [ 8.34951456 77.65048544],0
n5,1,0.559829,0.34,[11  6] ; [61 24],[12.  5.] ; [60. 25.],0
v1,1,0.56145,0.337199,[8 9] ; [46 38],[9.08910891 7.91089109] ; [44.91089109 39.08910891],0
n2,1,0.561994,0.336264,[3 1] ; [18 12],[2.47058824 1.52941176] ; [18.52941176 11.47058824],0
p5,1,0.640616,0.217937,[ 1 16] ; [ 3 83],[ 0.66019417 16.33980583] ; [ 3.33980583 82.66019417],0
n1,1,0.643297,0.214456,[2 2] ; [11 18],[1.57575758 2.42424242] ; [11.42424242 17.57575758],0
s3,1,0.653895,0.201025,[9 8] ; [50 35],[9.83333333 7.16666667] ; [49.16666667 35.83333333],0
p7,1,0.684181,0.165457,[12  5] ; [55 29],[11.27722772  5.72277228] ; [55.72277228 28.27722772],0
a8,1,0.687275,0.162052,[ 2 14] ; [ 7 69],[ 1.56521739 14.43478261] ; [ 7.43478261 68.56521739],0
b4,1,0.692165,0.156752,[9 8] ; [50 36],[9.73786408 7.26213592] ; [49.26213592 36.73786408],0
s4,1,0.69473,0.154012,[ 2 15] ; [13 71],[ 2.52475248 14.47524752] ; [12.47524752 71.52475248],0
b2,1,0.718858,0.12959,[7 5] ; [30 27],[6.43478261 5.56521739] ; [30.56521739 26.43478261],0
b3,1,0.718858,0.12959,[7 5] ; [30 27],[6.43478261 5.56521739] ; [30.56521739 26.43478261],0
p11,1,0.729914,0.119191,[12  5] ; [57 29],[11.38834951  5.61165049] ; [57.61165049 28.38834951],0
n6,1,0.792377,0.069287,[14  3] ; [73 13],[14.3592233  2.6407767] ; [72.6407767 13.3592233],0
a1,1,0.829117,0.046584,[ 1 16] ; [ 4 82],[ 0.82524272 16.17475728] ; [ 4.17475728 81.82524272],0
v4,1,0.869869,0.026839,[16  1] ; [80  6],[15.84466019  1.15533981] ; [80.15533981  5.84466019],0
p2,1,0.88958,0.019275,[14  3] ; [72 14],[14.19417476  2.80582524] ; [71.80582524 14.19417476],0
n3,1,0.941157,0.005449,[3 1] ; [23  7],[3.05882353 0.94117647] ; [22.94117647  7.05882353],0
b1,1,0.958325,0.002731,[ 7 10] ; [36 50],[7.09708738 9.90291262] ; [35.90291262 50.09708738],0
n4,1,0.983758,0.000414,[14  3] ; [71 15],[14.02912621  2.97087379] ; [70.97087379 15.02912621],0
