Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,23.80064,[124  10] ; [19 13],[115.43373494  18.56626506] ; [27.56626506  4.43373494],1
r2,1,0.000628,11.690581,[126   6] ; [23  7],[121.40740741  10.59259259] ; [27.59259259  2.40740741],1
p2,1,0.004475,8.080266,[106  26] ; [18 14],[99.80487805 32.19512195] ; [24.19512195  7.80487805],0
p10,1,0.020373,5.379665,[95 38] ; [16 16],[89.47272727 43.52727273] ; [21.52727273 10.47272727],0
a1,1,0.023949,5.098314,[  4 130] ; [ 4 28],[  6.45783133 127.54216867] ; [ 1.54216867 30.45783133],0
r3,1,0.023949,5.098314,[130   4] ; [28  4],[127.54216867   6.45783133] ; [30.45783133  1.54216867],0
p11,1,0.037818,4.31319,[93 41] ; [16 16],[87.98795181 46.01204819] ; [21.01204819 10.98795181],0
b5,1,0.040966,4.177438,[74 60] ; [24  8],[79.10843373 54.89156627] ; [18.89156627 13.10843373],0
v4,1,0.055976,3.652769,[122  10] ; [26  6],[119.12195122  12.87804878] ; [28.87804878  3.12195122],0
d2,1,0.069314,3.299187,[64 70] ; [21 11],[68.61445783 65.38554217] ; [16.38554217 15.61445783],0
b1,1,0.085516,2.956828,[49 85] ; [17 15],[53.27710843 80.72289157] ; [12.72289157 19.27710843],0
s3,1,0.092439,2.831375,[69 63] ; [11 20],[64.78527607 67.21472393] ; [15.21472393 15.78527607],0
p8,1,0.168538,1.895898,[61 72] ; [10 21],[57.57926829 75.42073171] ; [13.42073171 17.57926829],0
s1,1,0.180482,1.793647,[  5 129] ; [ 3 29],[  6.45783133 127.54216867] ; [ 1.54216867 30.45783133],0
n2,1,0.233368,1.420216,[21 15] ; [10  3],[22.7755102 13.2244898] ; [8.2244898 4.7755102],0
d5,1,0.239799,1.381774,[110  24] ; [29  3],[112.20481928  21.79518072] ; [26.79518072  5.20481928],0
u1,1,0.239799,1.381774,[ 24 110] ; [ 3 29],[ 21.79518072 112.20481928] ; [ 5.20481928 26.79518072],0
v2,1,0.245939,1.346224,[74 53] ; [15 17],[71.08805031 55.91194969] ; [17.91194969 14.08805031],0
