Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.0,103.625954,[344   9] ; [27 21],[326.59102244  26.40897756] ; [44.40897756  3.59102244],1
r1,1,0.0,89.199456,[301  50] ; [16 39],[274.05665025  76.94334975] ; [42.94334975 12.05665025],1
r3,1,0.0,83.71564,[345   8] ; [34 19],[329.52463054  23.47536946] ; [49.47536946  3.52463054],1
v4,1,0.0,80.070453,[346   9] ; [34 19],[330.6372549  24.3627451] ; [49.3627451  3.6372549],1
n6,1,0.0,27.799048,[298  57] ; [28 25],[283.65196078  71.34803922] ; [42.34803922 10.65196078],1
p2,1,3e-06,22.092489,[305  50] ; [33 22],[292.65853659  62.34146341] ; [45.34146341  9.65853659],1
s6,1,4.9e-05,16.47284,[240 112] ; [22 33],[226.59459459 125.40540541] ; [35.40540541 19.59459459],1
p9,1,6.7e-05,15.887447,[294  56] ; [33 21],[283.29207921  66.70792079] ; [43.70792079 10.29207921],1
n4,1,0.000369,12.681705,[263  91] ; [28 27],[251.86797066 102.13202934] ; [39.13202934 15.86797066],1
p10,1,0.000461,12.268066,[282  70] ; [31 22],[272.03950617  79.96049383] ; [40.96049383 12.03950617],1
p11,1,0.000664,11.587746,[271  84] ; [30 25],[260.62195122  94.37804878] ; [40.37804878 14.62195122],1
p4,1,0.001623,9.933694,[209 145] ; [20 35],[198.20537897 155.79462103] ; [30.79462103 24.20537897],0
a6,1,0.003153,8.716644,[278  77] ; [33 22],[269.2804878  85.7195122] ; [41.7195122 13.2804878],0
s2,1,0.004628,8.019381,[175 178] ; [16 39],[165.25245098 187.74754902] ; [25.74754902 29.25245098],0
n5,1,0.005045,7.863346,[248 105] ; [27 26],[239.10098522 113.89901478] ; [35.89901478 17.10098522],0
s8,1,0.008088,7.013896,[136 218] ; [11 44],[127.23227384 226.76772616] ; [19.76772616 35.23227384],0
v1,1,0.010333,6.576492,[159 188] ; [14 38],[150.45363409 196.54636591] ; [22.54636591 29.45363409],0
a2,1,0.015176,5.895863,[ 92 263] ; [ 6 49],[ 84.85365854 270.14634146] ; [13.14634146 41.85365854],0
p7,1,0.018948,5.506324,[213 134] ; [23 29],[205.24310777 141.75689223] ; [30.75689223 21.24310777],0
a1,1,0.021102,5.318347,[ 10 345] ; [ 5 50],[ 12.98780488 342.01219512] ; [ 2.01219512 52.98780488],0
