Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.000151,14.362708,[230 443] ; [25 14],[241.03230337 431.96769663] ; [13.96769663 25.03230337],1
v1,1,0.000294,13.109822,[377 275] ; [11 28],[366.10130246 285.89869754] ; [21.89869754 17.10130246],1
p3,1,0.007834,7.07096,[361 311] ; [12 26],[353.03661972 318.96338028] ; [19.96338028 18.03661972],0
p2,1,0.008299,6.967761,[582  88] ; [28 11],[576.44569817  93.55430183] ; [33.55430183  5.44569817],0
p6,1,0.009846,6.662561,[262 404] ; [ 7 31],[254.48011364 411.51988636] ; [14.51988636 23.48011364],0
s6,1,0.021946,5.250026,[468 190] ; [21 18],[461.6384505 196.3615495] ; [27.3615495 11.6384505],0
r4,1,0.026819,4.902454,[631  42] ; [33  6],[627.62921348  45.37078652] ; [36.37078652  2.62921348],0
p4,1,0.028749,4.7826,[426 244] ; [18 21],[419.57686883 250.42313117] ; [24.42313117 14.57686883],0
a4,1,0.031405,4.63066,[308 364] ; [11 28],[301.5021097 370.4978903] ; [17.4978903 21.5021097],0
a5,1,0.038342,4.289797,[513 160] ; [24 15],[507.58567416 165.41432584] ; [29.41432584  9.58567416],0
n6,1,0.050236,3.833579,[586  82] ; [30  9],[582.01980198  85.98019802] ; [33.98019802  5.01980198],0
p5,1,0.05443,3.699457,[ 87 581] ; [ 1 38],[ 83.145686 584.854314] ; [ 4.854314 34.145686],0
s1,1,0.060613,3.520536,[ 17 648] ; [ 3 36],[ 18.89204545 646.10795455] ; [ 1.10795455 37.89204545],0
b3,1,0.080597,3.052827,[159 235] ; [ 6 20],[154.78571429 239.21428571] ; [10.21428571 15.78571429],0
b2,1,0.080597,3.052827,[159 235] ; [ 6 20],[154.78571429 239.21428571] ; [10.21428571 15.78571429],0
a2,1,0.09576,2.774782,[165 508] ; [ 5 34],[160.68820225 512.31179775] ; [ 9.31179775 29.68820225],0
p11,1,0.123432,2.37322,[578  95] ; [30  9],[574.69662921  98.30337079] ; [33.30337079  5.69662921],0
n5,1,0.160234,1.972017,[527 142] ; [27 12],[523.48305085 145.51694915] ; [30.51694915  8.48305085],0
u1,1,0.189835,1.718896,[125 548] ; [ 4 35],[121.93398876 551.06601124] ; [ 7.06601124 31.93398876],0
n1,1,0.206711,1.594311,[44 83] ; [5 4],[45.75735294 81.24264706] ; [3.24264706 5.75735294],0
p8,1,0.220897,1.498532,[373 291] ; [18 21],[369.3086771 294.6913229] ; [21.6913229 17.3086771],0
b4,1,0.244946,1.351903,[385 288] ; [26 13],[388.48735955 284.51264045] ; [22.51264045 16.48735955],0
b5,1,0.296368,1.090468,[402 271] ; [20 19],[398.88483146 274.11516854] ; [23.11516854 15.88483146],0
a1,1,0.350227,0.872634,[ 30 643] ; [ 3 36],[ 31.19241573 641.80758427] ; [ 1.80758427 37.19241573],0
v2,1,0.381052,0.767305,[384 258] ; [20 18],[381.42352941 260.57647059] ; [22.57647059 15.42352941],0
d5,1,0.417448,0.657487,[550 120] ; [34  5],[551.87588152 118.12411848] ; [32.12411848  6.87588152],0
r2,1,0.419729,0.651073,[634  32] ; [36  3],[632.93617021  33.06382979] ; [37.06382979  1.93617021],0
s3,1,0.438616,0.599901,[385 281] ; [25 14],[387.31914894 278.68085106] ; [22.68085106 16.31914894],0
p1,1,0.441515,0.592342,[ 58 612] ; [ 2 37],[ 56.69957687 613.30042313] ; [ 3.30042313 35.69957687],0
s4,1,0.447994,0.575723,[120 547] ; [ 5 33],[118.26241135 548.73758865] ; [ 6.73758865 31.26241135],0
s5,1,0.462854,0.538984,[236 409] ; [12 27],[233.85964912 411.14035088] ; [14.14035088 24.85964912],0
s2,1,0.481844,0.494687,[364 304] ; [19 20],[361.87270156 306.12729844] ; [21.12729844 17.87270156],0
d4,1,0.501699,0.451341,[561 110] ; [31  8],[559.48169014 111.51830986] ; [32.51830986  6.48169014],0
s7,1,0.555899,0.346855,[334 311] ; [21 16],[335.74046921 309.25953079] ; [19.25953079 17.74046921],0
s8,1,0.574582,0.315077,[323 347] ; [17 22],[321.29760226 348.70239774] ; [18.70239774 20.29760226],0
d1,1,0.600895,0.273648,[408 265] ; [22 17],[406.44662921 266.55337079] ; [23.55337079 15.44662921],0
a3,1,0.604599,0.268115,[490 181] ; [27 12],[488.60140845 182.39859155] ; [28.39859155 10.60140845],0
v4,1,0.631498,0.230035,[645  25] ; [36  2],[644.44915254  25.55084746] ; [36.55084746  1.44915254],0
d3,1,0.644674,0.212681,[470 200] ; [26 13],[468.71650212 201.28349788] ; [27.28349788 11.71650212],0
n3,1,0.660267,0.1932,[96 30] ; [7 3],[95.42647059 30.57352941] ; [7.57352941 2.42647059],0
a8,1,0.661354,0.191884,[ 84 531] ; [ 6 31],[ 84.89263804 530.10736196] ; [ 5.10736196 31.89263804],0
p7,1,0.692922,0.155941,[448 211] ; [24 13],[446.90804598 212.09195402] ; [25.09195402 11.90804598],0
v3,1,0.707101,0.14119,[269 379] ; [15 24],[267.87772926 380.12227074] ; [16.12227074 22.87772926],0
a6,1,0.74227,0.108141,[465 206] ; [28 11],[465.91971831 205.08028169] ; [27.08028169 11.91971831],0
n4,1,0.76899,0.086257,[531 142] ; [30  9],[530.27106742 142.72893258] ; [30.72893258  8.27106742],0
n2,1,0.794368,0.067935,[97 30] ; [8 2],[97.33576642 29.66423358] ; [7.66423358 2.33576642],0
d2,1,0.837707,0.041954,[321 350] ; [18 21],[320.37887324 350.62112676] ; [18.62112676 20.37887324],0
r1,1,0.912076,0.012193,[545 125] ; [32  7],[545.26093089 124.73906911] ; [31.73906911  7.26093089],0
u2,1,0.915161,0.011349,[109  73] ; [7 5],[108.82474227  73.17525773] ; [7.17525773 4.82474227],0
a7,1,0.951534,0.003694,[496 175] ; [29 10],[496.16197183 174.83802817] ; [28.83802817 10.16197183],0
u3,1,0.987493,0.000246,[106  75] ; [7 5],[105.97409326  75.02590674] ; [7.02590674 4.97409326],0
