Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,2.6e-05,17.715053,[ 1 49] ; [4 5],[ 4.23728814 45.76271186] ; [0.76271186 8.23728814],1
s6,1,0.003519,8.516843,[14 37] ; [7 2],[17.85 33.15] ; [3.15 5.85],0
r4,1,0.003823,8.366013,[ 7 44] ; [5 4],[10.2 40.8] ; [1.8 7.2],0
p3,1,0.024126,5.085522,[10 40] ; [5 4],[12.71186441 37.28813559] ; [2.28813559 6.71186441],0
p1,1,0.042438,4.117647,[ 2 49] ; [2 7],[ 3.4 47.6] ; [0.6 8.4],0
d4,1,0.055006,3.681917,[28 23] ; [8 1],[30.6 20.4] ; [5.4 3.6],0
p4,1,0.076523,3.137255,[18 33] ; [6 3],[20.4 30.6] ; [3.6 5.4],0
b1,1,0.076523,3.137255,[33 18] ; [3 6],[30.6 20.4] ; [5.4 3.6],0
s7,1,0.125399,2.348552,[ 7 40] ; [3 5],[ 8.54545455 38.45454545] ; [1.45454545 6.54545455],0
b5,1,0.125475,2.347618,[31 20] ; [3 6],[28.9 22.1] ; [5.1 3.9],0
d2,1,0.143963,2.135076,[11 40] ; [4 5],[12.75 38.25] ; [2.25 6.75],0
p6,1,0.164394,1.933333,[ 7 42] ; [3 6],[ 8.44827586 40.55172414] ; [1.55172414 7.44827586],0
u2,1,0.189854,1.718751,[13 14] ; [4 1],[14.34375 12.65625] ; [2.65625 2.34375],0
b4,1,0.19936,1.647059,[28 23] ; [7 2],[29.75 21.25] ; [5.25 3.75],0
p10,1,0.253589,1.303425,[23 27] ; [6 3],[24.57627119 25.42372881] ; [4.42372881 4.57627119],0
s4,1,0.278076,1.176471,[ 9 42] ; [3 6],[10.2 40.8] ; [1.8 7.2],0
p2,1,0.280917,1.162646,[30 21] ; [7 2],[31.45 19.55] ; [5.55 3.45],0
u3,1,0.285836,1.139132,[ 5 22] ; [2 3],[ 5.90625 21.09375] ; [1.09375 3.90625],0
a4,1,0.296621,1.089325,[14 37] ; [1 8],[12.75 38.25] ; [2.25 6.75],0
p12,1,0.361558,0.832473,[ 2 49] ; [1 8],[ 2.55 48.45] ; [0.45 8.55],0
n4,1,0.384488,0.756303,[26 25] ; [6 3],[27.2 23.8] ; [4.8 4.2],0
p8,1,0.393248,0.728874,[15 35] ; [4 5],[16.10169492 33.89830508] ; [2.89830508 6.10169492],0
p7,1,0.422219,0.644131,[21 30] ; [5 4],[22.1 28.9] ; [3.9 5.1],0
s2,1,0.44169,0.591889,[11 40] ; [3 6],[11.9 39.1] ; [2.1 6.9],0
a5,1,0.445415,0.582294,[24 27] ; [3 6],[22.95 28.05] ; [4.05 4.95],0
n1,1,0.470027,0.521912,[ 6 17] ; [1 1],[ 6.44 16.56] ; [0.56 1.44],0
a6,1,0.489938,0.476662,[22 29] ; [5 4],[22.95 28.05] ; [4.05 4.95],0
s8,1,0.510439,0.433167,[ 7 44] ; [2 7],[ 7.65 43.35] ; [1.35 7.65],0
v4,1,0.511403,0.431195,[28 23] ; [6 3],[28.9 22.1] ; [5.1 3.9],0
p9,1,0.519622,0.414644,[27 22] ; [6 3],[27.87931034 21.12068966] ; [5.12068966 3.87931034],0
n6,1,0.551079,0.355388,[28 22] ; [6 3],[28.81355932 21.18644068] ; [5.18644068 3.81355932],0
v2,1,0.557561,0.343945,[16 34] ; [2 7],[15.25423729 34.74576271] ; [2.74576271 6.25423729],0
v1,1,0.623743,0.240642,[13 38] ; [3 6],[13.6 37.4] ; [2.4 6.6],0
d5,1,0.638157,0.221161,[24 27] ; [5 4],[24.65 26.35] ; [4.35 4.65],0
a7,1,0.717688,0.130719,[26 25] ; [4 5],[25.5 25.5] ; [4.5 4.5],0
s3,1,0.719654,0.128824,[14 36] ; [2 7],[13.55932203 36.44067797] ; [2.44067797 6.55932203],0
n3,1,0.763441,0.09058,[14  9] ; [1 1],[13.8  9.2] ; [1.2 0.8],0
n5,1,0.767837,0.087146,[31 20] ; [5 4],[30.6 20.4] ; [5.4 3.6],0
b3,1,0.780826,0.077419,[ 8 23] ; [1 4],[ 7.75 23.25] ; [1.25 3.75],0
b2,1,0.780826,0.077419,[ 8 23] ; [1 4],[ 7.75 23.25] ; [1.25 3.75],0
a8,1,0.783165,0.075733,[ 7 41] ; [1 8],[ 6.73684211 41.26315789] ; [1.26315789 7.73684211],0
r1,1,0.812897,0.056022,[15 36] ; [3 6],[15.3 35.7] ; [2.7 6.3],0
a3,1,0.844106,0.038669,[24 26] ; [4 5],[23.72881356 26.27118644] ; [4.27118644 4.72881356],0
d1,1,0.856544,0.03268,[10 41] ; [2 7],[10.2 40.8] ; [1.8 7.2],0
n2,1,0.858552,0.031762,[13 10] ; [1 1],[12.88 10.12] ; [1.12 0.88],0
a1,1,0.904074,0.014524,[ 5 46] ; [1 8],[ 5.1 45.9] ; [0.9 8.1],0
d3,1,0.941837,0.005323,[22 29] ; [4 5],[22.1 28.9] ; [3.9 5.1],0
r3,1,0.968974,0.001513,[33 17] ; [6 3],[33.05084746 16.94915254] ; [5.94915254 3.05084746],0
