Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,39.346353,[ 1 15] ; [89 20],[11.52  4.48] ; [78.48 30.52],1
v4,1,0.000411,12.480983,[9 7] ; [96 11],[13.65853659  2.34146341] ; [91.34146341 15.65853659],1
v2,1,0.000811,11.21592,[ 1 15] ; [54 52],[7.21311475 8.78688525] ; [47.78688525 58.21311475],1
a6,1,0.001307,10.332736,[ 3 13] ; [67 42],[8.96 7.04] ; [61.04 47.96],0
n6,1,0.009286,6.767064,[ 4 12] ; [65 44],[8.832 7.168] ; [60.168 48.832],0
p11,1,0.018037,5.592587,[ 6 10] ; [74 35],[10.24  5.76] ; [69.76 39.24],0
n2,1,0.019042,5.497661,[1 6] ; [19 11],[3.78378378 3.21621622] ; [16.21621622 13.78378378],0
r2,1,0.01945,5.460599,[10  5] ; [96 12],[12.92682927  2.07317073] ; [93.07317073 14.92682927],0
a7,1,0.022074,5.23992,[7 9] ; [78 30],[10.96774194  5.03225806] ; [74.03225806 33.96774194],0
r1,1,0.039968,4.219224,[7 9] ; [76 33],[10.624  5.376] ; [72.376 36.624],0
b1,1,0.06932,3.299058,[10  6] ; [42 67],[6.656 9.344] ; [45.344 63.656],0
p2,1,0.146014,2.113409,[9 7] ; [79 28],[11.44715447  4.55284553] ; [76.55284553 30.44715447],0
p6,1,0.158543,1.98807,[ 1 15] ; [22 82],[ 3.06666667 12.93333333] ; [19.93333333 84.06666667],0
s4,1,0.183366,1.770134,[ 3 13] ; [  9 100],[ 1.536 14.464] ; [10.464 98.536],0
u2,1,0.218152,1.516484,[5 2] ; [18 21],[3.5 3.5] ; [19.5 19.5],0
d5,1,0.256275,1.288766,[9 7] ; [76 32],[10.96774194  5.03225806] ; [74.03225806 33.96774194],0
a5,1,0.269079,1.221436,[ 6 10] ; [57 52],[8.064 7.936] ; [54.936 54.064],0
s7,1,0.2712,1.210667,[ 1 12] ; [21 82],[ 2.46551724 10.53448276] ; [19.53448276 83.46551724],0
d1,1,0.271223,1.210551,[ 5 11] ; [50 59],[7.04 8.96] ; [47.96 61.04],0
v3,1,0.271962,1.206825,[ 2 14] ; [25 75],[ 3.72413793 12.27586207] ; [23.27586207 76.72413793],0
s1,1,0.285706,1.139744,[ 2 14] ; [  6 103],[ 1.024 14.976] ; [  6.976 102.024],0
p1,1,0.297055,1.08737,[ 2 14] ; [  6 101],[ 1.04065041 14.95934959] ; [  6.95934959 100.04065041],0
b4,1,0.333816,0.934039,[11  5] ; [61 48],[9.216 6.784] ; [62.784 46.216],0
d2,1,0.360278,0.836924,[ 4 12] ; [40 69],[ 5.632 10.368] ; [38.368 70.632],0
d4,1,0.413981,0.667338,[11  5] ; [85 24],[12.288  3.712] ; [83.712 25.288],0
p3,1,0.437809,0.602018,[ 6 10] ; [30 77],[ 4.68292683 11.31707317] ; [31.31707317 75.68292683],0
p4,1,0.448371,0.574766,[ 4 12] ; [37 70],[ 5.33333333 10.66666667] ; [35.66666667 71.33333333],0
s5,1,0.475104,0.510081,[ 1 15] ; [13 92],[ 1.85123967 14.14876033] ; [12.14876033 92.85123967],0
p7,1,0.489006,0.478713,[6 9] ; [53 54],[7.25409836 7.74590164] ; [51.74590164 55.25409836],0
s8,1,0.501365,0.452046,[ 1 15] ; [13 96],[ 1.792 14.208] ; [12.208 96.792],0
a3,1,0.50609,0.442142,[9 7] ; [70 38],[10.19354839  5.80645161] ; [68.80645161 39.19354839],0
p10,1,0.543957,0.368255,[9 7] ; [51 55],[7.86885246 8.13114754] ; [52.13114754 53.86885246],0
n3,1,0.551476,0.35468,[4 3] ; [20  9],[4.66666667 2.33333333] ; [19.33333333  9.66666667],0
a4,1,0.560253,0.339267,[ 6 10] ; [33 76],[ 4.992 11.008] ; [34.008 74.992],0
p9,1,0.570243,0.322277,[8 8] ; [61 45],[9.04918033 6.95081967] ; [59.95081967 46.04918033],0
u3,1,0.592012,0.287213,[4 3] ; [18 21],[3.34782609 3.65217391] ; [18.65217391 20.34782609],0
v1,1,0.61892,0.247389,[ 4 12] ; [33 73],[ 4.85245902 11.14754098] ; [32.14754098 73.85245902],0
a2,1,0.699815,0.148664,[ 1 15] ; [10 99],[ 1.408 14.592] ; [ 9.592 99.408],0
n4,1,0.721606,0.126959,[ 6 10] ; [46 63],[6.656 9.344] ; [45.344 63.656],0
n1,1,0.736319,0.113389,[2 5] ; [ 7 24],[1.65789474 5.34210526] ; [ 7.34210526 23.65789474],0
s2,1,0.74797,0.103245,[ 3 13] ; [17 92],[ 2.56 13.44] ; [17.44 91.56],0
p8,1,0.761659,0.091993,[ 6 10] ; [36 71],[ 5.46341463 10.53658537] ; [36.53658537 70.46341463],0
s3,1,0.772735,0.083405,[ 4 10] ; [27 81],[ 3.55737705 10.44262295] ; [27.44262295 80.55737705],0
b5,1,0.797088,0.06611,[9 7] ; [65 44],[9.472 6.528] ; [64.528 44.472],0
d3,1,0.914132,0.011627,[10  6] ; [69 39],[10.19354839  5.80645161] ; [68.80645161 39.19354839],0
b3,1,0.916289,0.011048,[3 7] ; [19 41],[3.14285714 6.85714286] ; [18.85714286 41.14285714],0
b2,1,0.916289,0.011048,[3 7] ; [19 41],[3.14285714 6.85714286] ; [18.85714286 41.14285714],0
