Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.000491,12.148598,[41 10] ; [ 6 11],[35.25 15.75] ; [11.75  5.25],1
a6,1,0.018415,5.556209,[38 11] ; [8 9],[34.15151515 14.84848485] ; [11.84848485  5.15151515],0
r1,1,0.028157,4.818449,[43  8] ; [10  7],[39.75 11.25] ; [13.25  3.75],0
v3,1,0.030763,4.666119,[26 22] ; [ 3 11],[22.4516129 25.5483871] ; [6.5483871 7.4516129],0
b4,1,0.059066,3.563411,[29 22] ; [14  3],[32.25 18.75] ; [10.75  6.25],0
a3,1,0.063256,3.449895,[37 14] ; [16  1],[39.75 11.25] ; [13.25  3.75],0
n6,1,0.090966,2.857194,[42  8] ; [11  6],[39.55223881 10.44776119] ; [13.44776119  3.55223881],0
a4,1,0.092327,2.833333,[24 27] ; [12  5],[27. 24.] ; [9. 8.],0
v4,1,0.148106,2.091651,[46  5] ; [13  4],[44.25  6.75] ; [14.75  2.25],0
p4,1,0.148311,2.08954,[14 36] ; [8 9],[16.41791045 33.58208955] ; [ 5.58208955 11.41791045],0
p9,1,0.217191,1.522833,[39 11] ; [10  6],[37.12121212 12.87878788] ; [11.87878788  4.12121212],0
d3,1,0.220112,1.50364,[34 15] ; [9 8],[31.92424242 17.07575758] ; [11.07575758  5.92424242],0
s5,1,0.274549,1.193878,[17 32] ; [8 8],[18.84615385 30.15384615] ; [6.15384615 9.84615385],0
a7,1,0.309413,1.033178,[34 17] ; [9 8],[32.25 18.75] ; [10.75  6.25],0
s8,1,0.311675,1.023564,[36 14] ; [10  7],[34.32835821 15.67164179] ; [11.67164179  5.32835821],0
a8,1,0.382733,0.761905,[ 7 41] ; [ 1 15],[ 6. 42.] ; [ 2. 14.],0
b5,1,0.387347,0.747253,[33 18] ; [9 8],[31.5 19.5] ; [10.5  6.5],0
a5,1,0.39852,0.712788,[41 10] ; [12  5],[39.75 11.25] ; [13.25  3.75],0
p7,1,0.403583,0.697625,[20 29] ; [ 5 12],[18.56060606 30.43939394] ; [ 6.43939394 10.56060606],0
d2,1,0.48923,0.47822,[30 19] ; [12  5],[31.18181818 17.81818182] ; [10.81818182  6.18181818],0
n2,1,0.507726,0.43875,[13  3] ; [7 3],[12.30769231  3.69230769] ; [7.69230769 2.30769231],0
n3,1,0.509432,0.435233,[11  5] ; [5 4],[10.24  5.76] ; [5.76 3.24],0
b2,1,0.514887,0.424123,[16 24] ; [7 7],[17.03703704 22.96296296] ; [5.96296296 8.03703704],0
b3,1,0.514887,0.424123,[16 24] ; [7 7],[17.03703704 22.96296296] ; [5.96296296 8.03703704],0
p10,1,0.538795,0.377778,[37 14] ; [11  6],[36. 15.] ; [12.  5.],0
s2,1,0.557854,0.343434,[34 17] ; [10  7],[33. 18.] ; [11.  6.],0
v2,1,0.578988,0.307874,[28 22] ; [9 5],[28.90625 21.09375] ; [8.09375 5.90625],0
n1,1,0.609834,0.260417,[9 7] ; [6 3],[9.6 6.4] ; [5.4 3.6],0
p3,1,0.621146,0.244259,[18 32] ; [ 5 12],[17.1641791 32.8358209] ; [ 5.8358209 11.1641791],0
r3,1,0.621527,0.243728,[46  5] ; [16  1],[46.5  4.5] ; [15.5  1.5],0
s6,1,0.729111,0.119929,[41 10] ; [13  4],[40.5 10.5] ; [13.5  3.5],0
p8,1,0.729111,0.119929,[11 40] ; [ 3 14],[10.5 40.5] ; [ 3.5 13.5],0
r2,1,0.745795,0.105098,[48  2] ; [16  1],[47.76119403  2.23880597] ; [16.23880597  0.76119403],0
p6,1,0.764697,0.089592,[16 35] ; [ 6 11],[16.5 34.5] ; [ 5.5 11.5],0
p1,1,0.817782,0.053084,[ 5 46] ; [ 2 15],[ 5.25 45.75] ; [ 1.75 15.25],0
s4,1,0.865912,0.028512,[11 40] ; [ 4 13],[11.25 39.75] ; [ 3.75 13.25],0
d1,1,0.879548,0.022965,[35 16] ; [12  5],[35.25 15.75] ; [11.75  5.25],0
p11,1,0.882353,0.0219,[34 17] ; [11  6],[33.75 17.25] ; [11.25  5.75],0
b1,1,0.888205,0.019762,[28 23] ; [9 8],[27.75 23.25] ; [9.25 7.75],0
v1,1,0.894407,0.017617,[24 23] ; [9 8],[24.234375 22.765625] ; [8.765625 8.234375],0
d4,1,0.899825,0.015846,[41  8] ; [14  3],[40.83333333  8.16666667] ; [14.16666667  2.83333333],0
s3,1,0.911172,0.012446,[36 14] ; [12  5],[35.82089552 14.17910448] ; [12.17910448  4.82089552],0
r4,1,1.0,0.0,[42  9] ; [14  3],[42.  9.] ; [14.  3.],0
u4,1,1.0,0.0,[ 3 48] ; [ 1 16],[ 3. 48.] ; [ 1. 16.],0
a2,1,1.0,0.0,[15 36] ; [ 5 12],[15. 36.] ; [ 5. 12.],0
