Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,179.157196,[  5 118] ; [388 167],[71.29646018 51.70353982] ; [321.70353982 233.29646018],1
d3,1,0.0,124.194109,[33 88] ; [437 118],[84.12721893 36.87278107] ; [385.87278107 169.12721893],1
d5,1,0.0,97.355576,[60 62] ; [488  67],[98.75332349 23.24667651] ; [449.24667651 105.75332349],1
d2,1,0.0,34.119477,[28 95] ; [287 267],[57.23042836 65.76957164] ; [257.76957164 296.23042836],1
a5,1,0.0,26.974169,[68 55] ; [433 122],[90.88938053 32.11061947] ; [410.11061947 144.88938053],1
a3,1,0.0,26.548491,[64 58] ; [418 134],[87.2462908 34.7537092] ; [394.7537092 157.2462908],1
a4,1,1e-06,23.438605,[32 90] ; [279 275],[56.12721893 65.87278107] ; [254.87278107 299.12721893],1
r1,1,1.5e-05,18.784558,[77 44] ; [451 102],[94.78931751 26.21068249] ; [433.21068249 119.78931751],1
u1,1,1.6e-05,18.59874,[  5 118] ; [113 442],[ 21.40707965 101.59292035] ; [ 96.59292035 458.40707965],1
a2,1,0.000111,14.934233,[ 13 110] ; [150 405],[29.57079646 93.42920354] ; [133.42920354 421.57079646],1
s5,1,0.001577,9.986542,[23 96] ; [183 352],[37.48318043 81.51681957] ; [168.51681957 366.48318043],0
r4,1,0.002317,9.279785,[101  22] ; [507  48],[110.30088496  12.69911504] ; [497.69911504  57.30088496],0
s2,1,0.002544,9.108431,[47 74] ; [298 254],[62.0282318 58.9717682] ; [282.9717682 269.0282318],0
v2,1,0.011909,6.324357,[54 61] ; [319 215],[66.09399076 48.90600924] ; [306.90600924 227.09399076],0
v4,1,0.01429,6.00192,[111  11] ; [531  21],[116.20771513   5.79228487] ; [525.79228487  26.20771513],0
r2,1,0.01613,5.788697,[110  12] ; [522  24],[115.4251497   6.5748503] ; [516.5748503  29.4251497],0
p4,1,0.017202,5.67562,[59 64] ; [329 222],[70.80712166 52.19287834] ; [317.19287834 233.80712166],0
a7,1,0.017288,5.666914,[78 44] ; [413 141],[88.61242604 33.38757396] ; [402.38757396 151.61242604],0
