Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.010377,6.569065,[26  6] ; [5 7],[22.54545455  9.45454545] ; [8.45454545 3.54545455],0
p4,1,0.015761,5.829296,[23 10] ; [4 9],[19.36956522 13.63043478] ; [7.63043478 5.36956522],0
v4,1,0.030164,4.699896,[24  9] ; [5 8],[20.80434783 12.19565217] ; [8.19565217 4.80434783],0
r3,1,0.030783,4.665036,[27  5] ; [7 6],[24.17777778  7.82222222] ; [9.82222222 3.17777778],0
a7,1,0.034937,4.448259,[19 14] ; [ 3 10],[15.7826087 17.2173913] ; [6.2173913 6.7826087],0
p10,1,0.036134,4.390782,[23  9] ; [5 8],[19.91111111 12.08888889] ; [8.08888889 4.91111111],0
d3,1,0.043898,4.0605,[21 12] ; [4 9],[17.93478261 15.06521739] ; [7.06521739 5.93478261],0
d5,1,0.05064,3.820143,[23 10] ; [5 8],[20.08695652 12.91304348] ; [7.91304348 5.08695652],0
p11,1,0.051731,3.784451,[27  6] ; [7 6],[24.39130435  8.60869565] ; [9.60869565 3.39130435],0
p1,1,0.095011,2.787356,[ 2 31] ; [ 3 10],[ 3.58695652 29.41304348] ; [ 1.41304348 11.58695652],0
p7,1,0.115058,2.48334,[16 17] ; [ 3 10],[13.63043478 19.36956522] ; [5.36956522 7.63043478],0
d1,1,0.117797,2.446369,[13 20] ; [ 2 11],[10.76086957 22.23913043] ; [4.23913043 8.76086957],0
r1,1,0.117797,2.446369,[13 20] ; [ 2 11],[10.76086957 22.23913043] ; [4.23913043 8.76086957],0
n1,1,0.153514,2.036982,[ 2 11] ; [2 2],[3.05882353 9.94117647] ; [0.94117647 3.05882353],0
p8,1,0.161438,1.960706,[15 18] ; [ 3 10],[12.91304348 20.08695652] ; [5.08695652 7.91304348],0
v2,1,0.161438,1.960706,[15 18] ; [ 3 10],[12.91304348 20.08695652] ; [5.08695652 7.91304348],0
p3,1,0.220927,1.498338,[14 19] ; [ 3 10],[12.19565217 20.80434783] ; [4.80434783 8.19565217],0
n5,1,0.299489,1.076466,[23 10] ; [11  2],[24.39130435  8.60869565] ; [9.60869565 3.39130435],0
s7,1,0.306593,1.045294,[10 21] ; [ 2 10],[ 8.65116279 22.34883721] ; [3.34883721 8.65116279],0
a6,1,0.325922,0.965035,[18 15] ; [5 8],[16.5 16.5] ; [6.5 6.5],0
a5,1,0.325922,0.965035,[18 15] ; [5 8],[16.5 16.5] ; [6.5 6.5],0
a3,1,0.325922,0.965035,[18 15] ; [5 8],[16.5 16.5] ; [6.5 6.5],0
s4,1,0.351613,0.867628,[ 4 29] ; [ 3 10],[ 5.02173913 27.97826087] ; [ 1.97826087 11.02173913],0
b5,1,0.362391,0.829591,[18 15] ; [9 4],[19.36956522 13.63043478] ; [7.63043478 5.36956522],0
a4,1,0.394703,0.724403,[ 9 24] ; [ 2 11],[ 7.89130435 25.10869565] ; [3.10869565 9.89130435],0
n2,1,0.481556,0.495338,[9 4] ; [2 2],[8.41176471 4.58823529] ; [2.58823529 1.41176471],0
b1,1,0.483758,0.490381,[14 19] ; [7 6],[15.06521739 17.93478261] ; [5.93478261 7.06521739],0
a1,1,0.485093,0.487391,[ 1 32] ; [ 1 12],[ 1.43478261 31.56521739] ; [ 0.56521739 12.43478261],0
r4,1,0.496053,0.46337,[11 22] ; [ 3 10],[10.04347826 22.95652174] ; [3.95652174 9.04347826],0
v1,1,0.496053,0.46337,[11 22] ; [ 3 10],[10.04347826 22.95652174] ; [3.95652174 9.04347826],0
s8,1,0.496053,0.46337,[11 22] ; [ 3 10],[10.04347826 22.95652174] ; [3.95652174 9.04347826],0
p5,1,0.511942,0.430096,[ 8 25] ; [ 2 11],[ 7.17391304 25.82608696] ; [ 2.82608696 10.17391304],0
