Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,5.9e-05,16.147076,[24  6] ; [ 3 13],[17.60869565 12.39130435] ; [9.39130435 6.60869565],1
n6,1,0.00205,9.50431,[24  5] ; [ 6 10],[19.33333333  9.66666667] ; [10.66666667  5.33333333],0
p10,1,0.02211,5.237069,[21  8] ; [ 6 10],[17.4 11.6] ; [9.6 6.4],0
v2,1,0.032992,4.546199,[21  9] ; [ 6 10],[17.60869565 12.39130435] ; [9.39130435 6.60869565],0
v1,1,0.045164,4.012494,[12 17] ; [ 2 14],[ 9.02222222 19.97777778] ; [ 4.97777778 11.02222222],0
s8,1,0.053532,3.727232,[12 18] ; [ 2 14],[ 9.13043478 20.86956522] ; [ 4.86956522 11.13043478],0
n2,1,0.061948,3.484444,[8 2] ; [2 4],[6.25 3.75] ; [3.75 2.25],0
v3,1,0.075927,3.15,[ 9 21] ; [ 1 14],[ 6.66666667 23.33333333] ; [ 3.33333333 11.66666667],0
a8,1,0.077436,3.117914,[ 8 20] ; [ 1 15],[ 5.72727273 22.27272727] ; [ 3.27272727 12.72727273],0
s4,1,0.078667,3.092222,[ 2 28] ; [ 4 12],[ 3.91304348 26.08695652] ; [ 2.08695652 13.91304348],0
p9,1,0.092393,2.832184,[21  7] ; [8 8],[18.45454545  9.54545455] ; [10.54545455  5.45454545],0
d5,1,0.114632,2.489177,[25  5] ; [10  6],[22.82608696  7.17391304] ; [12.17391304  3.82608696],0
p2,1,0.157022,2.002674,[19 10] ; [7 9],[16.75555556 12.24444444] ; [9.24444444 6.75555556],0
n3,1,0.170904,1.875,[9 1] ; [3 2],[8. 2.] ; [4. 1.],0
p8,1,0.179712,1.8,[ 8 22] ; [7 8],[10. 20.] ; [ 5. 10.],0
u3,1,0.195539,1.675385,[4 6] ; [1 7],[2.77777778 7.22222222] ; [2.22222222 5.77777778],0
r2,1,0.236212,1.403061,[16 12] ; [12  4],[17.81818182 10.18181818] ; [10.18181818  5.81818182],0
a5,1,0.269964,1.216931,[20 10] ; [8 8],[18.26086957 11.73913043] ; [9.73913043 6.26086957],0
a3,1,0.269964,1.216931,[20 10] ; [8 8],[18.26086957 11.73913043] ; [9.73913043 6.26086957],0
d2,1,0.291958,1.110571,[18 12] ; [7 9],[16.30434783 13.69565217] ; [8.69565217 7.30434783],0
r4,1,0.305885,1.048359,[16 14] ; [ 6 10],[14.34782609 15.65217391] ; [7.65217391 8.34782609],0
p4,1,0.311816,1.022969,[14 16] ; [ 5 11],[12.39130435 17.60869565] ; [6.60869565 9.39130435],0
a2,1,0.317731,0.998264,[ 5 25] ; [ 1 15],[ 3.91304348 26.08695652] ; [ 2.08695652 13.91304348],0
b5,1,0.381715,0.765172,[19 11] ; [8 8],[17.60869565 12.39130435] ; [9.39130435 6.60869565],0
a6,1,0.41757,0.657143,[15 15] ; [ 6 10],[13.69565217 16.30434783] ; [7.30434783 8.69565217],0
p7,1,0.423838,0.639649,[13 17] ; [ 5 11],[11.73913043 18.26086957] ; [6.26086957 9.73913043],0
p11,1,0.48573,0.48597,[20 10] ; [9 7],[18.91304348 11.08695652] ; [10.08695652  5.91304348],0
d4,1,0.497409,0.46046,[25  5] ; [12  4],[24.13043478  5.86956522] ; [12.86956522  3.13043478],0
p6,1,0.510704,0.432624,[10 19] ; [ 4 12],[ 9.02222222 19.97777778] ; [ 4.97777778 11.02222222],0
n1,1,0.515305,0.42328,[5 5] ; [2 4],[4.375 5.625] ; [2.625 3.375],0
b1,1,0.535825,0.383333,[16 14] ; [7 9],[15. 15.] ; [8. 8.],0
d3,1,0.535825,0.383333,[16 14] ; [7 9],[15. 15.] ; [8. 8.],0
p1,1,0.644079,0.213447,[ 1 29] ; [ 1 15],[ 1.30434783 28.69565217] ; [ 0.69565217 15.30434783],0
u1,1,0.667262,0.184821,[ 3 27] ; [ 1 15],[ 2.60869565 27.39130435] ; [ 1.39130435 14.60869565],0
a7,1,0.701943,0.146459,[17 13] ; [10  6],[17.60869565 12.39130435] ; [9.39130435 6.60869565],0
s3,1,0.739193,0.110837,[13 16] ; [8 8],[13.53333333 15.46666667] ; [7.46666667 8.53333333],0
b4,1,0.742295,0.10812,[22  8] ; [11  5],[21.52173913  8.47826087] ; [11.47826087  4.52173913],0
s5,1,0.785671,0.07395,[ 6 22] ; [ 4 12],[ 6.36363636 21.63636364] ; [ 3.63636364 12.36363636],0
b2,1,0.804113,0.061517,[ 8 13] ; [3 6],[ 7.7 13.3] ; [3.3 5.7],0
b3,1,0.804113,0.061517,[ 8 13] ; [3 6],[ 7.7 13.3] ; [3.3 5.7],0
