Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.019365,5.46827,[20  7] ; [1 4],[17.71875  9.28125] ; [3.28125 1.71875],0
v4,1,0.033854,4.502069,[27  2] ; [3 2],[25.58823529  3.41176471] ; [4.41176471 0.58823529],0
p6,1,0.056141,3.647882,[19 10] ; [1 4],[17.05882353 11.94117647] ; [2.94117647 2.05882353],0
a8,1,0.092504,2.830255,[ 3 25] ; [2 3],[ 4.24242424 23.75757576] ; [0.75757576 4.24242424],0
s3,1,0.110067,2.553257,[17 12] ; [1 4],[15.35294118 13.64705882] ; [2.64705882 2.35294118],0
a3,1,0.137155,2.209596,[22  8] ; [2 3],[20.57142857  9.42857143] ; [3.42857143 1.57142857],0
p3,1,0.14298,2.145594,[26  4] ; [3 2],[24.85714286  5.14285714] ; [4.14285714 0.85714286],0
n4,1,0.14298,2.145594,[26  4] ; [3 2],[24.85714286  5.14285714] ; [4.14285714 0.85714286],0
p4,1,0.155707,2.015435,[25  4] ; [3 2],[23.88235294  5.11764706] ; [4.11764706 0.88235294],0
p2,1,0.155707,2.015435,[25  4] ; [3 2],[23.88235294  5.11764706] ; [4.11764706 0.88235294],0
a7,1,0.190732,1.711957,[21  9] ; [2 3],[19.71428571 10.28571429] ; [3.28571429 1.71428571],0
d1,1,0.212505,1.554276,[15 15] ; [1 4],[13.71428571 16.28571429] ; [2.28571429 2.71428571],0
r1,1,0.227195,1.458333,[25  5] ; [3 2],[24.  6.] ; [4. 1.],0
n5,1,0.227195,1.458333,[25  5] ; [3 2],[24.  6.] ; [4. 1.],0
p7,1,0.245092,1.351067,[24  5] ; [3 2],[23.02941176  5.97058824] ; [3.97058824 1.02941176],0
b1,1,0.253236,1.305361,[10 20] ; [3 2],[11.14285714 18.85714286] ; [1.85714286 3.14285714],0
d3,1,0.253236,1.305361,[20 10] ; [2 3],[18.85714286 11.14285714] ; [3.14285714 1.85714286],0
b4,1,0.264616,1.244444,[16 14] ; [4 1],[17.14285714 12.85714286] ; [2.85714286 2.14285714],0
s8,1,0.270713,1.213131,[13 15] ; [1 4],[11.87878788 16.12121212] ; [2.12121212 2.87878788],0
b5,1,0.324127,0.972222,[11 19] ; [3 2],[12. 18.] ; [2. 3.],0
u3,1,0.386916,0.748611,[3 5] ; [2 1],[3.63636364 4.36363636] ; [1.36363636 1.63636364],0
u2,1,0.386916,0.748611,[3 5] ; [2 1],[3.63636364 4.36363636] ; [1.36363636 1.63636364],0
d4,1,0.429853,0.623219,[23  7] ; [3 2],[22.28571429  7.71428571] ; [3.71428571 1.28571429],0
v3,1,0.438419,0.600418,[11 18] ; [1 4],[10.23529412 18.76470588] ; [1.76470588 3.23529412],0
s2,1,0.438419,0.600418,[11 18] ; [1 4],[10.23529412 18.76470588] ; [1.76470588 3.23529412],0
p8,1,0.457789,0.551295,[22  7] ; [3 2],[21.32352941  7.67647059] ; [3.67647059 1.32352941],0
a4,1,0.467288,0.528382,[11 19] ; [1 4],[10.28571429 19.71428571] ; [1.71428571 3.28571429],0
p1,1,0.467288,0.528382,[11 19] ; [1 4],[10.28571429 19.71428571] ; [1.71428571 3.28571429],0
r3,1,0.536008,0.382989,[26  3] ; [4 1],[25.58823529  3.41176471] ; [4.41176471 0.58823529],0
p9,1,0.536008,0.382989,[26  3] ; [4 1],[25.58823529  3.41176471] ; [4.41176471 0.58823529],0
d5,1,0.541193,0.373333,[22  8] ; [3 2],[21.42857143  8.57142857] ; [3.57142857 1.42857143],0
a6,1,0.65564,0.198864,[21  9] ; [3 2],[20.57142857  9.42857143] ; [3.42857143 1.57142857],0
a1,1,0.693282,0.155556,[ 4 26] ; [1 4],[ 4.28571429 25.71428571] ; [0.71428571 4.28571429],0
r4,1,0.693282,0.155556,[26  4] ; [4 1],[25.71428571  4.28571429] ; [4.28571429 0.71428571],0
b2,1,0.754293,0.097959,[ 9 12] ; [1 2],[ 8.75 12.25] ; [1.25 1.75],0
b3,1,0.754293,0.097959,[ 9 12] ; [1 2],[ 8.75 12.25] ; [1.25 1.75],0
d2,1,0.781745,0.076754,[14 16] ; [2 3],[13.71428571 16.28571429] ; [2.28571429 2.71428571],0
p11,1,0.854721,0.033525,[25  5] ; [4 1],[24.85714286  5.14285714] ; [4.14285714 0.85714286],0
p12,1,0.854721,0.033525,[ 5 25] ; [1 4],[ 5.14285714 24.85714286] ; [0.85714286 4.14285714],0
p10,1,0.881208,0.022332,[24  5] ; [4 1],[23.88235294  5.11764706] ; [4.11764706 0.88235294],0
s5,1,0.905218,0.014178,[16 12] ; [3 2],[16.12121212 11.87878788] ; [2.87878788 2.12121212],0
a5,1,1.0,0.0,[24  6] ; [4 1],[24.  6.] ; [4. 1.],0
