Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,5e-06,21.018557,[ 2 11] ; [70 20],[9.08737864 3.91262136] ; [62.91262136 27.08737864],1
r2,1,0.015636,5.843355,[8 5] ; [78 11],[10.96078431  2.03921569] ; [75.03921569 13.96078431],0
p11,1,0.016147,5.786816,[4 9] ; [59 31],[7.95145631 5.04854369] ; [55.04854369 34.95145631],0
n6,1,0.016147,5.786816,[4 9] ; [59 31],[7.95145631 5.04854369] ; [55.04854369 34.95145631],0
v2,1,0.016357,5.764077,[ 1 12] ; [36 49],[4.90816327 8.09183673] ; [32.09183673 52.90816327],0
v4,1,0.022799,5.183751,[9 4] ; [81  8],[11.47058824  1.52941176] ; [78.52941176 10.47058824],0
b1,1,0.039453,4.241251,[8 5] ; [29 61],[4.66990291 8.33009709] ; [32.33009709 57.66990291],0
r1,1,0.047007,3.945146,[4 9] ; [54 36],[7.32038835 5.67961165] ; [50.67961165 39.32038835],0
s3,1,0.083049,3.004196,[2 9] ; [41 49],[4.68316832 6.31683168] ; [38.31683168 51.68316832],0
n2,1,0.100124,2.703561,[2 4] ; [20  9],[3.77142857 2.22857143] ; [18.22857143 10.77142857],0
a6,1,0.10895,2.569384,[ 3 10] ; [42 48],[5.67961165 7.32038835] ; [39.32038835 50.67961165],0
p1,1,0.119042,2.429883,[ 2 11] ; [ 4 85],[ 0.76470588 12.23529412] ; [ 5.23529412 83.76470588],0
s5,1,0.165522,1.923042,[ 1 12] ; [21 63],[ 2.94845361 10.05154639] ; [19.05154639 64.94845361],0
s2,1,0.168619,1.895174,[ 2 11] ; [31 59],[4.16504854 8.83495146] ; [28.83495146 61.16504854],0
d2,1,0.175185,1.838001,[ 1 12] ; [22 68],[ 2.90291262 10.09708738] ; [20.09708738 69.90291262],0
s6,1,0.217696,1.519495,[ 3 10] ; [36 52],[5.01980198 7.98019802] ; [33.98019802 54.01980198],0
p6,1,0.228089,1.452741,[ 1 12] ; [19 67],[ 2.62626263 10.37373737] ; [17.37373737 68.62626263],0
d5,1,0.247407,1.337884,[6 7] ; [56 33],[7.90196078 5.09803922] ; [54.09803922 34.90196078],0
a7,1,0.254835,1.2966,[7 6] ; [62 27],[8.79411765 4.20588235] ; [60.20588235 28.79411765],0
d4,1,0.328237,0.955842,[8 5] ; [67 23],[9.46601942 3.53398058] ; [65.53398058 24.46601942],0
a4,1,0.403708,0.697254,[ 1 12] ; [15 75],[ 2.01941748 10.98058252] ; [13.98058252 76.01941748],0
u2,1,0.404737,0.694206,[6 2] ; [31 21],[4.93333333 3.06666667] ; [32.06666667 19.93333333],0
n1,1,0.418492,0.654545,[1 5] ; [10 20],[1.83333333 4.16666667] ; [ 9.16666667 20.83333333],0
s8,1,0.423961,0.639309,[ 2 11] ; [23 67],[3.15533981 9.84466019] ; [21.84466019 68.15533981],0
d1,1,0.458815,0.548785,[ 3 10] ; [30 60],[4.16504854 8.83495146] ; [28.83495146 61.16504854],0
s7,1,0.465227,0.53329,[ 2 10] ; [23 64],[3.03030303 8.96969697] ; [21.96969697 65.03030303],0
p4,1,0.505381,0.443619,[ 3 10] ; [29 61],[4.03883495 8.96116505] ; [27.96116505 62.03883495],0
b5,1,0.509758,0.434563,[7 6] ; [57 33],[8.0776699 4.9223301] ; [55.9223301 34.0776699],0
p9,1,0.536527,0.382015,[7 6] ; [54 32],[8.01010101 4.98989899] ; [52.98989899 33.01010101],0
n3,1,0.605577,0.266667,[4 2] ; [23  7],[4.5 1.5] ; [22.5  7.5],0
p2,1,0.614256,0.254023,[8 5] ; [61 28],[8.79411765 4.20588235] ; [60.20588235 28.79411765],0
v3,1,0.616192,0.251256,[ 2 11] ; [18 66],[ 2.68041237 10.31958763] ; [17.31958763 66.68041237],0
p3,1,0.623631,0.240797,[4 9] ; [22 68],[3.2815534 9.7184466] ; [22.7184466 67.2815534],0
d3,1,0.639046,0.219992,[7 6] ; [54 35],[7.7745098 5.2254902] ; [53.2254902 35.7745098],0
n4,1,0.663177,0.189688,[ 3 10] ; [26 64],[3.66019417 9.33980583] ; [25.33980583 64.66019417],0
u3,1,0.67952,0.170667,[5 3] ; [29 24],[4.45901639 3.54098361] ; [29.54098361 23.45901639],0
p8,1,0.735944,0.113723,[5 8] ; [30 59],[4.46078431 8.53921569] ; [30.53921569 58.46078431],0
p7,1,0.741288,0.108998,[6 6] ; [40 49],[5.46534653 6.53465347] ; [40.53465347 48.46534653],0
s1,1,0.758485,0.094538,[ 1 12] ; [ 5 85],[ 0.75728155 12.24271845] ; [ 5.24271845 84.75728155],0
s4,1,0.760744,0.092723,[ 2 11] ; [17 73],[ 2.39805825 10.60194175] ; [16.60194175 73.39805825],0
a3,1,0.891383,0.018647,[5 8] ; [36 53],[5.2254902 7.7745098] ; [35.7745098 53.2254902],0
b4,1,0.91564,0.011221,[8 5] ; [54 36],[7.82524272 5.17475728] ; [54.17475728 35.82524272],0
b3,1,0.947084,0.004405,[2 6] ; [11 35],[1.92592593 6.07407407] ; [11.07407407 34.92592593],0
b2,1,0.947084,0.004405,[2 6] ; [11 35],[1.92592593 6.07407407] ; [11.07407407 34.92592593],0
p10,1,0.951446,0.003708,[7 6] ; [45 40],[6.89795918 6.10204082] ; [45.10204082 39.89795918],0
v1,1,0.968697,0.00154,[4 9] ; [26 60],[3.93939394 9.06060606] ; [26.06060606 59.93939394],0
