Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,3e-05,17.425374,[89 12] ; [18 15],[80.64925373 20.35074627] ; [26.35074627  6.64925373],1
a7,1,0.000303,13.050426,[86 17] ; [18 16],[78.18978102 24.81021898] ; [25.81021898  8.18978102],1
p10,1,0.000681,11.539862,[83 18] ; [18 16],[75.56296296 25.43703704] ; [25.43703704  8.56296296],1
p7,1,0.001225,10.452003,[65 32] ; [12 22],[57.01526718 39.98473282] ; [19.98473282 14.01526718],0
a6,1,0.004784,7.959414,[78 25] ; [17 17],[71.42335766 31.57664234] ; [23.57664234 10.42335766],0
v4,1,0.007918,7.051852,[98  4] ; [28  6],[94.5  7.5] ; [31.5  2.5],0
p8,1,0.025745,4.973063,[55 46] ; [11 23],[49.37777778 51.62222222] ; [16.62222222 17.37777778],0
d3,1,0.027325,4.87015,[78 25] ; [19 15],[72.9270073 30.0729927] ; [24.0729927  9.9270073],0
r3,1,0.065539,3.391349,[100   2] ; [31  3],[98.25  3.75] ; [32.75  1.25],0
p11,1,0.070853,3.263149,[72 31] ; [18 16],[67.66423358 35.33576642] ; [22.33576642 11.66423358],0
n3,1,0.087798,2.914286,[26  9] ; [8 8],[23.33333333 11.66666667] ; [10.66666667  5.33333333],0
r1,1,0.095174,2.784603,[78 24] ; [21 13],[74.25 27.75] ; [24.75  9.25],0
u1,1,0.106139,2.610782,[13 90] ; [ 1 33],[10.52554745 92.47445255] ; [ 3.47445255 30.52554745],0
a4,1,0.133353,2.253036,[31 72] ; [15 19],[34.58394161 68.41605839] ; [11.41605839 22.58394161],0
s3,1,0.142922,2.146216,[71 31] ; [19 15],[67.5 34.5] ; [22.5 11.5],0
p3,1,0.1457,2.116698,[48 55] ; [11 23],[44.35766423 58.64233577] ; [14.64233577 19.35766423],0
b1,1,0.164594,1.931508,[32 71] ; [15 19],[35.33576642 67.66423358] ; [11.66423358 22.33576642],0
s8,1,0.211627,1.560263,[49 54] ; [12 22],[45.86131387 57.13868613] ; [15.13868613 18.86131387],0
u2,1,0.235224,1.408993,[25 16] ; [5 7],[23.20754717 17.79245283] ; [6.79245283 5.20754717],0
r2,1,0.255085,1.295238,[96  6] ; [30  4],[94.5  7.5] ; [31.5  2.5],0
d2,1,0.337721,0.919064,[36 67] ; [15 19],[38.34306569 64.65693431] ; [12.65693431 21.34306569],0
d1,1,0.347916,0.881045,[55 48] ; [15 19],[52.62773723 50.37226277] ; [17.37226277 16.62773723],0
d4,1,0.357827,0.845506,[86 17] ; [26  8],[84.20437956 18.79562044] ; [27.79562044  6.20437956],0
n1,1,0.391382,0.734643,[ 9 26] ; [ 6 10],[10.29411765 24.70588235] ; [ 4.70588235 11.29411765],0
u4,1,0.406224,0.689825,[  1 102] ; [ 1 33],[  1.50364964 101.49635036] ; [ 0.49635036 33.50364964],0
s1,1,0.410754,0.676617,[  1 101] ; [ 1 33],[  1.5 100.5] ; [ 0.5 33.5],0
r4,1,0.462226,0.540498,[90 13] ; [28  6],[88.71532847 14.28467153] ; [29.28467153  4.71532847],0
a8,1,0.487679,0.481643,[ 3 91] ; [ 2 32],[ 3.671875 90.328125] ; [ 1.328125 32.671875],0
a3,1,0.505658,0.443042,[60 43] ; [22 12],[61.64963504 41.35036496] ; [20.35036496 13.64963504],0
s4,1,0.577853,0.309718,[34 69] ; [13 21],[35.33576642 67.66423358] ; [11.66423358 22.33576642],0
s5,1,0.582369,0.30242,[43 57] ; [16 17],[44.36090226 55.63909774] ; [14.63909774 18.36090226],0
p4,1,0.587152,0.294813,[54 49] ; [16 18],[52.62773723 50.37226277] ; [17.37226277 16.62773723],0
s7,1,0.594521,0.283339,[46 54] ; [13 19],[44.6969697 55.3030303] ; [14.3030303 17.6969697],0
p5,1,0.59611,0.280903,[ 4 99] ; [ 2 31],[ 4.54411765 98.45588235] ; [ 1.45588235 31.54411765],0
n5,1,0.606127,0.265853,[38 64] ; [11 23],[36.75 65.25] ; [12.25 21.75],0
a1,1,0.621417,0.243881,[ 4 99] ; [ 2 32],[ 4.51094891 98.48905109] ; [ 1.48905109 32.51094891],0
p12,1,0.621417,0.243881,[ 4 99] ; [ 2 32],[ 4.51094891 98.48905109] ; [ 1.48905109 32.51094891],0
u3,1,0.632797,0.228287,[27 14] ; [7 5],[26.30188679 14.69811321] ; [7.69811321 4.30188679],0
b5,1,0.639526,0.219363,[62 41] ; [22 12],[63.15328467 39.84671533] ; [20.84671533 13.15328467],0
p6,1,0.698231,0.150319,[26 74] ; [10 24],[26.86567164 73.13432836] ; [ 9.13432836 24.86567164],0
b2,1,0.799268,0.064666,[15 32] ; [ 6 11],[15.421875 31.578125] ; [ 5.578125 11.421875],0
b3,1,0.799268,0.064666,[15 32] ; [ 6 11],[15.421875 31.578125] ; [ 5.578125 11.421875],0
v3,1,0.835352,0.043198,[31 69] ; [ 9 22],[30.53435115 69.46564885] ; [ 9.46564885 21.53435115],0
p1,1,0.855916,0.03297,[ 8 94] ; [ 3 31],[ 8.25 93.75] ; [ 2.75 31.25],0
s2,1,0.866633,0.028203,[65 38] ; [22 12],[65.40875912 37.59124088] ; [21.59124088 12.40875912],0
v2,1,0.904765,0.014315,[52 45] ; [17 14],[52.2890625 44.7109375] ; [16.7109375 14.2890625],0
d5,1,0.930051,0.007706,[78 25] ; [26  8],[78.18978102 24.81021898] ; [25.81021898  8.18978102],0
a5,1,0.947167,0.004391,[66 37] ; [22 12],[66.16058394 36.83941606] ; [21.83941606 12.16058394],0
b4,1,0.950363,0.003875,[63 40] ; [21 13],[63.15328467 39.84671533] ; [20.84671533 13.15328467],0
n2,1,0.956687,0.00295,[26  9] ; [12  4],[26.07843137  8.92156863] ; [11.92156863  4.07843137],0
n6,1,0.972504,0.001188,[68 33] ; [23 11],[68.08148148 32.91851852] ; [22.91851852 11.08148148],0
a2,1,0.981819,0.000519,[18 85] ; [ 6 28],[18.04379562 84.95620438] ; [ 5.95620438 28.04379562],0
v1,1,0.995263,3.5e-05,[47 53] ; [16 18],[47.01492537 52.98507463] ; [15.98507463 18.01492537],0
